fips,county,candidate,votes
01001,Autauga,Joseph R. Biden,7503
01001,Autauga,Donald J. Trump,19838
01001,Autauga,Jo Jorgensen,350
01001,Autauga,Write-in,79
01003,Baldwin,Joseph R. Biden,24578
01003,Baldwin,Donald J. Trump,83544
01003,Baldwin,Jo Jorgensen,1229
01003,Baldwin,Write-in,328
01005,Barbour,Joseph R. Biden,4816
01005,Barbour,Donald J. Trump,5622
01005,Barbour,Jo Jorgensen,68
01005,Barbour,Write-in,12
01007,Bibb,Joseph R. Biden,1986
01007,Bibb,Donald J. Trump,7525
01007,Bibb,Jo Jorgensen,74
01007,Bibb,Write-in,10
01009,Blount,Joseph R. Biden,2640
01009,Blount,Donald J. Trump,24711
01009,Blount,Jo Jorgensen,209
01009,Blount,Write-in,28
01011,Bullock,Joseph R. Biden,3446
01011,Bullock,Donald J. Trump,1146
01011,Bullock,Jo Jorgensen,19
01011,Bullock,Write-in,2
01013,Butler,Joseph R. Biden,3965
01013,Butler,Donald J. Trump,5458
01013,Butler,Jo Jorgensen,59
01013,Butler,Write-in,6
01015,Calhoun,Joseph R. Biden,15216
01015,Calhoun,Donald J. Trump,35101
01015,Calhoun,Jo Jorgensen,553
01015,Calhoun,Write-in,113
01017,Chambers,Joseph R. Biden,6365
01017,Chambers,Donald J. Trump,8753
01017,Chambers,Jo Jorgensen,141
01017,Chambers,Write-in,25
01019,Cherokee,Joseph R. Biden,1624
01019,Cherokee,Donald J. Trump,10583
01019,Cherokee,Jo Jorgensen,82
01019,Cherokee,Write-in,12
01021,Chilton,Joseph R. Biden,3073
01021,Chilton,Donald J. Trump,16085
01021,Chilton,Jo Jorgensen,123
01021,Chilton,Write-in,29
01023,Choctaw,Joseph R. Biden,3127
01023,Choctaw,Donald J. Trump,4296
01023,Choctaw,Jo Jorgensen,38
01023,Choctaw,Write-in,3
01025,Clarke,Joseph R. Biden,5755
01025,Clarke,Donald J. Trump,7324
01025,Clarke,Jo Jorgensen,49
01025,Clarke,Write-in,7
01027,Clay,Joseph R. Biden,1267
01027,Clay,Donald J. Trump,5601
01027,Clay,Jo Jorgensen,53
01027,Clay,Write-in,9
01029,Cleburne,Joseph R. Biden,675
01029,Cleburne,Donald J. Trump,6484
01029,Cleburne,Jo Jorgensen,60
01029,Cleburne,Write-in,8
01031,Coffee,Joseph R. Biden,5076
01031,Coffee,Donald J. Trump,16899
01031,Coffee,Jo Jorgensen,264
01031,Coffee,Write-in,36
01033,Colbert,Joseph R. Biden,8343
01033,Colbert,Donald J. Trump,19203
01033,Colbert,Jo Jorgensen,272
01033,Colbert,Write-in,68
01035,Conecuh,Joseph R. Biden,2966
01035,Conecuh,Donald J. Trump,3442
01035,Conecuh,Jo Jorgensen,32
01035,Conecuh,Write-in,1
01037,Coosa,Joseph R. Biden,1796
01037,Coosa,Donald J. Trump,3631
01037,Coosa,Jo Jorgensen,46
01037,Coosa,Write-in,6
01039,Covington,Joseph R. Biden,2721
01039,Covington,Donald J. Trump,14586
01039,Covington,Jo Jorgensen,97
01039,Covington,Write-in,26
