fips,county,candidate,votes
05001,Arkansas,Brian Carroll,7
05003,Ashley,Brian Carroll,10
05005,Baxter,Brian Carroll,27
05007,Benton,Brian Carroll,170
05009,Boone,Brian Carroll,37
05011,Bradley,Brian Carroll,6
05013,Calhoun,Brian Carroll,3
05015,Carroll,Brian Carroll,28
05017,Chicot,Brian Carroll,8
05019,Clark,Brian Carroll,24
05021,Clay,Brian Carroll,3
05023,Cleburne,Brian Carroll,26
05025,Cleveland,Brian Carroll,2
05027,Columbia,Brian Carroll,17
05029,Conway,Brian Carroll,8
05031,Craighead,Brian Carroll,64
05033,Crawford,Brian Carroll,9
05035,Crittenden,Brian Carroll,24
05037,Cross,Brian Carroll,9
05039,Dallas,Brian Carroll,3
05041,Desha,Brian Carroll,5
05043,Drew,Brian Carroll,6
05045,Faulkner,Brian Carroll,91
05047,Franklin,Brian Carroll,15
05049,Fulton,Brian Carroll,1
05051,Garland,Brian Carroll,51
05053,Grant,Brian Carroll,6
05055,Greene,Brian Carroll,9
05057,Hempstead,Brian Carroll,5
05059,Hot Spring,Brian Carroll,11
05061,Howard,Brian Carroll,4
05063,Independence,Brian Carroll,16
05065,Izard,Brian Carroll,12
05067,Jackson,Brian Carroll,8
05069,Jefferson,Brian Carroll,59
05071,Johnson,Brian Carroll,13
05073,Lafayette,Brian Carroll,0
05075,Lawrence,Brian Carroll,9
05077,Lee,Brian Carroll,8
05079,Lincoln,Brian Carroll,2
05081,Little River,Brian Carroll,3
05083,Logan,Brian Carroll,7
05085,Lonoke,Brian Carroll,19
05087,Madison,Brian Carroll,3
05089,Marion,Brian Carroll,7
05091,Miller,Brian Carroll,7
05093,Mississippi,Brian Carroll,44
05095,Monroe,Brian Carroll,1
05097,Montgomery,Brian Carroll,31
05099,Nevada,Brian Carroll,3
05101,Newton,Brian Carroll,4
05103,Ouachita,Brian Carroll,13
05105,Perry,Brian Carroll,10
05107,Phillips,Brian Carroll,5
05109,Pike,Brian Carroll,4
05111,Poinsett,Brian Carroll,14
05113,Polk,Brian Carroll,8
05115,Pope,Brian Carroll,37
05117,Prairie,Brian Carroll,2
05119,Pulaski,Brian Carroll,233
05121,Randolph,Brian Carroll,9
05123,Saline,Brian Carroll,43
05125,Scott,Brian Carroll,2
05129,Searcy,Brian Carroll,5
05131,Sebastian,Brian Carroll,67
05133,Sevier,Brian Carroll,10
05135,Sharp,Brian Carroll,6
05123,St. Francis,Brian Carroll,4
05137,Stone,Brian Carroll,3
05139,Union,Brian Carroll,27
05141,Van Buren,Brian Carroll,22
05143,Washington,Brian Carroll,212
05145,White,Brian Carroll,26
05147,Woodruff,Brian Carroll,1
05149,Yell,Brian Carroll,5
05001,Arkansas,Don Blankenship,9
05003,Ashley,Don Blankenship,30
05005,Baxter,Don Blankenship,78
05007,Benton,Don Blankenship,115
05009,Boone,Don Blankenship,17
05011,Bradley,Don Blankenship,8
05013,Calhoun,Don Blankenship,2
05015,Carroll,Don Blankenship,26
05017,Chicot,Don Blankenship,5
05019,Clark,Don Blankenship,29
05021,Clay,Don Blankenship,19
05023,Cleburne,Don Blankenship,57
05025,Cleveland,Don Blankenship,5
05027,Columbia,Don Blankenship,47
05029,Conway,Don Blankenship,22
05031,Craighead,Don Blankenship,71
05033,Crawford,Don Blankenship,22
05035,Crittenden,Don Blankenship,25
05037,Cross,Don Blankenship,14
05039,Dallas,Don Blankenship,9
05041,Desha,Don Blankenship,10
05043,Drew,Don Blankenship,2
05045,Faulkner,Don Blankenship,53
05047,Franklin,Don Blankenship,11
05049,Fulton,Don Blankenship,14
05051,Garland,Don Blankenship,137
05053,Grant,Don Blankenship,6
05055,Greene,Don Blankenship,9
05057,Hempstead,Don Blankenship,6
05059,Hot Spring,Don Blankenship,15
05061,Howard,Don Blankenship,13
05063,Independence,Don Blankenship,29
05065,Izard,Don Blankenship,30
05067,Jackson,Don Blankenship,19
05069,Jefferson,Don Blankenship,24
05071,Johnson,Don Blankenship,20
05073,Lafayette,Don Blankenship,6
05075,Lawrence,Don Blankenship,45
05077,Lee,Don Blankenship,14
05079,Lincoln,Don Blankenship,3
05081,Little River,Don Blankenship,83
05083,Logan,Don Blankenship,28
05085,Lonoke,Don Blankenship,63
05087,Madison,Don Blankenship,3
05089,Marion,Don Blankenship,7
05091,Miller,Don Blankenship,19
05093,Mississippi,Don Blankenship,28
05095,Monroe,Don Blankenship,5
05097,Montgomery,Don Blankenship,2
05099,Nevada,Don Blankenship,46
05101,Newton,Don Blankenship,15
05103,Ouachita,Don Blankenship,10
05105,Perry,Don Blankenship,12
05107,Phillips,Don Blankenship,23
05109,Pike,Don Blankenship,4
05111,Poinsett,Don Blankenship,38
05113,Polk,Don Blankenship,23
05115,Pope,Don Blankenship,23
05117,Prairie,Don Blankenship,5
05119,Pulaski,Don Blankenship,131
05121,Randolph,Don Blankenship,12
05125,Saline,Don Blankenship,54
05127,Scott,Don Blankenship,9
05129,Searcy,Don Blankenship,9
05131,Sebastian,Don Blankenship,56
05133,Sevier,Don Blankenship,50
05135,Sharp,Don Blankenship,20
05123,St. Francis,Don Blankenship,11
05137,Stone,Don Blankenship,18
05139,Union,Don Blankenship,74
05141,Van Buren,Don Blankenship,6
05143,Washington,Don Blankenship,97
05145,White,Don Blankenship,37
05147,Woodruff,Don Blankenship,3
05149,Yell,Don Blankenship,8
05001,Arkansas,Joseph R. Biden,1818
05003,Ashley,Joseph R. Biden,2125
05005,Baxter,Joseph R. Biden,4635
05007,Benton,Joseph R. Biden,42249
05009,Boone,Joseph R. Biden,3064
05011,Bradley,Joseph R. Biden,1214
05013,Calhoun,Joseph R. Biden,479
05015,Carroll,Joseph R. Biden,4023
05017,Chicot,Joseph R. Biden,2260
05019,Clark,Joseph R. Biden,3438
05021,Clay,Joseph R. Biden,962
05023,Cleburne,Joseph R. Biden,1988
05025,Cleveland,Joseph R. Biden,651
05027,Columbia,Joseph R. Biden,2814
05029,Conway,Joseph R. Biden,2615
05031,Craighead,Joseph R. Biden,11921
05033,Crawford,Joseph R. Biden,4959
05035,Crittenden,Joseph R. Biden,8514
05037,Cross,Joseph R. Biden,1772
05039,Dallas,Joseph R. Biden,963
05041,Desha,Joseph R. Biden,2016
05043,Drew,Joseph R. Biden,2426
