fips,county,candidate,votes
04001,Apache,Donald J. Trump,11442
04003,Cochise,Donald J. Trump,35557
04005,Coconino,Donald J. Trump,27052
04007,Gila,Donald J. Trump,18377
04009,Graham,Donald J. Trump,10749
04011,Greenlee,Donald J. Trump,2433
04012,La Paz,Donald J. Trump,5129
04013,Maricopa,Donald J. Trump,995665
04015,Mohave,Donald J. Trump,78535
04017,Navajo,Donald J. Trump,27657
04019,Pima,Donald J. Trump,207758
04021,Pinal,Donald J. Trump,107077
04023,Santa Cruz,Donald J. Trump,6194
04025,Yavapai,Donald J. Trump,91527
04027,Yuma,Donald J. Trump,36534
04001,Apache,Joseph R. Biden,23293
04003,Cochise,Joseph R. Biden,23732
04005,Coconino,Joseph R. Biden,44698
04007,Gila,Joseph R. Biden,8943
04009,Graham,Joseph R. Biden,4034
04011,Greenlee,Joseph R. Biden,1182
04012,La Paz,Joseph R. Biden,2236
04013,Maricopa,Joseph R. Biden,1040774
04015,Mohave,Joseph R. Biden,24831
04017,Navajo,Joseph R. Biden,23383
04019,Pima,Joseph R. Biden,304981
04021,Pinal,Joseph R. Biden,75106
04023,Santa Cruz,Joseph R. Biden,13138
04025,Yavapai,Joseph R. Biden,49602
04027,Yuma,Joseph R. Biden,32210
04001,Apache,Jo Jorgensen,437
04003,Cochise,Jo Jorgensen,1153
04005,Coconino,Jo Jorgensen,1522
04007,Gila,Jo Jorgensen,342
04009,Graham,Jo Jorgensen,212
04011,Greenlee,Jo Jorgensen,70
04012,La Paz,Jo Jorgensen,93
04013,Maricopa,Jo Jorgensen,31705
04015,Mohave,Jo Jorgensen,1302
04017,Navajo,Jo Jorgensen,727
04019,Pima,Jo Jorgensen,7658
04021,Pinal,Jo Jorgensen,2791
04023,Santa Cruz,Jo Jorgensen,224
04025,Yavapai,Jo Jorgensen,2092
04027,Yuma,Jo Jorgensen,1137
04001,Apache,Gloria La Riva,0
04003,Cochise,Gloria La Riva,0
04005,Coconino,Gloria La Riva,8
04007,Gila,Gloria La Riva,0
04009,Graham,Gloria La Riva,0
04011,Greenlee,Gloria La Riva,0
04012,La Paz,Gloria La Riva,0
04013,Maricopa,Gloria La Riva,139
04015,Mohave,Gloria La Riva,1
04017,Navajo,Gloria La Riva,2
04019,Pima,Gloria La Riva,36
04021,Pinal,Gloria La Riva,2
04023,Santa Cruz,Gloria La Riva,0
04025,Yavapai,Gloria La Riva,1
04027,Yuma,Gloria La Riva,1
04001,Apache,Daniel Cummings,0
04003,Cochise,Daniel Cummings,0
04005,Coconino,Daniel Cummings,4
04007,Gila,Daniel Cummings,0
04009,Graham,Daniel Cummings,0
04011,Greenlee,Daniel Cummings,0
04012,La Paz,Daniel Cummings,0
04013,Maricopa,Daniel Cummings,18
04015,Mohave,Daniel Cummings,2
04017,Navajo,Daniel Cummings,2
04019,Pima,Daniel Cummings,9
04021,Pinal,Daniel Cummings,1
04023,Santa Cruz,Daniel Cummings,0
04025,Yavapai,Daniel Cummings,0
04027,Yuma,Daniel Cummings,0
04001,Apache,Jade Simmons,0
04003,Cochise,Jade Simmons,5
04005,Coconino,Jade Simmons,4
04007,Gila,Jade Simmons,0
04009,Graham,Jade Simmons,0
04011,Greenlee,Jade Simmons,2
04012,La Paz,Jade Simmons,0
04013,Maricopa,Jade Simmons,151
04015,Mohave,Jade Simmons,2
04017,Navajo,Jade Simmons,0
04019,Pima,Jade Simmons,47
04021,Pinal,Jade Simmons,2
04023,Santa Cruz,Jade Simmons,1
04025,Yavapai,Jade Simmons,13
04027,Yuma,Jade Simmons,9
04001,Apache,President R. Boddie,0
04003,Cochise,President R. Boddie,1
04005,Coconino,President R. Boddie,0
04007,Gila,President R. Boddie,0
04009,Graham,President R. Boddie,0
04011,Greenlee,President R. Boddie,0
04012,La Paz,President R. Boddie,0
04013,Maricopa,President R. Boddie,10
04015,Mohave,President R. Boddie,0
04017,Navajo,President R. Boddie,1
04019,Pima,President R. Boddie,1
04021,Pinal,President R. Boddie,0
04023,Santa Cruz,President R. Boddie,0
04025,Yavapai,President R. Boddie,0
04027,Yuma,President R. Boddie,0
04001,Apache,Howie Hawkins,11
04003,Cochise,Howie Hawkins,25
04005,Coconino,Howie Hawkins,58
04007,Gila,Howie Hawkins,16
04009,Graham,Howie Hawkins,1
04011,Greenlee,Howie Hawkins,1
04012,La Paz,Howie Hawkins,2
04013,Maricopa,Howie Hawkins,1013
04015,Mohave,Howie Hawkins,32
04017,Navajo,Howie Hawkins,11
04019,Pima,Howie Hawkins,245
04021,Pinal,Howie Hawkins,58
04023,Santa Cruz,Howie Hawkins,4
04025,Yavapai,Howie Hawkins,45
04027,Yuma,Howie Hawkins,35
