fips,county,candidate,votes
06001,Alameda,Joseph R. Biden,617659
06001,Alameda,Gloria La Riva,2538
06001,Alameda,Brian Carroll,127
06001,Alameda,Brock Pierce,8
06001,Alameda,Rocky De La Fuente,2399
06001,Alameda,Donald J. Trump,136309
06001,Alameda,Jo Jorgensen,6295
06001,Alameda,Mark Charles,25
06001,Alameda,Jesse Ventura,29
06001,Alameda,Howie Hawkins,4664
06001,Alameda,Joseph Kishore,17
06003,Alpine,Brian Carroll,0
06003,Alpine,Donald J. Trump,244
06003,Alpine,Howie Hawkins,4
06003,Alpine,Jesse Ventura,0
06003,Alpine,Gloria La Riva,2
06003,Alpine,Mark Charles,0
06003,Alpine,Jo Jorgensen,15
06003,Alpine,Rocky De La Fuente,0
06003,Alpine,Brock Pierce,0
06003,Alpine,Joseph R. Biden,476
06003,Alpine,Joseph Kishore,0
06005,Amador,Jesse Ventura,1
06005,Amador,Rocky De La Fuente,64
06005,Amador,Brian Carroll,1
06005,Amador,Gloria La Riva,41
06005,Amador,Donald J. Trump,13585
06005,Amador,Brock Pierce,0
06005,Amador,Joseph R. Biden,8153
06005,Amador,Jo Jorgensen,349
06005,Amador,Mark Charles,0
06005,Amador,Howie Hawkins,110
06005,Amador,Joseph Kishore,0
06007,Butte,Joseph R. Biden,50426
06007,Butte,Jo Jorgensen,1774
06007,Butte,Rocky De La Fuente,324
06007,Butte,Jesse Ventura,4
06007,Butte,Joseph Kishore,0
06007,Butte,Howie Hawkins,507
06007,Butte,Brian Carroll,15
06007,Butte,Mark Charles,2
06007,Butte,Donald J. Trump,48730
06007,Butte,Gloria La Riva,281
06007,Butte,Brock Pierce,3
06009,Calaveras,Jesse Ventura,0
06009,Calaveras,Brock Pierce,0
06009,Calaveras,Mark Charles,0
06009,Calaveras,Jo Jorgensen,359
06009,Calaveras,Donald J. Trump,16518
06009,Calaveras,Rocky De La Fuente,72
06009,Calaveras,Brian Carroll,0
06009,Calaveras,Howie Hawkins,125
06009,Calaveras,Joseph R. Biden,10046
06009,Calaveras,Joseph Kishore,0
06009,Calaveras,Gloria La Riva,44
06011,Colusa,Howie Hawkins,25
06011,Colusa,Donald J. Trump,4559
06011,Colusa,Joseph Kishore,0
06011,Colusa,Gloria La Riva,27
06011,Colusa,Jo Jorgensen,81
06011,Colusa,Brian Carroll,0
06011,Colusa,Brock Pierce,0
06011,Colusa,Joseph R. Biden,3239
06011,Colusa,Rocky De La Fuente,30
06011,Colusa,Jesse Ventura,0
06011,Colusa,Mark Charles,0
06013,Contra Costa,Joseph Kishore,2
06013,Contra Costa,Joseph R. Biden,416386
06013,Contra Costa,Howie Hawkins,2618
06013,Contra Costa,Jesse Ventura,10
06013,Contra Costa,Jo Jorgensen,6116
06013,Contra Costa,Donald J. Trump,152877
06013,Contra Costa,Gloria La Riva,1284
06013,Contra Costa,Brian Carroll,57
06013,Contra Costa,Rocky De La Fuente,1949
06013,Contra Costa,Mark Charles,14
06013,Contra Costa,Brock Pierce,3
06015,Del Norte,Mark Charles,0
06015,Del Norte,Brock Pierce,0
06015,Del Norte,Joseph Kishore,0
06015,Del Norte,Howie Hawkins,78
06015,Del Norte,Rocky De La Fuente,53
06015,Del Norte,Jo Jorgensen,150
06015,Del Norte,Gloria La Riva,33
06015,Del Norte,Donald J. Trump,6461
06015,Del Norte,Jesse Ventura,0
06015,Del Norte,Brian Carroll,1
06015,Del Norte,Joseph R. Biden,4677
06017,El Dorado,Donald J. Trump,61838
06017,El Dorado,Gloria La Riva,108
06017,El Dorado,Mark Charles,1
06017,El Dorado,Jesse Ventura,5
06017,El Dorado,Jo Jorgensen,1871
06017,El Dorado,Joseph R. Biden,51621
06017,El Dorado,Joseph Kishore,0
06017,El Dorado,Howie Hawkins,460
06017,El Dorado,Brian Carroll,15
06017,El Dorado,Brock Pierce,0
06017,El Dorado,Rocky De La Fuente,240
06019,Fresno,Jesse Ventura,10
06019,Fresno,Howie Hawkins,1474
06019,Fresno,Brian Carroll,64
06019,Fresno,Brock Pierce,2
06019,Fresno,Joseph Kishore,0
06019,Fresno,Jo Jorgensen,4031
06019,Fresno,Gloria La Riva,668
06019,Fresno,Joseph R. Biden,193025
06019,Fresno,Donald J. Trump,164464
06019,Fresno,Mark Charles,32
06019,Fresno,Rocky De La Fuente,1147
06021,Glenn,Joseph R. Biden,3995
06021,Glenn,Donald J. Trump,7063
06021,Glenn,Jesse Ventura,0
06021,Glenn,Joseph Kishore,0
06021,Glenn,Howie Hawkins,34
06021,Glenn,Rocky De La Fuente,39
06021,Glenn,Brian Carroll,5
06021,Glenn,Jo Jorgensen,128
06021,Glenn,Gloria La Riva,33
06021,Glenn,Mark Charles,0
06021,Glenn,Brock Pierce,0
06023,Humboldt,Joseph R. Biden,44768
06023,Humboldt,Gloria La Riva,282
06023,Humboldt,Joseph Kishore,0
06023,Humboldt,Howie Hawkins,625
06023,Humboldt,Rocky De La Fuente,251
06023,Humboldt,Brian Carroll,7
06023,Humboldt,Jo Jorgensen,1132
06023,Humboldt,Donald J. Trump,21770
06023,Humboldt,Mark Charles,6
06023,Humboldt,Brock Pierce,0
06023,Humboldt,Jesse Ventura,2
06025,Imperial,Brian Carroll,25
06025,Imperial,Jo Jorgensen,390
06025,Imperial,Donald J. Trump,20847
06025,Imperial,Mark Charles,0
06025,Imperial,Joseph R. Biden,34678
06025,Imperial,Gloria La Riva,278
06025,Imperial,Brock Pierce,0
06025,Imperial,Joseph Kishore,0
06025,Imperial,Howie Hawkins,234
06025,Imperial,Rocky De La Fuente,291
06025,Imperial,Jesse Ventura,0
06027,Inyo,Rocky De La Fuente,32
06027,Inyo,Jo Jorgensen,128
06027,Inyo,Donald J. Trump,4620
06027,Inyo,Howie Hawkins,45
06027,Inyo,Brian Carroll,1
06027,Inyo,Mark Charles,2
06027,Inyo,Joseph R. Biden,4634
06027,Inyo,Gloria La Riva,22
06027,Inyo,Joseph Kishore,0
06027,Inyo,Jesse Ventura,0
06027,Inyo,Brock Pierce,0
06029,Kern,Brian Carroll,35
06029,Kern,Howie Hawkins,1074
06029,Kern,Gloria La Riva,1096
06029,Kern,Jo Jorgensen,3942
06029,Kern,Mark Charles,20
06029,Kern,Joseph Kishore,0
06029,Kern,Donald J. Trump,164484
06029,Kern,Brock Pierce,2
06029,Kern,Jesse Ventura,9
06029,Kern,Rocky De La Fuente,1264
06029,Kern,Joseph R. Biden,133366
06031,Kings,Joseph Kishore,0
06031,Kings,Jo Jorgensen,604
06031,Kings,Brock Pierce,1
06031,Kings,Brian Carroll,0
06031,Kings,Mark Charles,1
06031,Kings,Jesse Ventura,1
06031,Kings,Howie Hawkins,125
06031,Kings,Rocky De La Fuente,180
06031,Kings,Joseph R. Biden,18699
06031,Kings,Donald J. Trump,24072
06031,Kings,Gloria La Riva,178
06033,Lake,Joseph R. Biden,14941
06033,Lake,Jesse Ventura,2
06033,Lake,Gloria La Riva,66
06033,Lake,Rocky De La Fuente,89
06033,Lake,Mark Charles,5
06033,Lake,Brian Carroll,2
06033,Lake,Howie Hawkins,207
06033,Lake,Brock Pierce,2
06033,Lake,Jo Jorgensen,374
06033,Lake,Joseph Kishore,1
06033,Lake,Donald J. Trump,13123
06035,Lassen,Brian Carroll,0
06035,Lassen,Jo Jorgensen,141
06035,Lassen,Joseph Kishore,0
06035,Lassen,Donald J. Trump,8970
06035,Lassen,Brock Pierce,0
06035,Lassen,Mark Charles,0
06035,Lassen,Jesse Ventura,2
06035,Lassen,Joseph R. Biden,2799
06035,Lassen,Howie Hawkins,31
06035,Lassen,Rocky De La Fuente,26
06035,Lassen,Gloria La Riva,18
06037,Los Angeles,Donald J. Trump,1145530
06037,Los Angeles,Joseph R. Biden,3028885
06037,Los Angeles,Jo Jorgensen,35452
06037,Los Angeles,Brian Carroll,485
06037,Los Angeles,Howie Hawkins,21660
06037,Los Angeles,Joseph Kishore,30
06037,Los Angeles,Rocky De La Fuente,15999
06037,Los Angeles,Mark Charles,127
06037,Los Angeles,Brock Pierce,72
06037,Los Angeles,Gloria La Riva,15917
