fips,county,candidate,votes
08001,Adams,Joseph R. Biden,134202
08003,Alamosa,Joseph R. Biden,3759
08005,Arapahoe,Joseph R. Biden,213607
08007,Archuleta,Joseph R. Biden,3738
08009,Baca,Joseph R. Biden,317
08011,Bent,Joseph R. Biden,732
08013,Boulder,Joseph R. Biden,159089
08014,Broomfield,Joseph R. Biden,29077
08015,Chaffee,Joseph R. Biden,7160
08017,Cheyenne,Joseph R. Biden,131
08019,Clear Creek,Joseph R. Biden,3604
08021,Conejos,Joseph R. Biden,1959
08023,Costilla,Joseph R. Biden,1311
08025,Crowley,Joseph R. Biden,437
08027,Custer,Joseph R. Biden,1112
08029,Delta,Joseph R. Biden,5887
08031,Denver,Joseph R. Biden,313293
08033,Dolores,Joseph R. Biden,341
08035,Douglas,Joseph R. Biden,104653
08037,Eagle,Joseph R. Biden,18588
08041,El Paso,Joseph R. Biden,161941
08039,Elbert,Joseph R. Biden,4490
08043,Fremont,Joseph R. Biden,7369
08045,Garfield,Joseph R. Biden,15427
08047,Gilpin,Joseph R. Biden,2223
08049,Grand,Joseph R. Biden,4710
08051,Gunnison,Joseph R. Biden,7132
08053,Hinsdale,Joseph R. Biden,255
08055,Huerfano,Joseph R. Biden,2076
08057,Jackson,Joseph R. Biden,175
08059,Jefferson,Joseph R. Biden,218396
08061,Kiowa,Joseph R. Biden,98
08063,Kit Carson,Joseph R. Biden,662
08067,La Plata,Joseph R. Biden,20548
08065,Lake,Joseph R. Biden,2303
08069,Larimer,Joseph R. Biden,126120
08071,Las Animas,Joseph R. Biden,3497
08073,Lincoln,Joseph R. Biden,470
08075,Logan,Joseph R. Biden,2218
08077,Mesa,Joseph R. Biden,31536
08079,Mineral,Joseph R. Biden,317
08081,Moffat,Joseph R. Biden,1203
08083,Montezuma,Joseph R. Biden,5836
08085,Montrose,Joseph R. Biden,7687
08087,Morgan,Joseph R. Biden,3876
08089,Otero,Joseph R. Biden,3605
08091,Ouray,Joseph R. Biden,2365
08093,Park,Joseph R. Biden,4903
08095,Phillips,Joseph R. Biden,486
08097,Pitkin,Joseph R. Biden,8989
08099,Prowers,Joseph R. Biden,1458
08101,Pueblo,Joseph R. Biden,43772
08103,Rio Blanco,Joseph R. Biden,561
08105,Rio Grande,Joseph R. Biden,2495
08107,Routt,Joseph R. Biden,10582
08109,Saguache,Joseph R. Biden,1884
08111,San Juan,Joseph R. Biden,342
08113,San Miguel,Joseph R. Biden,3924
08115,Sedgwick,Joseph R. Biden,301
08117,Summit,Joseph R. Biden,12631
08119,Teller,Joseph R. Biden,5278
08121,Washington,Joseph R. Biden,369
08123,Weld,Joseph R. Biden,66060
08125,Yuma,Joseph R. Biden,785
08001,Adams,Donald J. Trump,95657
08003,Alamosa,Donald J. Trump,3813
08005,Arapahoe,Donald J. Trump,127323
08007,Archuleta,Donald J. Trump,5189
08009,Baca,Donald J. Trump,1867
08011,Bent,Donald J. Trump,1503
08013,Boulder,Donald J. Trump,42501
08014,Broomfield,Donald J. Trump,16295
08015,Chaffee,Donald J. Trump,6222
08017,Cheyenne,Donald J. Trump,993
08019,Clear Creek,Donald J. Trump,2754
08021,Conejos,Donald J. Trump,2286
08023,Costilla,Donald J. Trump,741
08025,Crowley,Donald J. Trump,1271
08027,Custer,Donald J. Trump,2474
08029,Delta,Donald J. Trump,13081
08031,Denver,Donald J. Trump,71618
08033,Dolores,Donald J. Trump,1089
08035,Douglas,Donald J. Trump,121270
08037,Eagle,Donald J. Trump,9892
08041,El Paso,Donald J. Trump,202828
08039,Elbert,Donald J. Trump,14027
08043,Fremont,Donald J. Trump,17517
08045,Garfield,Donald J. Trump,14717
08047,Gilpin,Donald J. Trump,1833
08049,Grand,Donald J. Trump,4883
08051,Gunnison,Donald J. Trump,3735
08053,Hinsdale,Donald J. Trump,353
08055,Huerfano,Donald J. Trump,2203
08057,Jackson,Donald J. Trump,681
08059,Jefferson,Donald J. Trump,148417
08061,Kiowa,Donald J. Trump,795
08063,Kit Carson,Donald J. Trump,3144
08067,La Plata,Donald J. Trump,14233
08065,Lake,Donald J. Trump,1497
08069,Larimer,Donald J. Trump,91489
08071,Las Animas,Donald J. Trump,4284
