fips,county,candidate,votes
09001,Fairfield,Joseph R. Biden,297505
09001,Fairfield,Donald J. Trump,169039
09001,Fairfield,Jo Jorgensen,4593
09001,Fairfield,Howie Hawkins,1681
09001,Fairfield,Kanye West,74
09001,Fairfield,Brian Carroll,78
09001,Fairfield,Jade Simmons,5
09001,Fairfield,Rocky De La Fuente,3
09001,Fairfield,Shawn Howard,6
09001,Fairfield,Mark Charles,0
09001,Fairfield,Kasey Wells,4
09001,Fairfield,Mary Ruth Caro Simmons,1
09001,Fairfield,Karynn Weinstein,1
09001,Fairfield,Jeffrey John Klojzy Jr.,0
09003,Hartford,Joseph R. Biden,283368
09003,Hartford,Donald J. Trump,159024
09003,Hartford,Jo Jorgensen,5039
09003,Hartford,Howie Hawkins,1773
09003,Hartford,Kanye West,56
09003,Hartford,Brian Carroll,54
09003,Hartford,Jade Simmons,6
09003,Hartford,Rocky De La Fuente,2
09003,Hartford,Shawn Howard,4
09003,Hartford,Mark Charles,6
09003,Hartford,Kasey Wells,1
09003,Hartford,Mary Ruth Caro Simmons,2
09003,Hartford,Karynn Weinstein,0
09003,Hartford,Jeffrey John Klojzy Jr.,0
09005,Litchfield,Joseph R. Biden,50164
09005,Litchfield,Donald J. Trump,55601
09005,Litchfield,Jo Jorgensen,1280
09005,Litchfield,Howie Hawkins,485
09005,Litchfield,Kanye West,8
09005,Litchfield,Brian Carroll,5
09005,Litchfield,Jade Simmons,0
09005,Litchfield,Rocky De La Fuente,0
09005,Litchfield,Shawn Howard,0
09005,Litchfield,Mark Charles,1
09005,Litchfield,Kasey Wells,0
09005,Litchfield,Mary Ruth Caro Simmons,0
09005,Litchfield,Karynn Weinstein,0
09005,Litchfield,Jeffrey John Klojzy Jr.,0
09007,Middlesex,Joseph R. Biden,56848
09007,Middlesex,Donald J. Trump,40665
09007,Middlesex,Jo Jorgensen,1210
09007,Middlesex,Howie Hawkins,444
09007,Middlesex,Kanye West,16
09007,Middlesex,Brian Carroll,13
09007,Middlesex,Jade Simmons,1
09007,Middlesex,Rocky De La Fuente,1
09007,Middlesex,Shawn Howard,0
09007,Middlesex,Mark Charles,0
09007,Middlesex,Kasey Wells,0
09007,Middlesex,Mary Ruth Caro Simmons,0
09007,Middlesex,Karynn Weinstein,0
09007,Middlesex,Jeffrey John Klojzy Jr.,0
09009,New Haven,Joseph R. Biden,242630
09009,New Haven,Donald J. Trump,169893
09009,New Haven,Jo Jorgensen,3661
09009,New Haven,Howie Hawkins,1693
09009,New Haven,Kanye West,61
09009,New Haven,Brian Carroll,33
09009,New Haven,Jade Simmons,4
09009,New Haven,Rocky De La Fuente,5
09009,New Haven,Shawn Howard,1
09009,New Haven,Mark Charles,1
09009,New Haven,Kasey Wells,1
09009,New Haven,Mary Ruth Caro Simmons,0
09009,New Haven,Karynn Weinstein,0
09009,New Haven,Jeffrey John Klojzy Jr.,0
09011,New London,Joseph R. Biden,79459
09011,New London,Donald J. Trump,57110
09011,New London,Jo Jorgensen,2256
09011,New London,Howie Hawkins,757
09011,New London,Kanye West,10
09011,New London,Brian Carroll,7
09011,New London,Jade Simmons,2
09011,New London,Rocky De La Fuente,2
09011,New London,Shawn Howard,1
09011,New London,Mark Charles,0
09011,New London,Kasey Wells,0
09011,New London,Mary Ruth Caro Simmons,0
09011,New London,Karynn Weinstein,0
09011,New London,Jeffrey John Klojzy Jr.,0
09013,Tolland,Joseph R. Biden,44151
09013,Tolland,Donald J. Trump,34838
09013,Tolland,Jo Jorgensen,1277
09013,Tolland,Howie Hawkins,398
09013,Tolland,Kanye West,22
09013,Tolland,Brian Carroll,22
09013,Tolland,Jade Simmons,2
09013,Tolland,Rocky De La Fuente,0
09013,Tolland,Shawn Howard,0
09013,Tolland,Mark Charles,2
09013,Tolland,Kasey Wells,0
09013,Tolland,Mary Ruth Caro Simmons,2
09013,Tolland,Karynn Weinstein,0
09013,Tolland,Jeffrey John Klojzy Jr.,0
09015,Windham,Joseph R. Biden,26706
09015,Windham,Donald J. Trump,29141
09015,Windham,Jo Jorgensen,914
09015,Windham,Howie Hawkins,307
09015,Windham,Kanye West,7
09015,Windham,Brian Carroll,6
09015,Windham,Jade Simmons,0
09015,Windham,Rocky De La Fuente,0
09015,Windham,Shawn Howard,0
09015,Windham,Mark Charles,1
09015,Windham,Kasey Wells,0
09015,Windham,Mary Ruth Caro Simmons,0
09015,Windham,Karynn Weinstein,0
09015,Windham,Jeffrey John Klojzy Jr.,0
