fips,county,candidate,votes
12001,Alachua,Donald J. Trump,50972
12003,Baker,Donald J. Trump,11911
12005,Bay,Donald J. Trump,66097
12007,Bradford,Donald J. Trump,10334
12009,Brevard,Donald J. Trump,207883
12011,Broward,Donald J. Trump,333409
12013,Calhoun,Donald J. Trump,5274
12015,Charlotte,Donald J. Trump,73243
12017,Citrus,Donald J. Trump,65352
12019,Clay,Donald J. Trump,84480
12021,Collier,Donald J. Trump,128950
12023,Columbia,Donald J. Trump,23836
12027,DeSoto,Donald J. Trump,8313
12029,Dixie,Donald J. Trump,6759
12031,Duval,Donald J. Trump,233762
12033,Escambia,Donald J. Trump,96674
12035,Flagler,Donald J. Trump,43043
12037,Franklin,Donald J. Trump,4675
12039,Gadsden,Donald J. Trump,7465
12041,Gilchrist,Donald J. Trump,7895
12043,Glades,Donald J. Trump,3782
12045,Gulf,Donald J. Trump,6113
12047,Hamilton,Donald J. Trump,3815
12049,Hardee,Donald J. Trump,6122
12051,Hendry,Donald J. Trump,7906
12053,Hernando,Donald J. Trump,70412
12055,Highlands,Donald J. Trump,34873
12057,Hillsborough,Donald J. Trump,327398
12059,Holmes,Donald J. Trump,8080
12061,Indian River,Donald J. Trump,58872
12063,Jackson,Donald J. Trump,15488
12065,Jefferson,Donald J. Trump,4479
12067,Lafayette,Donald J. Trump,3128
12069,Lake,Donald J. Trump,125859
12071,Lee,Donald J. Trump,233247
12073,Leon,Donald J. Trump,57453
12075,Levy,Donald J. Trump,16749
12077,Liberty,Donald J. Trump,2846
12079,Madison,Donald J. Trump,5576
12081,Manatee,Donald J. Trump,124987
12083,Marion,Donald J. Trump,127826
12085,Martin,Donald J. Trump,61168
12086,Miami-Dade,Donald J. Trump,532833
12087,Monroe,Donald J. Trump,25693
12089,Nassau,Donald J. Trump,42566
12091,Okaloosa,Donald J. Trump,79798
12093,Okeechobee,Donald J. Trump,11470
12095,Orange,Donald J. Trump,245398
12097,Osceola,Donald J. Trump,73480
12099,Palm Beach,Donald J. Trump,334711
12101,Pasco,Donald J. Trump,179621
12103,Pinellas,Donald J. Trump,276209
12105,Polk,Donald J. Trump,194586
12107,Putnam,Donald J. Trump,25514
12113,Santa Rosa,Donald J. Trump,77385
12115,Sarasota,Donald J. Trump,148370
12117,Seminole,Donald J. Trump,125241
12109,St. Johns,Donald J. Trump,110946
12111,St. Lucie,Donald J. Trump,86831
12119,Sumter,Donald J. Trump,62761
12121,Suwannee,Donald J. Trump,16410
12123,Taylor,Donald J. Trump,7751
12125,Union,Donald J. Trump,5133
12127,Volusia,Donald J. Trump,173821
12129,Wakulla,Donald J. Trump,12874
12131,Walton,Donald J. Trump,32947
12133,Washington,Donald J. Trump,9876
12001,Alachua,Joseph R. Biden,89704
12003,Baker,Joseph R. Biden,2037
12005,Bay,Joseph R. Biden,25614
12007,Bradford,Joseph R. Biden,3160
12009,Brevard,Joseph R. Biden,148549
12011,Broward,Joseph R. Biden,618752
12013,Calhoun,Joseph R. Biden,1209
