fips,county,candidate,votes
15003,Honolulu,Joseph R. Biden,238869
15003,Honolulu,Donald J. Trump,136259
15003,Honolulu,Jo Jorgensen,3437
15003,Honolulu,Howie Hawkins,2178
15003,Honululu,Brock Pierce,741
15003,Honululu,Don Blankenship,630 
15001,Hawaii,Joseph R. Biden,58731
15001,Hawaii,Donald J. Trump,26897
15001,Hawaii,Jo Jorgensen,1027
15001,Hawaii,Howie Hawkins,805
15001,Hawaii,Brock Pierce,220
15001,Hawaii,Don Blankenship,134
15009,Maui,Joseph R. Biden,47305
15009,Maui,Donald J. Trump,22126
15009,Maui,Jo Jorgensen,772
15009,Maui,Howie Hawkins,585
15009,Maui,Brock Pierce,145
15009,Maui,Don Blankenship,111
15007,Kauai,Joseph R. Biden,21225
15007,Kauai,Donald J. Trump,11582
15007,Kauai,Jo Jorgensen,303
15007,Kauai,Howie Hawkins,254
15007,Kauai,Brock Pierce,77
15007,Kauai,Don Blankenship,56
,Overseas,Joseph R. Biden,
,Overseas,Donald J. Trump,
,Overseas,Jo Jorgensen,
,Overseas,Howie Hawkins,
,Overseas,Brock Pierce,
,Overseas,Don Blankenship,
