fips,county,candidate,votes
19001,Adair,Donald J. Trump,2917
19001,Adair,Joseph R. Biden,1198
19001,Adair,Rocky De La Fuente,6
19001,Adair,Don Blankenship,4
19001,Adair,Ricki Sue King,0
19001,Adair,Howie Hawkins,4
19001,Adair,Jo Jorgensen,35
19001,Adair,Brock Pierce,1
19001,Adair,Kanye West,7
19001,Adair,Write-in,5
19001,Adair,Undervotes,22
19001,Adair,Overvotes,6
19003,Adams,Donald J. Trump,1530
19003,Adams,Joseph R. Biden,590
19003,Adams,Rocky De La Fuente,2
19003,Adams,Don Blankenship,3
19003,Adams,Ricki Sue King,0
19003,Adams,Howie Hawkins,1
19003,Adams,Jo Jorgensen,27
19003,Adams,Brock Pierce,0
19003,Adams,Kanye West,2
19003,Adams,Write-in,5
19003,Adams,Undervotes,13
19003,Adams,Overvotes,1
19005,Allamakee,Donald J. Trump,4735
19005,Allamakee,Joseph R. Biden,2576
19005,Allamakee,Rocky De La Fuente,4
19005,Allamakee,Don Blankenship,12
19005,Allamakee,Ricki Sue King,1
19005,Allamakee,Howie Hawkins,4
19005,Allamakee,Jo Jorgensen,71
19005,Allamakee,Brock Pierce,5
19005,Allamakee,Kanye West,5
19005,Allamakee,Write-in,9
19005,Allamakee,Undervotes,40
19005,Allamakee,Overvotes,17
19007,Appanoose,Donald J. Trump,4512
19007,Appanoose,Joseph R. Biden,1891
19007,Appanoose,Rocky De La Fuente,2
19007,Appanoose,Don Blankenship,5
19007,Appanoose,Ricki Sue King,5
19007,Appanoose,Howie Hawkins,9
19007,Appanoose,Jo Jorgensen,72
19007,Appanoose,Brock Pierce,4
19007,Appanoose,Kanye West,6
19007,Appanoose,Write-in,10
19007,Appanoose,Undervotes,18
19007,Appanoose,Overvotes,19
19009,Audubon,Donald J. Trump,2295
19009,Audubon,Joseph R. Biden,1071
19009,Audubon,Rocky De La Fuente,1
19009,Audubon,Don Blankenship,5
19009,Audubon,Ricki Sue King,0
19009,Audubon,Howie Hawkins,7
19009,Audubon,Jo Jorgensen,32
19009,Audubon,Brock Pierce,3
19009,Audubon,Kanye West,2
19009,Audubon,Write-in,4
19009,Audubon,Undervotes,27
19009,Audubon,Overvotes,8
19011,Benton,Donald J. Trump,9188
19011,Benton,Joseph R. Biden,5160
19011,Benton,Rocky De La Fuente,13
19011,Benton,Don Blankenship,21
19011,Benton,Ricki Sue King,3
19011,Benton,Howie Hawkins,29
19011,Benton,Jo Jorgensen,186
19011,Benton,Brock Pierce,3
19011,Benton,Kanye West,19
19011,Benton,Write-in,20
19011,Benton,Undervotes,77
19011,Benton,Overvotes,17
19013,Black Hawk,Donald J. Trump,29640
19013,Black Hawk,Joseph R. Biden,35647
19013,Black Hawk,Rocky De La Fuente,54
19013,Black Hawk,Don Blankenship,67
19013,Black Hawk,Ricki Sue King,20
19013,Black Hawk,Howie Hawkins,103
19013,Black Hawk,Jo Jorgensen,722
19013,Black Hawk,Brock Pierce,21
19013,Black Hawk,Kanye West,146
19013,Black Hawk,Write-in,173
19013,Black Hawk,Undervotes,262
19013,Black Hawk,Overvotes,115
19015,Boone,Donald J. Trump,8695
19015,Boone,Joseph R. Biden,6303
19015,Boone,Rocky De La Fuente,15
19015,Boone,Don Blankenship,19
19015,Boone,Ricki Sue King,7
19015,Boone,Howie Hawkins,24
19015,Boone,Jo Jorgensen,198
19015,Boone,Brock Pierce,11
19015,Boone,Kanye West,34
19015,Boone,Write-in,34
19015,Boone,Undervotes,63
19015,Boone,Overvotes,20
19017,Bremer,Donald J. Trump,8294
19017,Bremer,Joseph R. Biden,5958
19017,Bremer,Rocky De La Fuente,8
19017,Bremer,Don Blankenship,19
19017,Bremer,Ricki Sue King,4
19017,Bremer,Howie Hawkins,24
19017,Bremer,Jo Jorgensen,185
19017,Bremer,Brock Pierce,4
19017,Bremer,Kanye West,20
19017,Bremer,Write-in,30
19017,Bremer,Undervotes,59
19017,Bremer,Overvotes,22
19019,Buchanan,Donald J. Trump,6420
19019,Buchanan,Joseph R. Biden,4169
19019,Buchanan,Rocky De La Fuente,14
19019,Buchanan,Don Blankenship,19
19019,Buchanan,Ricki Sue King,4
19019,Buchanan,Howie Hawkins,20
19019,Buchanan,Jo Jorgensen,96
19019,Buchanan,Brock Pierce,0
19019,Buchanan,Kanye West,22
19019,Buchanan,Write-in,10
19019,Buchanan,Undervotes,90
19019,Buchanan,Overvotes,15
19021,Buena Vista,Donald J. Trump,5056
19021,Buena Vista,Joseph R. Biden,2961
19021,Buena Vista,Rocky De La Fuente,15
