fips,candidate,county,votes
16001,Donald J. Trump,Ada,130699
16001,Joseph R. Biden,Ada,120539
16001,Don Blankenship,Ada,438
16001,Rocky De La Fuente,Ada,356
16001,Jo Jorgensen,Ada,5310
16001,Brock Pierce,Ada,875
16001,Kanye West,Ada,1172
16003,Donald J. Trump,Adams,1941
16003,Joseph R. Biden,Adams,591
16003,Don Blankenship,Adams,6
16003,Rocky De La Fuente,Adams,3
16003,Jo Jorgensen,Adams,34
16003,Brock Pierce,Adams,6
16003,Kanye West,Adams,5
16005,Donald J. Trump,Bannock,23331
16005,Joseph R. Biden,Bannock,14682
16005,Don Blankenship,Bannock,87
16005,Rocky De La Fuente,Bannock,89
16005,Jo Jorgensen,Bannock,947
16005,Brock Pierce,Bannock,212
16005,Kanye West,Bannock,205
16007,Donald J. Trump,Bear Lake,2914
16007,Joseph R. Biden,Bear Lake,350
16007,Don Blankenship,Bear Lake,8
16007,Rocky De La Fuente,Bear Lake,4
16007,Jo Jorgensen,Bear Lake,25
16007,Brock Pierce,Bear Lake,3
16007,Kanye West,Bear Lake,11
16009,Donald J. Trump,Benewah,3878
16009,Joseph R. Biden,Benewah,977
16009,Don Blankenship,Benewah,9
16009,Rocky De La Fuente,Benewah,6
16009,Jo Jorgensen,Benewah,58
16009,Brock Pierce,Benewah,17
16009,Kanye West,Benewah,28
16011,Donald J. Trump,Bingham,15295
16011,Joseph R. Biden,Bingham,4124
16011,Don Blankenship,Bingham,56
16011,Rocky De La Fuente,Bingham,49
16011,Jo Jorgensen,Bingham,307
16011,Brock Pierce,Bingham,65
16011,Kanye West,Bingham,100
16013,Donald J. Trump,Blaine,4032
16013,Joseph R. Biden,Blaine,8919
16013,Don Blankenship,Blaine,47
16013,Rocky De La Fuente,Blaine,34
16013,Jo Jorgensen,Blaine,168
16013,Brock Pierce,Blaine,36
16013,Kanye West,Blaine,53
16015,Donald J. Trump,Boise,3485
16015,Joseph R. Biden,Boise,1204
16015,Don Blankenship,Boise,12
16015,Rocky De La Fuente,Boise,7
16015,Jo Jorgensen,Boise,67
16015,Brock Pierce,Boise,15
16015,Kanye West,Boise,30
16017,Donald J. Trump,Bonner,18369
16017,Joseph R. Biden,Bonner,8310
16017,Don Blankenship,Bonner,56
16017,Rocky De La Fuente,Bonner,37
16017,Jo Jorgensen,Bonner,401
16017,Brock Pierce,Bonner,60
16017,Kanye West,Bonner,102
16019,Donald J. Trump,Bonneville,37805
16019,Joseph R. Biden,Bonneville,14254
16019,Don Blankenship,Bonneville,113
16019,Rocky De La Fuente,Bonneville,90
16019,Jo Jorgensen,Bonneville,1288
16019,Brock Pierce,Bonneville,186
16019,Kanye West,Bonneville,259
16021,Donald J. Trump,Boundary,4937
16021,Joseph R. Biden,Boundary,1220
16021,Don Blankenship,Boundary,29
16021,Rocky De La Fuente,Boundary,14
16021,Jo Jorgensen,Boundary,82
16021,Brock Pierce,Boundary,16
16021,Kanye West,Boundary,15
16023,Donald J. Trump,Butte,1202
16023,Joseph R. Biden,Butte,188
16023,Don Blankenship,Butte,5
16023,Rocky De La Fuente,Butte,2
16023,Jo Jorgensen,Butte,11
16023,Brock Pierce,Butte,2
16023,Kanye West,Butte,5
16025,Donald J. Trump,Camas,507
16025,Joseph R. Biden,Camas,149
16025,Don Blankenship,Camas,3
16025,Rocky De La Fuente,Camas,2
16025,Jo Jorgensen,Camas,7
16025,Brock Pierce,Camas,3
16025,Kanye West,Camas,3
16027,Donald J. Trump,Canyon,61759
16027,Joseph R. Biden,Canyon,25881
16027,Don Blankenship,Canyon,197
16027,Rocky De La Fuente,Canyon,230
16027,Jo Jorgensen,Canyon,1696
16027,Brock Pierce,Canyon,305
16027,Kanye West,Canyon,342
16029,Donald J. Trump,Caribou,2906
16029,Joseph R. Biden,Caribou,431
16029,Don Blankenship,Caribou,11
16029,Rocky De La Fuente,Caribou,5
16029,Jo Jorgensen,Caribou,41
16029,Brock Pierce,Caribou,12
16029,Kanye West,Caribou,10
16031,Donald J. Trump,Cassia,7907
16031,Joseph R. Biden,Cassia,1464
16031,Don Blankenship,Cassia,38
16031,Rocky De La Fuente,Cassia,26
16031,Jo Jorgensen,Cassia,121
16031,Brock Pierce,Cassia,25
16031,Kanye West,Cassia,48
16033,Donald J. Trump,Clark,264
16033,Joseph R. Biden,Clark,41
16033,Don Blankenship,Clark,0
16033,Rocky De La Fuente,Clark,0
16033,Jo Jorgensen,Clark,4
16033,Brock Pierce,Clark,1
16033,Kanye West,Clark,1
16035,Donald J. Trump,Clearwater,3453
16035,Joseph R. Biden,Clearwater,877
16035,Don Blankenship,Clearwater,9
16035,Rocky De La Fuente,Clearwater,5
16035,Jo Jorgensen,Clearwater,47
16035,Brock Pierce,Clearwater,16
16035,Kanye West,Clearwater,12
16037,Donald J. Trump,Custer,2089
16037,Joseph R. Biden,Custer,603
16037,Don Blankenship,Custer,6
16037,Rocky De La Fuente,Custer,2
16037,Jo Jorgensen,Custer,17
16037,Brock Pierce,Custer,10
16037,Kanye West,Custer,12
16039,Donald J. Trump,Elmore,7246
16039,Joseph R. Biden,Elmore,2601
16039,Don Blankenship,Elmore,18
16039,Rocky De La Fuente,Elmore,34
16039,Jo Jorgensen,Elmore,225
16039,Brock Pierce,Elmore,39
16039,Kanye West,Elmore,42
16041,Donald J. Trump,Franklin,5845
16041,Joseph R. Biden,Franklin,657
16041,Don Blankenship,Franklin,28
16041,Rocky De La Fuente,Franklin,7
16041,Jo Jorgensen,Franklin,87
16041,Brock Pierce,Franklin,28
16041,Kanye West,Franklin,12
16043,Donald J. Trump,Fremont,5548
16043,Joseph R. Biden,Fremont,998
16043,Don Blankenship,Fremont,16
16043,Rocky De La Fuente,Fremont,14
16043,Jo Jorgensen,Fremont,88
16043,Brock Pierce,Fremont,24
16043,Kanye West,Fremont,31
16045,Donald J. Trump,Gem,7951
16045,Joseph R. Biden,Gem,1803
16045,Don Blankenship,Gem,14
16045,Rocky De La Fuente,Gem,15
16045,Jo Jorgensen,Gem,121
16045,Brock Pierce,Gem,24
16045,Kanye West,Gem,30
16047,Donald J. Trump,Gooding,4659
16047,Joseph R. Biden,Gooding,1256
16047,Don Blankenship,Gooding,16
16047,Rocky De La Fuente,Gooding,13
16047,Jo Jorgensen,Gooding,67
16047,Brock Pierce,Gooding,16
16047,Kanye West,Gooding,23
16049,Donald J. Trump,Idaho,7826
16049,Joseph R. Biden,Idaho,1561
16049,Don Blankenship,Idaho,25
16049,Rocky De La Fuente,Idaho,14
16049,Jo Jorgensen,Idaho,118
16049,Brock Pierce,Idaho,35
16049,Kanye West,Idaho,23
16051,Donald J. Trump,Jefferson,12099
16051,Joseph R. Biden,Jefferson,1661
16051,Don Blankenship,Jefferson,50
16051,Rocky De La Fuente,Jefferson,26
16051,Jo Jorgensen,Jefferson,252
16051,Brock Pierce,Jefferson,41
16051,Kanye West,Jefferson,44
16053,Donald J. Trump,Jerome,5734
16053,Joseph R. Biden,Jerome,1893
16053,Don Blankenship,Jerome,17
16053,Rocky De La Fuente,Jerome,10
