fips,candidate,county,votes
17183,Joseph R. Biden,Vermilion,10323
17183,Gloria La Riva,Vermilion,20
17145,Shawn,Perry,0
17183,Donald J. Trump,Vermilion,20725
17145,President R19 Boddie Stoneham,Perry,0
17197,Donald J. Trump,Will,155116
17003,Donald J. Trump,Alexander,1486
17181,Jo Jorgensen,Union,89
17181,Joseph R. Biden,Union,2579
17199,TODD,Williamson,0
17003,Shawn,Alexander,0
17181,Brian Carroll,Union,14
17181,Donald J. Trump,Union,6161
17145,TODD,Perry,0
17181,Gloria La Riva,Union,11
17003,TODD,Alexander,0
17003,KASEY,Alexander,0
17003,MARK,Alexander,0
17003,JADE,Alexander,0
17003,Howie Hawkins,Alexander,5
17003,BARBARA,Alexander,0
17181,MARK,Union,0
17003,Joseph R. Biden,Alexander,1114
17149,Shawn,Pike,0
17149,TODD,Pike,0
17149,Howie Hawkins,Pike,15
17149,KASEY,Pike,0
17173,KASEY,Shelby,1
17173,Howie Hawkins,Shelby,45
17149,JADE,Pike,0
17149,MARK,Pike,0
17149,KATHERINE,Pike,0
17149,KATHRYN,Pike,0
17149,Gloria La Riva,Pike,4
17149,Donald J. Trump,Pike,6332
17189,Shawn,Washington,0
17189,Jo Jorgensen,Washington,92
17001,Jo Jorgensen,Adams,483
17001,Brian Carroll,Adams,64
17001,Joseph R. Biden,Adams,8633
17149,DEBORAH,Pike,0
17003,Gloria La Riva,Alexander,6
17003,Jo Jorgensen,Alexander,7
17003,Brian Carroll,Alexander,0
17149,CHRIS,Pike,0
17149,President R19 Boddie Stoneham,Pike,0
17185,Jo Jorgensen,Wabash,78
17145,Jo Jorgensen,Perry,69
17173,Donald J. Trump,Shelby,9426
17173,Gloria La Riva,Shelby,5
17023,Brian Carroll,Clark,9
17023,Jo Jorgensen,Clark,95
17023,Joseph R. Biden,Clark,1993
17023,Gloria La Riva,Clark,5
17023,BARBARA,Clark,0
17183,Howie Hawkins,Vermilion,127
17023,DEBORAH,Clark,0
17023,Howie Hawkins,Clark,27
17173,Joseph R. Biden,Shelby,2504
17149,BARBARA,Pike,0
17173,Jo Jorgensen,Shelby,109
17199,DEBORAH,Williamson,0
17199,Shawn,Williamson,0
17147,Gloria La Riva,Piatt,14
17147,MARK,Piatt,0
17147,JADE,Piatt,0
17147,KASEY,Piatt,0
17183,Jo Jorgensen,Vermilion,350
17171,JADE,Scott,0
17147,Howie Hawkins,Piatt,35
17147,Donald J. Trump,Piatt,6248
17147,BARBARA,Piatt,0
17199,MARK,Williamson,0
17199,JADE,Williamson,0
17199,Joseph R. Biden,Williamson,10206
17171,Gloria La Riva,Scott,5
17199,Gloria La Riva,Williamson,24
17199,Donald J. Trump,Williamson,22801
17197,BARBARA,Will,0
17197,MARK,Will,4
17197,Brian Carroll,Will,459
17197,Jo Jorgensen,Will,3672
17171,Joseph R. Biden,Scott,572
17171,Donald J. Trump,Scott,2114
17171,Brian Carroll,Scott,4
17171,Jo Jorgensen,Scott,31
17147,Joseph R. Biden,Piatt,3329
17199,Jo Jorgensen,Williamson,420
17189,DEBORAH,Washington,0
17147,TODD,Piatt,0
17147,Shawn,Piatt,0
17197,Joseph R. Biden,Will,183915
17197,Gloria La Riva,Will,319
17197,KASEY,Will,0
17199,Brian Carroll,Williamson,32
17199,DENNIS ANDREW,Williamson,1
17171,KASEY,Scott,0
17171,MARK,Scott,0
17145,JADE,Perry,0
17183,Brian Carroll,Vermilion,39
17199,Howie Hawkins,Williamson,169
17197,Howie Hawkins,Will,1614
17197,DEBORAH,Will,0
17145,Howie Hawkins,Perry,52
17145,BARBARA,Perry,0
17145,KASEY,Perry,0
17145,KATHERINE,Perry,0
17145,MARK,Perry,0
17145,KATHRYN,Perry,0
17145,Donald J. Trump,Perry,7313
17145,Joseph R. Biden,Perry,2612
17145,Gloria La Riva,Perry,4
17145,Brian Carroll,Perry,3
17173,Brian Carroll,Shelby,7
17185,Brian Carroll,Wabash,6
17147,Brian Carroll,Piatt,28
17147,Jo Jorgensen,Piatt,168
17189,JADE,Washington,0
17189,Howie Hawkins,Washington,42
17199,KASEY,Williamson,0
17171,Howie Hawkins,Scott,11
17197,JADE,Will,5
17171,BARBARA,Scott,0
17001,Gloria La Riva,Adams,25
17189,BARBARA,Washington,0
17185,Donald J. Trump,Wabash,4237
17199,BARBARA,Williamson,0
17189,TODD,Washington,0
17189,President R19 Boddie Stoneham,Washington,0
17017,BARBARA,Cass,0
17023,Donald J. Trump,Clark,6226
17015,Howie Hawkins,Carroll,39
17023,KASEY,Clark,0
17175,Jo Jorgensen,Stark,42
17187,Jo Jorgensen,Warren,99
17137,Jo Jorgensen,Morgan,198
17137,Brian Carroll,Morgan,15
17137,Gloria La Riva,Morgan,15
17137,Joseph R. Biden,Morgan,5076
17137,Donald J. Trump,Morgan,9950
17137,KATHRYN,Morgan,0
17137,KASEY,Morgan,0
17137,JADE,Morgan,0
17137,Howie Hawkins,Morgan,55
17137,DEBORAH,Morgan,0
17137,BARBARA,Morgan,0
17175,TODD,Stark,0
17175,MARK,Stark,0
17175,Brian Carroll,Stark,3
17139,Jo Jorgensen,Moultrie,87
17139,Brian Carroll,Moultrie,4
17139,Gloria La Riva,Moultrie,3
17201,Jo Jorgensen,Winnebago,1719
17203,Jo Jorgensen,Woodford,314
