county,candidate,votes,fips
Adams,Abram Loeb,0,18001
Adams,Brian Carroll,0,18001
Adams,Christopher Stried,0,18001
Adams,Deborah Rouse,0,18001
Adams,Donald J. Trump,10686,18001
Adams,Howie Hawkins,0,18001
Adams,James L Johnson Jr.,0,18001
Adams,Jo Jorgensen,287,18001
Adams,Joe Schriner,0,18001
Adams,Joseph R. Biden,3236,18001
Adams,Kasey Wells,0,18001
Adams,Mitchell Williams,0,18001
Adams,Randall F,0,18001
Adams,Shawn Howard,0,18001
Adams,Valerie Mccray,0,18001
Allen,Abram Loeb,0,18003
Allen,Brian Carroll,51,18003
Allen,Christopher Stried,0,18003
Allen,Deborah Rouse,0,18003
Allen,Donald J. Trump,92083,18003
Allen,Howie Hawkins,29,18003
Allen,James L Johnson Jr.,0,18003
Allen,Jo Jorgensen,3728,18003
Allen,Joe Schriner,0,18003
Allen,Joseph R. Biden,73189,18003
Allen,Kasey Wells,0,18003
Allen,Mitchell Williams,0,18003
Allen,Randall F,0,18003
Allen,Shawn Howard,2,18003
Allen,Valerie Mccray,0,18003
Bartholomew,Abram Loeb,0,18005
Bartholomew,Brian Carroll,10,18005
Bartholomew,Christopher Stried,0,18005
Bartholomew,Deborah Rouse,0,18005
Bartholomew,Donald J. Trump,22410,18005
Bartholomew,Howie Hawkins,9,18005
Bartholomew,James L Johnson Jr.,0,18005
Bartholomew,Jo Jorgensen,872,18005
Bartholomew,Joe Schriner,0,18005
Bartholomew,Joseph R. Biden,12934,18005
Bartholomew,Kasey Wells,0,18005
Bartholomew,Mitchell Williams,0,18005
Bartholomew,Randall F,0,18005
Bartholomew,Shawn Howard,0,18005
Bartholomew,Valerie Mccray,0,18005
Benton,Abram Loeb,0,18007
Benton,Brian Carroll,3,18007
Benton,Christopher Stried,0,18007
Benton,Deborah Rouse,0,18007
Benton,Donald J. Trump,3007,18007
Benton,Howie Hawkins,1,18007
Benton,James L Johnson Jr.,0,18007
Benton,Jo Jorgensen,92,18007
Benton,Joe Schriner,0,18007
Benton,Joseph R. Biden,1009,18007
Benton,Kasey Wells,0,18007
Benton,Mitchell Williams,0,18007
Benton,Randall F,0,18007
Benton,Shawn Howard,0,18007
Benton,Valerie Mccray,2,18007
Blackford,Abram Loeb,0,18009
Blackford,Brian Carroll,1,18009
Blackford,Christopher Stried,0,18009
Blackford,Deborah Rouse,0,18009
Blackford,Donald J. Trump,3841,18009
Blackford,Howie Hawkins,1,18009
Blackford,James L Johnson Jr.,0,18009
Blackford,Jo Jorgensen,132,18009
Blackford,Joe Schriner,0,18009
Blackford,Joseph R. Biden,1376,18009
Blackford,Kasey Wells,0,18009
Blackford,Mitchell Williams,0,18009
Blackford,Randall F,0,18009
Blackford,Shawn Howard,0,18009
Blackford,Valerie Mccray,0,18009
Boone,Abram Loeb,0,18011
Boone,Brian Carroll,13,18011
Boone,Christopher Stried,0,18011
Boone,Deborah Rouse,0,18011
Boone,Donald J. Trump,22351,18011
Boone,Howie Hawkins,7,18011
Boone,James L Johnson Jr.,0,18011
Boone,Jo Jorgensen,905,18011
Boone,Joe Schriner,0,18011
Boone,Joseph R. Biden,15244,18011
Boone,Kasey Wells,0,18011
Boone,Mitchell Williams,0,18011
Boone,Randall F,0,18011
Boone,Shawn Howard,0,18011
Boone,Valerie Mccray,0,18011
Brown,Abram Loeb,0,18013
Brown,Brian Carroll,0,18013
Brown,Christopher Stried,0,18013
Brown,Deborah Rouse,0,18013
Brown,Donald J. Trump,5777,18013
Brown,Howie Hawkins,0,18013
Brown,James L Johnson Jr.,0,18013
Brown,Jo Jorgensen,168,18013
Brown,Joe Schriner,0,18013
Brown,Joseph R. Biden,3036,18013
Brown,Kasey Wells,0,18013
Brown,Mitchell Williams,0,18013
Brown,Randall F,0,18013
Brown,Shawn Howard,0,18013
Brown,Valerie Mccray,0,18013
Carroll,Abram Loeb,0,18015
Carroll,Brian Carroll,0,18015
Carroll,Christopher Stried,0,18015
Carroll,Deborah Rouse,0,18015
Carroll,Donald J. Trump,7086,18015
Carroll,Howie Hawkins,0,18015
Carroll,James L Johnson Jr.,0,18015
Carroll,Jo Jorgensen,185,18015
Carroll,Joe Schriner,0,18015
Carroll,Joseph R. Biden,2224,18015
Carroll,Kasey Wells,0,18015
Carroll,Mitchell Williams,0,18015
Carroll,Randall F,0,18015
Carroll,Shawn Howard,0,18015
Carroll,Valerie Mccray,0,18015
Cass,Abram Loeb,0,18017
Cass,Brian Carroll,5,18017
Cass,Christopher Stried,0,18017
Cass,Deborah Rouse,0,18017
Cass,Donald J. Trump,10552,18017
Cass,Howie Hawkins,3,18017
Cass,James L Johnson Jr.,0,18017
Cass,Jo Jorgensen,333,18017
Cass,Joe Schriner,0,18017
Cass,Joseph R. Biden,4304,18017
Cass,Kasey Wells,0,18017
Cass,Mitchell Williams,0,18017
Cass,Randall F,0,18017
Cass,Shawn Howard,0,18017
Cass,Valerie Mccray,1,18017
Clark,Abram Loeb,0,18019
Clark,Brian Carroll,0,18019
Clark,Christopher Stried,0,18019
Clark,Deborah Rouse,0,18019
Clark,Donald J. Trump,33668,18019
Clark,Howie Hawkins,0,18019
Clark,James L Johnson Jr.,0,18019
Clark,Jo Jorgensen,1108,18019
Clark,Joe Schriner,0,18019
Clark,Joseph R. Biden,23093,18019
Clark,Kasey Wells,0,18019
Clark,Mitchell Williams,0,18019
Clark,Randall F,0,18019
Clark,Shawn Howard,0,18019
Clark,Valerie Mccray,0,18019
Clay,Abram Loeb,0,18021
Clay,Brian Carroll,2,18021
Clay,Christopher Stried,0,18021
Clay,Deborah Rouse,0,18021
Clay,Donald J. Trump,9499,18021
Clay,Howie Hawkins,6,18021
Clay,James L Johnson Jr.,0,18021
Clay,Jo Jorgensen,208,18021
Clay,Joe Schriner,0,18021
Clay,Joseph R. Biden,2552,18021
Clay,Kasey Wells,0,18021
Clay,Mitchell Williams,0,18021
Clay,Randall F,0,18021
Clay,Shawn Howard,0,18021
Clay,Valerie Mccray,0,18021
Clinton,Abram Loeb,0,18023
Clinton,Brian Carroll,2,18023
Clinton,Christopher Stried,0,18023
Clinton,Deborah Rouse,0,18023
Clinton,Donald J. Trump,9334,18023
Clinton,Howie Hawkins,6,18023
Clinton,James L Johnson Jr.,0,18023
Clinton,Jo Jorgensen,246,18023
Clinton,Joe Schriner,0,18023
Clinton,Joseph R. Biden,3361,18023
Clinton,Kasey Wells,0,18023
Clinton,Mitchell Williams,0,18023
Clinton,Randall F,0,18023
Clinton,Shawn Howard,0,18023
Clinton,Valerie Mccray,0,18023
Crawford,Abram Loeb,0,18025
Crawford,Brian Carroll,0,18025
Crawford,Christopher Stried,0,18025
Crawford,Deborah Rouse,0,18025
Crawford,Donald J. Trump,3483,18025
Crawford,Howie Hawkins,0,18025
Crawford,James L Johnson Jr.,0,18025
Crawford,Jo Jorgensen,106,18025
Crawford,Joe Schriner,0,18025
Crawford,Joseph R. Biden,1355,18025
Crawford,Kasey Wells,0,18025
Crawford,Mitchell Williams,0,18025
Crawford,Randall F,0,18025
Crawford,Shawn Howard,0,18025
Crawford,Valerie Mccray,0,18025
Daviess,Abram Loeb,0,18027
