fips,county,candidate,votes
20001,Allen,Donald J. Trump,4218
20001,Allen,Jo Jorgensen,104
20001,Allen,Joseph R. Biden,1570
20003,Anderson,Donald J. Trump,2929
20003,Anderson,Jo Jorgensen,81
20003,Anderson,Joseph R. Biden,782
20005,Atchison,Donald J. Trump,4906
20005,Atchison,Jo Jorgensen,175
20005,Atchison,Joseph R. Biden,2359
20007,Barber,Donald J. Trump,2014
20007,Barber,Jo Jorgensen,37
20007,Barber,Joseph R. Biden,291
20009,Barton,Donald J. Trump,8608
20009,Barton,Jo Jorgensen,182
20009,Barton,Joseph R. Biden,2340
20011,Bourbon,Donald J. Trump,5023
20011,Bourbon,Jo Jorgensen,112
20011,Bourbon,Joseph R. Biden,1541
20013,Brown,Donald J. Trump,3262
20013,Brown,Jo Jorgensen,105
20013,Brown,Joseph R. Biden,1104
20015,Butler,Donald J. Trump,22634
20015,Butler,Jo Jorgensen,705
20015,Butler,Joseph R. Biden,9181
20017,Chase,Donald J. Trump,1123
20017,Chase,Jo Jorgensen,23
20017,Chase,Joseph R. Biden,345
20019,Chautauqua,Donald J. Trump,1402
20019,Chautauqua,Jo Jorgensen,25
20019,Chautauqua,Joseph R. Biden,212
20021,Cherokee,Donald J. Trump,6766
20021,Cherokee,Jo Jorgensen,168
20021,Cherokee,Joseph R. Biden,2194
20023,Cheyenne,Donald J. Trump,1183
20023,Cheyenne,Jo Jorgensen,22
20023,Cheyenne,Joseph R. Biden,224
20025,Clark,Donald J. Trump,904
20025,Clark,Jo Jorgensen,20
20025,Clark,Joseph R. Biden,143
20027,Clay,Donald J. Trump,3177
20027,Clay,Jo Jorgensen,111
20027,Clay,Joseph R. Biden,894
20029,Cloud,Donald J. Trump,3242
20029,Cloud,Jo Jorgensen,101
20029,Cloud,Joseph R. Biden,920
20031,Coffey,Donald J. Trump,3489
20031,Coffey,Jo Jorgensen,112
20031,Coffey,Joseph R. Biden,964
20033,Comanche,Donald J. Trump,762
20033,Comanche,Jo Jorgensen,28
20033,Comanche,Joseph R. Biden,126
20035,Cowley,Donald J. Trump,9656
20035,Cowley,Jo Jorgensen,302
20035,Cowley,Joseph R. Biden,4273
20037,Crawford,Donald J. Trump,10045
20037,Crawford,Jo Jorgensen,421
20037,Crawford,Joseph R. Biden,6179
20039,Decatur,Donald J. Trump,1260
20039,Decatur,Jo Jorgensen,20
20039,Decatur,Joseph R. Biden,218
20041,Dickinson,Donald J. Trump,7126
20041,Dickinson,Jo Jorgensen,163
20041,Dickinson,Joseph R. Biden,2060
20043,Doniphan,Donald J. Trump,2976
20043,Doniphan,Jo Jorgensen,47
20043,Doniphan,Joseph R. Biden,686
20045,Douglas,Donald J. Trump,17286
20045,Douglas,Jo Jorgensen,1424
20045,Douglas,Joseph R. Biden,40785
20047,Edwards,Donald J. Trump,1141
20047,Edwards,Jo Jorgensen,19
20047,Edwards,Joseph R. Biden,271
20049,Elk,Donald J. Trump,1140
20049,Elk,Jo Jorgensen,26
20049,Elk,Joseph R. Biden,195
20051,Ellis,Donald J. Trump,9758
20051,Ellis,Jo Jorgensen,305
20051,Ellis,Joseph R. Biden,3737
20053,Ellsworth,Donald J. Trump,2148
20053,Ellsworth,Jo Jorgensen,57
20053,Ellsworth,Joseph R. Biden,648
20055,Finney,Donald J. Trump,7236
20055,Finney,Jo Jorgensen,239
20055,Finney,Joseph R. Biden,4325
20057,Ford,Donald J. Trump,5803
20057,Ford,Jo Jorgensen,165
20057,Ford,Joseph R. Biden,2947
20059,Franklin,Donald J. Trump,8479
20059,Franklin,Jo Jorgensen,308
20059,Franklin,Joseph R. Biden,3690
20061,Geary,Donald J. Trump,5323
20061,Geary,Jo Jorgensen,297
20061,Geary,Joseph R. Biden,3983
20063,Gove,Donald J. Trump,1291
20063,Gove,Jo Jorgensen,14
20063,Gove,Joseph R. Biden,166
20065,Graham,Donald J. Trump,1080
20065,Graham,Jo Jorgensen,29
20065,Graham,Joseph R. Biden,228
20067,Grant,Donald J. Trump,1936
20067,Grant,Jo Jorgensen,47
20067,Grant,Joseph R. Biden,518
20069,Gray,Donald J. Trump,1911
20069,Gray,Jo Jorgensen,36
20069,Gray,Joseph R. Biden,341
20071,Greeley,Donald J. Trump,549
20071,Greeley,Jo Jorgensen,14
20071,Greeley,Joseph R. Biden,78
20073,Greenwood,Donald J. Trump,2444
20073,Greenwood,Jo Jorgensen,64
20073,Greenwood,Joseph R. Biden,569
20075,Hamilton,Donald J. Trump,698
20075,Hamilton,Jo Jorgensen,20
20075,Hamilton,Joseph R. Biden,141
20077,Harper,Donald J. Trump,2168
20077,Harper,Jo Jorgensen,49
20077,Harper,Joseph R. Biden,461
20079,Harvey,Donald J. Trump,10182
20079,Harvey,Jo Jorgensen,380
20079,Harvey,Joseph R. Biden,6747
20081,Haskell,Donald J. Trump,1122
20081,Haskell,Jo Jorgensen,20
20081,Haskell,Joseph R. Biden,268
20083,Hodgeman,Donald J. Trump,875
20083,Hodgeman,Jo Jorgensen,16
20083,Hodgeman,Joseph R. Biden,154
20085,Jackson,Donald J. Trump,4517
20085,Jackson,Jo Jorgensen,186
20085,Jackson,Joseph R. Biden,1881
20087,Jefferson,Donald J. Trump,6334
20087,Jefferson,Jo Jorgensen,254
20087,Jefferson,Joseph R. Biden,3194
20089,Jewell,Donald J. Trump,1387
20089,Jewell,Jo Jorgensen,29
20089,Jewell,Joseph R. Biden,212
20093,Kearny,Donald J. Trump,1164
20093,Kearny,Jo Jorgensen,24
20093,Kearny,Joseph R. Biden,267
20095,Kingman,Donald J. Trump,3130
20095,Kingman,Jo Jorgensen,67
20095,Kingman,Joseph R. Biden,752
20097,Kiowa,Donald J. Trump,980
20097,Kiowa,Jo Jorgensen,29
20097,Kiowa,Joseph R. Biden,156
20099,Labette,Donald J. Trump,5735
20099,Labette,Jo Jorgensen,173
20099,Labette,Joseph R. Biden,2655
