fips,county,candidate,votes
21001,Adair,Donald J. Trump,7276
21003,Allen,Donald J. Trump,7587
21005,Anderson,Donald J. Trump,9661
21007,Ballard,Donald J. Trump,3356
21009,Barren,Donald J. Trump,14654
21011,Bath,Donald J. Trump,3986
21013,Bell,Donald J. Trump,8140
21015,Boone,Donald J. Trump,44814
21017,Bourbon,Donald J. Trump,6190
21019,Boyd,Donald J. Trump,14295
21021,Boyle,Donald J. Trump,8872
21023,Bracken,Donald J. Trump,3398
21025,Breathitt,Donald J. Trump,4265
21027,Breckinridge,Donald J. Trump,7701
21029,Bullitt,Donald J. Trump,30708
21031,Butler,Donald J. Trump,4960
21033,Caldwell,Donald J. Trump,4906
21035,Calloway,Donald J. Trump,11352
21037,Campbell,Donald J. Trump,28482
21039,Carlisle,Donald J. Trump,2159
21041,Carroll,Donald J. Trump,2954
21043,Carter,Donald J. Trump,8775
21045,Casey,Donald J. Trump,6179
21047,Christian,Donald J. Trump,15080
21049,Clark,Donald J. Trump,11811
21051,Clay,Donald J. Trump,6677
21053,Clinton,Donald J. Trump,4280
21055,Crittenden,Donald J. Trump,3451
21057,Cumberland,Donald J. Trump,2769
21059,Daviess,Donald J. Trump,31025
21061,Edmonson,Donald J. Trump,4828
21063,Elliott,Donald J. Trump,2246
21065,Estill,Donald J. Trump,5100
21067,Fayette,Donald J. Trump,58860
21069,Fleming,Donald J. Trump,5534
21071,Floyd,Donald J. Trump,12250
21073,Franklin,Donald J. Trump,12900
21075,Fulton,Donald J. Trump,1606
21077,Gallatin,Donald J. Trump,2955
21079,Garrard,Donald J. Trump,6754
21081,Grant,Donald J. Trump,8725
21083,Graves,Donald J. Trump,13206
21085,Grayson,Donald J. Trump,9453
21087,Green,Donald J. Trump,4838
21089,Greenup,Donald J. Trump,13064
21091,Hancock,Donald J. Trump,3145
21093,Hardin,Donald J. Trump,29832
21095,Harlan,Donald J. Trump,9367
21097,Harrison,Donald J. Trump,6334
21099,Hart,Donald J. Trump,6345
21101,Henderson,Donald J. Trump,12730
21103,Henry,Donald J. Trump,5843
21105,Hickman,Donald J. Trump,1714
21107,Hopkins,Donald J. Trump,15757
21109,Jackson,Donald J. Trump,5453
21111,Jefferson,Donald J. Trump,150646
21113,Jessamine,Donald J. Trump,17096
21115,Johnson,Donald J. Trump,8450
21117,Kenton,Donald J. Trump,48129
21119,Knott,Donald J. Trump,4780
21121,Knox,Donald J. Trump,11012
21123,Larue,Donald J. Trump,5685
21125,Laurel,Donald J. Trump,23237
21127,Lawrence,Donald J. Trump,5633
21129,Lee,Donald J. Trump,2273
21131,Leslie,Donald J. Trump,4321
21133,Letcher,Donald J. Trump,7226
21135,Lewis,Donald J. Trump,4986
21137,Lincoln,Donald J. Trump,8489
21139,Livingston,Donald J. Trump,4010
21141,Logan,Donald J. Trump,9067
21143,Lyon,Donald J. Trump,3100
21151,Madison,Donald J. Trump,27356
21153,Magoffin,Donald J. Trump,4174
21155,Marion,Donald J. Trump,6113
21157,Marshall,Donald J. Trump,13297
21159,Martin,Donald J. Trump,3496
21161,Mason,Donald J. Trump,5477
21145,McCracken,Donald J. Trump,21820
21147,McCreary,Donald J. Trump,5664
21149,McLean,Donald J. Trump,3633
21163,Meade,Donald J. Trump,10185
21165,Menifee,Donald J. Trump,2311
21167,Mercer,Donald J. Trump,8506
21169,Metcalfe,Donald J. Trump,3959
21171,Monroe,Donald J. Trump,4628
21173,Montgomery,Donald J. Trump,8993
21175,Morgan,Donald J. Trump,4301
21177,Muhlenberg,Donald J. Trump,10497
21179,Nelson,Donald J. Trump,15703
21181,Nicholas,Donald J. Trump,2408
21183,Ohio,Donald J. Trump,8582
21185,Oldham,Donald J. Trump,22654
21187,Owen,Donald J. Trump,4292
21189,Owsley,Donald J. Trump,1671
21191,Pendleton,Donald J. Trump,5515
21193,Perry,Donald J. Trump,8129
21195,Pike,Donald J. Trump,20284
21197,Powell,Donald J. Trump,4041
21199,Pulaski,Donald J. Trump,25442
21201,Robertson,Donald J. Trump,884
21203,Rockcastle,Donald J. Trump,6577
21205,Rowan,Donald J. Trump,5994
21207,Russell,Donald J. Trump,7519
21209,Scott,Donald J. Trump,17767
21211,Shelby,Donald J. Trump,15055
21213,Simpson,Donald J. Trump,5888
21215,Spencer,Donald J. Trump,8737
21217,Taylor,Donald J. Trump,9376
21219,Todd,Donald J. Trump,4062
21221,Trigg,Donald J. Trump,5487
21223,Trimble,Donald J. Trump,3227
21225,Union,Donald J. Trump,4965
21227,Warren,Donald J. Trump,31791
21229,Washington,Donald J. Trump,4482
21231,Wayne,Donald J. Trump,7430
21233,Webster,Donald J. Trump,4506
21235,Whitley,Donald J. Trump,12567
21237,Wolfe,Donald J. Trump,2097
21239,Woodford,Donald J. Trump,8362
21001,Adair,Joseph R. Biden,1392
21003,Allen,Joseph R. Biden,1642
21005,Anderson,Joseph R. Biden,3348
21007,Ballard,Joseph R. Biden,825
21009,Barren,Joseph R. Biden,5127
21011,Bath,Joseph R. Biden,1573
21013,Bell,Joseph R. Biden,1789
21015,Boone,Joseph R. Biden,20901
21017,Bourbon,Joseph R. Biden,3296
21019,Boyd,Joseph R. Biden,7083
21021,Boyle,Joseph R. Biden,5298
21023,Bracken,Joseph R. Biden,800
21025,Breathitt,Joseph R. Biden,1301
21027,Breckinridge,Joseph R. Biden,2350
21029,Bullitt,Joseph R. Biden,10552
21031,Butler,Joseph R. Biden,1079
21033,Caldwell,Joseph R. Biden,1433
21035,Calloway,Joseph R. Biden,5797
21037,Campbell,Joseph R. Biden,19374
21039,Carlisle,Joseph R. Biden,463
21041,Carroll,Joseph R. Biden,1116
21043,Carter,Joseph R. Biden,2642
21045,Casey,Joseph R. Biden,918
21047,Christian,Joseph R. Biden,8296
21049,Clark,Joseph R. Biden,6004
21051,Clay,Joseph R. Biden,831
21053,Clinton,Joseph R. Biden,603
21055,Crittenden,Joseph R. Biden,731
21057,Cumberland,Joseph R. Biden,508
21059,Daviess,Joseph R. Biden,17286
21061,Edmonson,Joseph R. Biden,1227
21063,Elliott,Joseph R. Biden,712
21065,Estill,Joseph R. Biden,1355
21067,Fayette,Joseph R. Biden,90600
21069,Fleming,Joseph R. Biden,1474
21071,Floyd,Joseph R. Biden,3884
21073,Franklin,Joseph R. Biden,12652
21075,Fulton,Joseph R. Biden,794
21077,Gallatin,Joseph R. Biden,822
21079,Garrard,Joseph R. Biden,1830
21081,Grant,Joseph R. Biden,2205
21083,Graves,Joseph R. Biden,3560
21085,Grayson,Joseph R. Biden,2400
21087,Green,Joseph R. Biden,920
21089,Greenup,Joseph R. Biden,4873
21091,Hancock,Joseph R. Biden,1351
21093,Hardin,Joseph R. Biden,18101
21095,Harlan,Joseph R. Biden,1494
21097,Harrison,Joseph R. Biden,2400
21099,Hart,Joseph R. Biden,1908
21101,Henderson,Joseph R. Biden,7639
21103,Henry,Joseph R. Biden,2142
21105,Hickman,Joseph R. Biden,458
21107,Hopkins,Joseph R. Biden,5439
21109,Jackson,Joseph R. Biden,605
21111,Jefferson,Joseph R. Biden,228358
21113,Jessamine,Joseph R. Biden,8567
21115,Johnson,Joseph R. Biden,1608
21117,Kenton,Joseph R. Biden,32271
21119,Knott,Joseph R. Biden,1412
21121,Knox,Joseph R. Biden,2114
21123,Larue,Joseph R. Biden,1504
21125,Laurel,Joseph R. Biden,4475
21127,Lawrence,Joseph R. Biden,1238
21129,Lee,Joseph R. Biden,481
21131,Leslie,Joseph R. Biden,446
21133,Letcher,Joseph R. Biden,1799
21135,Lewis,Joseph R. Biden,823
21137,Lincoln,Joseph R. Biden,2254
21139,Livingston,Joseph R. Biden,939
21141,Logan,Joseph R. Biden,3094
21143,Lyon,Joseph R. Biden,1092
21151,Madison,Joseph R. Biden,15581
21153,Magoffin,Joseph R. Biden,1214
21155,Marion,Joseph R. Biden,2722
21157,Marshall,Joseph R. Biden,4071
21159,Martin,Joseph R. Biden,403
21161,Mason,Joseph R. Biden,2362
21145,McCracken,Joseph R. Biden,11195
21147,McCreary,Joseph R. Biden,725
21149,McLean,Joseph R. Biden,1074
21163,Meade,Joseph R. Biden,3632
21165,Menifee,Joseph R. Biden,750
21167,Mercer,Joseph R. Biden,3033
21169,Metcalfe,Joseph R. Biden,975
21171,Monroe,Joseph R. Biden,657
21173,Montgomery,Joseph R. Biden,3630
21175,Morgan,Joseph R. Biden,1175
21177,Muhlenberg,Joseph R. Biden,3545
21179,Nelson,Joseph R. Biden,7188
21181,Nicholas,Joseph R. Biden,955
21183,Ohio,Joseph R. Biden,2404
21185,Oldham,Joseph R. Biden,14505
21187,Owen,Joseph R. Biden,1098
21189,Owsley,Joseph R. Biden,216
21191,Pendleton,Joseph R. Biden,1322
21193,Perry,Joseph R. Biden,2356
21195,Pike,Joseph R. Biden,4866
21197,Powell,Joseph R. Biden,1367
21199,Pulaski,Joseph R. Biden,5666
21201,Robertson,Joseph R. Biden,253
21203,Rockcastle,Joseph R. Biden,1134
21205,Rowan,Joseph R. Biden,3880
21207,Russell,Joseph R. Biden,1331
21209,Scott,Joseph R. Biden,10567
21211,Shelby,Joseph R. Biden,8077
21213,Simpson,Joseph R. Biden,2681
21215,Spencer,Joseph R. Biden,2530
21217,Taylor,Joseph R. Biden,2963
21219,Todd,Joseph R. Biden,1205
21221,Trigg,Joseph R. Biden,1791
21223,Trimble,Joseph R. Biden,1012
21225,Union,Joseph R. Biden,1529
21227,Warren,Joseph R. Biden,22479
21229,Washington,Joseph R. Biden,1644
21231,Wayne,Joseph R. Biden,1700
21233,Webster,Joseph R. Biden,1412
21235,Whitley,Joseph R. Biden,2552
21237,Wolfe,Joseph R. Biden,839
21239,Woodford,Joseph R. Biden,6530
21001,Adair,Jo Jorgensen,60
21003,Allen,Jo Jorgensen,99
21005,Anderson,Jo Jorgensen,184
21007,Ballard,Jo Jorgensen,32
21009,Barren,Jo Jorgensen,201
21011,Bath,Jo Jorgensen,44
21013,Bell,Jo Jorgensen,78
21015,Boone,Jo Jorgensen,981
21017,Bourbon,Jo Jorgensen,106
21019,Boyd,Jo Jorgensen,287
21021,Boyle,Jo Jorgensen,210
21023,Bracken,Jo Jorgensen,27
21025,Breathitt,Jo Jorgensen,52
21027,Breckinridge,Jo Jorgensen,103
21029,Bullitt,Jo Jorgensen,563
21031,Butler,Jo Jorgensen,63
21033,Caldwell,Jo Jorgensen,58
