county,candidate,votes,fips
Acadia,Joseph R. Biden,5443,22001
Acadia,Alyson Kennedy,45,22001
Acadia,Bill Hammons,,22001
Acadia,Don Blankenship,6,22001
Acadia,Kanye West,8,22001
Acadia,Jo Jorgensen,241,22001
Acadia, Amar Patel,18,22001
Acadia,Brock Pierce,8,22001
Acadia,Brian Carroll,25,22001
Acadia,President R19 Boddie Stoneham,16,22001
Acadia,Jade Simmons,12,22001
Acadia,Gloria La Riva,3,22001
Acadia,Tom Hoefling,4,22001
Acadia,Donald J. Trump,22596,22001
Allen,Jo Jorgensen,73,22003
Allen, Amar Patel,13,22003
Allen,Kanye West,1,22003
Allen,Gloria La Riva,0,22003
Allen,Bill Hammons,,22003
Allen,Tom Hoefling,1,22003
Allen,Donald J. Trump,7574,22003
Allen,Brian Carroll,11,22003
Allen,Brock Pierce,3,22003
Allen,Alyson Kennedy,15,22003
Allen,President R19 Boddie Stoneham,6,22003
Allen,Joseph R. Biden,2108,22003
Allen,Jade Simmons,2,22003
Allen,Don Blankenship,3,22003
Ascension,Alyson Kennedy,134,22005
Ascension,Joseph R. Biden,20399,22005
Ascension,Tom Hoefling,26,22005
Ascension,Gloria La Riva,13,22005
Ascension,Kanye West,16,22005
Ascension,Bill Hammons,,22005
Ascension,Jade Simmons,32,22005
Ascension, Amar Patel,46,22005
Ascension,Jo Jorgensen,816,22005
Ascension,Brian Carroll,89,22005
Ascension,Brock Pierce,19,22005
Ascension,President R19 Boddie Stoneham,20,22005
Ascension,Donald J. Trump,40687,22005
Ascension,Don Blankenship,28,22005
Assumption,Don Blankenship,3,22007
Assumption,Brock Pierce,1,22007
Assumption,Tom Hoefling,2,22007
Assumption,Jo Jorgensen,68,22007
Assumption,Bill Hammons,,22007
Assumption,Donald J. Trump,7271,22007
Assumption,Brian Carroll,13,22007
Assumption,Alyson Kennedy,16,22007
Assumption,Jade Simmons,5,22007
Assumption,Gloria La Riva,4,22007
Assumption,Joseph R. Biden,3833,22007
Assumption,Kanye West,5,22007
Assumption,President R19 Boddie Stoneham,8,22007
Assumption, Amar Patel,6,22007
Avoyelles,President R19 Boddie Stoneham,8,22009
Avoyelles,Brock Pierce,7,22009
Avoyelles,Bill Hammons,,22009
Avoyelles,Brian Carroll,20,22009
Avoyelles,Donald J. Trump,12028,22009
Avoyelles,Jade Simmons,23,22009
Avoyelles, Amar Patel,11,22009
Avoyelles,Gloria La Riva,5,22009
Avoyelles,Tom Hoefling,5,22009
Avoyelles,Alyson Kennedy,41,22009
Avoyelles,Kanye West,1,22009
Avoyelles,Don Blankenship,3,22009
Avoyelles,Jo Jorgensen,161,22009
Avoyelles,Joseph R. Biden,4979,22009
Beauregard,Jo Jorgensen,172,22011
Beauregard,Jade Simmons,6,22011
Beauregard, Amar Patel,13,22011
Beauregard,Kanye West,3,22011
Beauregard,Brian Carroll,18,22011
Beauregard,Joseph R. Biden,2542,22011
Beauregard,Donald J. Trump,13575,22011
Beauregard,Alyson Kennedy,13,22011
Beauregard,Don Blankenship,1,22011
Beauregard,Gloria La Riva,0,22011
Beauregard,President R19 Boddie Stoneham,6,22011
Beauregard,Tom Hoefling,3,22011
Beauregard,Bill Hammons,,22011
Beauregard,Brock Pierce,5,22011
Bienville,Donald J. Trump,3891,22013
Bienville,Brock Pierce,1,22013
Bienville,Jade Simmons,10,22013
Bienville,Joseph R. Biden,3067,22013
Bienville,Tom Hoefling,1,22013
Bienville,Bill Hammons,,22013
Bienville,President R19 Boddie Stoneham,4,22013
Bienville,Alyson Kennedy,12,22013
Bienville,Gloria La Riva,1,22013
Bienville, Amar Patel,3,22013
Bienville,Brian Carroll,7,22013
Bienville,Don Blankenship,3,22013
Bienville,Jo Jorgensen,49,22013
Bienville,Kanye West,1,22013
Bossier,Don Blankenship,15,22015
Bossier,Kanye West,12,22015
Bossier,Bill Hammons,,22015
Bossier,Brian Carroll,40,22015
Bossier,President R19 Boddie Stoneham,31,22015
Bossier,Donald J. Trump,38074,22015
Bossier,Jade Simmons,22,22015
Bossier, Amar Patel,38,22015
Bossier,Brock Pierce,19,22015
Bossier,Joseph R. Biden,15662,22015
Bossier,Alyson Kennedy,82,22015
Bossier,Tom Hoefling,19,22015
Bossier,Jo Jorgensen,632,22015
Bossier,Gloria La Riva,9,22015
Caddo,Donald J. Trump,48021,22017
Caddo,Kanye West,37,22017
Caddo,President R19 Boddie Stoneham,38,22017
Caddo,Brock Pierce,27,22017
Caddo,Tom Hoefling,37,22017
Caddo,Joseph R. Biden,55110,22017
Caddo,Brian Carroll,122,22017
Caddo, Amar Patel,98,22017
Caddo,Don Blankenship,33,22017
Caddo,Alyson Kennedy,290,22017
Caddo,Bill Hammons,,22017
Caddo,Jo Jorgensen,1021,22017
Caddo,Gloria La Riva,28,22017
Caddo,Jade Simmons,50,22017
Calcasieu,Jade Simmons,30,22019
Calcasieu,President R19 Boddie Stoneham,36,22019
Calcasieu,Brock Pierce,38,22019
Calcasieu,Bill Hammons,,22019
Calcasieu,Jo Jorgensen,1083,22019
Calcasieu,Brian Carroll,89,22019
Calcasieu,Kanye West,24,22019
Calcasieu, Amar Patel,79,22019
Calcasieu,Donald J. Trump,55066,22019
Calcasieu,Don Blankenship,27,22019
Calcasieu,Gloria La Riva,19,22019
Calcasieu,Alyson Kennedy,164,22019
Calcasieu,Joseph R. Biden,25982,22019
Calcasieu,Tom Hoefling,26,22019
Caldwell,Don Blankenship,1,22021
Caldwell, Amar Patel,1,22021
Caldwell,Brian Carroll,7,22021
Caldwell,Alyson Kennedy,3,22021
Caldwell,Jo Jorgensen,21,22021
Caldwell,Tom Hoefling,1,22021
Caldwell,President R19 Boddie Stoneham,2,22021
Caldwell,Brock Pierce,1,22021
Caldwell,Gloria La Riva,1,22021
Caldwell,Kanye West,2,22021
Caldwell,Bill Hammons,,22021
Caldwell,Jade Simmons,1,22021
Caldwell,Donald J. Trump,3976,22021
Caldwell,Joseph R. Biden,745,22021
Cameron,Joseph R. Biden,324,22023
Cameron, Amar Patel,6,22023
Cameron,Gloria La Riva,2,22023
Cameron,Brock Pierce,2,22023
Cameron,Brian Carroll,2,22023
Cameron,Bill Hammons,,22023
Cameron,Don Blankenship,0,22023
Cameron,Jade Simmons,1,22023
Cameron,Tom Hoefling,1,22023
Cameron,Donald J. Trump,3671,22023
Cameron,Alyson Kennedy,5,22023
Cameron,Jo Jorgensen,23,22023
Cameron,Kanye West,2,22023
Cameron,President R19 Boddie Stoneham,0,22023
Catahoula,Bill Hammons,,22025
Catahoula,Donald J. Trump,3541,22025
Catahoula,Brian Carroll,7,22025
Catahoula, Amar Patel,2,22025
Catahoula,Kanye West,0,22025
Catahoula,Gloria La Riva,1,22025
Catahoula,President R19 Boddie Stoneham,1,22025
Catahoula,Jo Jorgensen,26,22025
Catahoula,Joseph R. Biden,1269,22025
Catahoula,Tom Hoefling,0,22025
Catahoula,Brock Pierce,2,22025
Catahoula,Jade Simmons,3,22025
Catahoula,Don Blankenship,1,22025
Catahoula,Alyson Kennedy,5,22025
Claiborne,Joseph R. Biden,2731,22027
Claiborne,Tom Hoefling,4,22027
Claiborne,Kanye West,0,22027
Claiborne,Don Blankenship,4,22027
Claiborne,Gloria La Riva,1,22027
Claiborne,Brian Carroll,9,22027
Claiborne, Amar Patel,6,22027
Claiborne,Alyson Kennedy,12,22027
Claiborne,Jo Jorgensen,29,22027
Claiborne,Donald J. Trump,3770,22027
Claiborne,President R19 Boddie Stoneham,4,22027
Claiborne,Brock Pierce,2,22027
Claiborne,Jade Simmons,8,22027
Claiborne,Bill Hammons,,22027
Concordia,Bill Hammons,,22029
Concordia,Gloria La Riva,1,22029
Concordia,President R19 Boddie Stoneham,5,22029
Concordia,Jade Simmons,3,22029
Concordia,Joseph R. Biden,3177,22029
Concordia,Don Blankenship,4,22029
Concordia,Brian Carroll,14,22029
Concordia,Brock Pierce,2,22029
Concordia,Alyson Kennedy,5,22029
Concordia,Donald J. Trump,5550,22029
Concordia,Tom Hoefling,0,22029
Concordia,Kanye West,2,22029
Concordia, Amar Patel,1,22029
Concordia,Jo Jorgensen,64,22029
De Soto,Brock Pierce,7,22031
De Soto,Joseph R. Biden,5457,22031
De Soto,Tom Hoefling,3,22031
De Soto,Don Blankenship,9,22031
De Soto,Kanye West,1,22031
De Soto,Gloria La Riva,4,22031
De Soto,Jo Jorgensen,79,22031
De Soto,President R19 Boddie Stoneham,3,22031
De Soto,Donald J. Trump,9112,22031
De Soto,Alyson Kennedy,21,22031
De Soto,Jade Simmons,14,22031
De Soto, Amar Patel,4,22031
De Soto,Brian Carroll,22,22031
De Soto,Bill Hammons,,22031
East Baton Rouge, Amar Patel,219,22033
East Baton Rouge,Jade Simmons,103,22033
East Baton Rouge,Joseph R. Biden,115577,22033
East Baton Rouge,Tom Hoefling,111,22033
East Baton Rouge,Alyson Kennedy,619,22033
East Baton Rouge,Kanye West,84,22033
East Baton Rouge,Brock Pierce,82,22033
East Baton Rouge,Gloria La Riva,45,22033
East Baton Rouge,Brian Carroll,329,22033
East Baton Rouge,Bill Hammons,,22033
East Baton Rouge,Don Blankenship,77,22033
East Baton Rouge,President R19 Boddie Stoneham,76,22033
East Baton Rouge,Donald J. Trump,88420,22033
East Baton Rouge,Jo Jorgensen,2440,22033
East Carroll,Joseph R. Biden,1900,22035
East Carroll,Kanye West,2,22035
East Carroll,Jade Simmons,12,22035
East Carroll,President R19 Boddie Stoneham,1,22035
East Carroll, Amar Patel,1,22035
East Carroll,Gloria La Riva,1,22035
East Carroll,Don Blankenship,1,22035
East Carroll,Jo Jorgensen,20,22035
East Carroll,Alyson Kennedy,4,22035
East Carroll,Tom Hoefling,2,22035
East Carroll,Donald J. Trump,1080,22035
East Carroll,Bill Hammons,,22035
East Carroll,Brian Carroll,12,22035
East Carroll,Brock Pierce,0,22035
East Feliciana,Don Blankenship,4,22037
East Feliciana,Jo Jorgensen,89,22037
East Feliciana, Amar Patel,6,22037
East Feliciana,President R19 Boddie Stoneham,14,22037
East Feliciana,Donald J. Trump,6064,22037
East Feliciana,Kanye West,4,22037
East Feliciana,Tom Hoefling,5,22037
East Feliciana,Bill Hammons,,22037
East Feliciana,Alyson Kennedy,16,22037
East Feliciana,Jade Simmons,11,22037
East Feliciana,Joseph R. Biden,4280,22037
East Feliciana,Brian Carroll,10,22037
East Feliciana,Brock Pierce,6,22037
East Feliciana,Gloria La Riva,0,22037
Evangeline,President R19 Boddie Stoneham,5,22039
Evangeline,Brock Pierce,5,22039
Evangeline,Tom Hoefling,7,22039
Evangeline,Kanye West,4,22039
Evangeline, Amar Patel,11,22039
Evangeline,Bill Hammons,,22039
Evangeline,Donald J. Trump,11053,22039
Evangeline,Alyson Kennedy,22,22039
Evangeline,Don Blankenship,5,22039
Evangeline,Jade Simmons,19,22039
Evangeline,Brian Carroll,22,22039
Evangeline,Joseph R. Biden,4158,22039
Evangeline,Jo Jorgensen,96,22039
Evangeline,Gloria La Riva,5,22039
Franklin,Donald J. Trump,6970,22041
Franklin,Joseph R. Biden,2658,22041
Franklin,Jade Simmons,7,22041
Franklin,Kanye West,1,22041
Franklin,Tom Hoefling,4,22041
Franklin,Brock Pierce,0,22041
Franklin,President R19 Boddie Stoneham,3,22041
Franklin,Bill Hammons,,22041
Franklin,Alyson Kennedy,8,22041
Franklin, Amar Patel,6,22041
Franklin,Jo Jorgensen,45,22041
Franklin,Don Blankenship,5,22041
Franklin,Brian Carroll,10,22041
Franklin,Gloria La Riva,3,22041
Grant,Kanye West,1,22043
Grant,Bill Hammons,,22043
Grant,Alyson Kennedy,5,22043
Grant,Don Blankenship,4,22043
Grant,Donald J. Trump,8117,22043
Grant,Brock Pierce,3,22043
Grant,Brian Carroll,10,22043
Grant,Jade Simmons,2,22043
Grant,Jo Jorgensen,79,22043
Grant,President R19 Boddie Stoneham,7,22043
Grant,Joseph R. Biden,1157,22043
Grant,Gloria La Riva,0,22043
Grant, Amar Patel,6,22043
Grant,Tom Hoefling,1,22043
Iberia,Jo Jorgensen,253,22045
Iberia,President R19 Boddie Stoneham,10,22045
Iberia,Bill Hammons,,22045
Iberia,Jade Simmons,20,22045
Iberia,Kanye West,5,22045
Iberia,Alyson Kennedy,60,22045
Iberia,Brock Pierce,10,22045
Iberia, Amar Patel,23,22045
Iberia,Joseph R. Biden,11027,22045
Iberia,Donald J. Trump,21251,22045
Iberia,Gloria La Riva,5,22045
Iberia,Brian Carroll,30,22045
Iberia,Don Blankenship,11,22045
Iberia,Tom Hoefling,8,22045
Iberville,Alyson Kennedy,57,22047
Iberville,Bill Hammons,,22047
Iberville,Gloria La Riva,5,22047
Iberville,Joseph R. Biden,8514,22047
Iberville, Amar Patel,16,22047
Iberville,Jo Jorgensen,141,22047
Iberville,Brian Carroll,27,22047
Iberville,Kanye West,7,22047
Iberville,Jade Simmons,31,22047
Iberville,Tom Hoefling,3,22047
Iberville,President R19 Boddie Stoneham,6,22047
Iberville,Donald J. Trump,7893,22047
Iberville,Don Blankenship,11,22047
Iberville,Brock Pierce,8,22047
Jackson,Don Blankenship,3,22049
Jackson,President R19 Boddie Stoneham,3,22049
Jackson,Tom Hoefling,2,22049
Jackson,Alyson Kennedy,16,22049
Jackson,Gloria La Riva,0,22049
Jackson,Brock Pierce,3,22049
Jackson,Jade Simmons,2,22049
Jackson,Bill Hammons,,22049
Jackson,Brian Carroll,10,22049
Jackson, Amar Patel,3,22049
Jackson,Joseph R. Biden,2143,22049
Jackson,Donald J. Trump,5394,22049
Jackson,Jo Jorgensen,51,22049
Jackson,Kanye West,2,22049
Jefferson,Kanye West,54,22051
Jefferson,Don Blankenship,66,22051
Jefferson,Bill Hammons,,22051
Jefferson,Alyson Kennedy,532,22051
Jefferson,Joseph R. Biden,84477,22051
Jefferson,Brian Carroll,215,22051
Jefferson,Jo Jorgensen,1935,22051
Jefferson,Jade Simmons,86,22051
Jefferson, Amar Patel,134,22051
Jefferson,Brock Pierce,59,22051
Jefferson,Donald J. Trump,105949,22051
Jefferson,President R19 Boddie Stoneham,101,22051
Jefferson,Gloria La Riva,39,22051
Jefferson,Tom Hoefling,86,22051
Jefferson Davis,Brock Pierce,2,22053
Jefferson Davis, Amar Patel,9,22053
Jefferson Davis,Joseph R. Biden,3208,22053
Jefferson Davis,Jade Simmons,4,22053
Jefferson Davis,President R19 Boddie Stoneham,3,22053
Jefferson Davis,Donald J. Trump,11423,22053
Jefferson Davis,Bill Hammons,,22053
Jefferson Davis,Don Blankenship,5,22053
Jefferson Davis,Brian Carroll,19,22053
Jefferson Davis,Alyson Kennedy,22,22053
Jefferson Davis,Tom Hoefling,6,22053
Jefferson Davis,Kanye West,7,22053
Jefferson Davis,Jo Jorgensen,131,22053
Jefferson Davis,Gloria La Riva,2,22053
Lafayette,Donald J. Trump,72519,22055
Lafayette,Tom Hoefling,73,22055
Lafayette,Jo Jorgensen,1512,22055
Lafayette, Amar Patel,95,22055
Lafayette,President R19 Boddie Stoneham,36,22055
Lafayette,Brock Pierce,32,22055
Lafayette,Don Blankenship,47,22055
Lafayette,Alyson Kennedy,256,22055
Lafayette,Gloria La Riva,29,22055
Lafayette,Jade Simmons,37,22055
Lafayette,Kanye West,32,22055
Lafayette,Joseph R. Biden,39685,22055
Lafayette,Bill Hammons,,22055
Lafayette,Brian Carroll,168,22055
Lafourche,Brian Carroll,54,22057
Lafourche,Kanye West,18,22057
Lafourche,Jade Simmons,19,22057
Lafourche,Bill Hammons,,22057
Lafourche, Amar Patel,21,22057
Lafourche,Jo Jorgensen,424,22057
Lafourche,President R19 Boddie Stoneham,21,22057
Lafourche,Brock Pierce,12,22057
Lafourche,Gloria La Riva,8,22057
Lafourche,Joseph R. Biden,8672,22057
Lafourche,Tom Hoefling,18,22057
Lafourche,Don Blankenship,17,22057
Lafourche,Alyson Kennedy,80,22057
Lafourche,Donald J. Trump,36024,22057
Lasalle,Donald J. Trump,6378,22059
Lasalle,President R19 Boddie Stoneham,4,22059
Lasalle,Alyson Kennedy,5,22059
Lasalle,Kanye West,1,22059
Lasalle,Jo Jorgensen,39,22059
Lasalle, Amar Patel,1,22059
Lasalle,Brock Pierce,3,22059
Lasalle,Don Blankenship,1,22059
Lasalle,Joseph R. Biden,638,22059
Lasalle,Jade Simmons,1,22059
Lasalle,Gloria La Riva,0,22059
Lasalle,Bill Hammons,,22059
Lasalle,Tom Hoefling,2,22059
Lasalle,Brian Carroll,4,22059
Lincoln,Gloria La Riva,2,22061
Lincoln,Alyson Kennedy,40,22061
Lincoln,Don Blankenship,4,22061
Lincoln,Brian Carroll,27,22061
Lincoln, Amar Patel,16,22061
Lincoln,Donald J. Trump,11311,22061
Lincoln,Jade Simmons,9,22061
Lincoln,President R19 Boddie Stoneham,3,22061
Lincoln,Tom Hoefling,8,22061
Lincoln,Jo Jorgensen,276,22061
Lincoln,Brock Pierce,9,22061
Lincoln,Kanye West,11,22061
Lincoln,Joseph R. Biden,7559,22061
Lincoln,Bill Hammons,,22061
Livingston,Donald J. Trump,54877,22063
Livingston,Jade Simmons,9,22063
Livingston,Tom Hoefling,15,22063
Livingston,Jo Jorgensen,817,22063
Livingston,Gloria La Riva,12,22063
Livingston,Kanye West,17,22063
Livingston,Bill Hammons,,22063
Livingston,Joseph R. Biden,9249,22063
Livingston,Brock Pierce,21,22063
Livingston,Don Blankenship,13,22063
Livingston, Amar Patel,29,22063
Livingston,Brian Carroll,51,22063
Livingston,Alyson Kennedy,98,22063
Livingston,President R19 Boddie Stoneham,22,22063
Madison,Bill Hammons,,22065
Madison,Brock Pierce,1,22065
Madison,Joseph R. Biden,2654,22065
Madison,Jo Jorgensen,23,22065
Madison,Alyson Kennedy,12,22065
Madison,Tom Hoefling,1,22065
Madison,Donald J. Trump,1930,22065
Madison,Brian Carroll,11,22065
Madison,Don Blankenship,7,22065
Madison, Amar Patel,8,22065
Madison,Jade Simmons,10,22065
Madison,Kanye West,6,22065
Madison,President R19 Boddie Stoneham,4,22065
Madison,Gloria La Riva,3,22065
Morehouse,Jade Simmons,9,22067
Morehouse, Amar Patel,11,22067
Morehouse,Don Blankenship,3,22067
Morehouse,Tom Hoefling,4,22067
Morehouse,Alyson Kennedy,8,22067
Morehouse,Bill Hammons,,22067
Morehouse,Joseph R. Biden,4946,22067
Morehouse,Gloria La Riva,5,22067
Morehouse,Kanye West,4,22067
Morehouse,President R19 Boddie Stoneham,5,22067
Morehouse,Brian Carroll,8,22067
Morehouse,Brock Pierce,5,22067
Morehouse,Donald J. Trump,6510,22067
Morehouse,Jo Jorgensen,56,22067
Natchitoches,Jo Jorgensen,172,22069
Natchitoches,Bill Hammons,,22069
Natchitoches,Jade Simmons,12,22069
Natchitoches,President R19 Boddie Stoneham,12,22069
Natchitoches, Amar Patel,22,22069
Natchitoches,Brock Pierce,5,22069
Natchitoches,Alyson Kennedy,28,22069
Natchitoches,Donald J. Trump,9358,22069
Natchitoches,Tom Hoefling,7,22069
Natchitoches,Brian Carroll,23,22069
Natchitoches,Kanye West,4,22069
Natchitoches,Joseph R. Biden,6896,22069
Natchitoches,Gloria La Riva,9,22069
Natchitoches,Don Blankenship,6,22069
Orleans,Alyson Kennedy,708,22071
Orleans,Donald J. Trump,26664,22071
Orleans,Joseph R. Biden,147854,22071
Orleans,Kanye West,52,22071
Orleans,Jo Jorgensen,1603,22071
Orleans,Brock Pierce,37,22071
Orleans,President R19 Boddie Stoneham,42,22071
Orleans,Bill Hammons,,22071
Orleans,Jade Simmons,100,22071
Orleans,Brian Carroll,178,22071
Orleans,Don Blankenship,76,22071
Orleans,Tom Hoefling,262,22071
Orleans, Amar Patel,132,22071
Orleans,Gloria La Riva,111,22071
Ouachita,Jade Simmons,33,22073
Ouachita,Jo Jorgensen,624,22073
Ouachita,Joseph R. Biden,25913,22073
Ouachita,Donald J. Trump,42255,22073
Ouachita,Bill Hammons,,22073
Ouachita, Amar Patel,48,22073
Ouachita,Brian Carroll,69,22073
