fips,county,candidate,votes
24510,Baltimore City,Donald J. Trump,25374
24510,Baltimore City,Joseph R. Biden,207260
24510,Baltimore City,Jo Jorgensen,1761
24510,Baltimore City,Howie Hawkins,1338
24510,Baltimore City,Jerome Segal,456
24510,Baltimore City,Write-in,0
24001,Allegany,Donald J. Trump,20886
24001,Allegany,Joseph R. Biden,9158
24001,Allegany,Jo Jorgensen,308
24001,Allegany,Howie Hawkins,120
24001,Allegany,Jerome Segal,39
24001,Allegany,Write-in,0
24003,Anne Arundel,Donald J. Trump,127821
24003,Anne Arundel,Joseph R. Biden,172823
24003,Anne Arundel,Jo Jorgensen,4652
24003,Anne Arundel,Howie Hawkins,1247
24003,Anne Arundel,Jerome Segal,381
24003,Anne Arundel,Write-in,0
24005,Baltimore,Donald J. Trump,146202
24005,Baltimore,Joseph R. Biden,258409
24005,Baltimore,Jo Jorgensen,4927
24005,Baltimore,Howie Hawkins,1820
24005,Baltimore,Jerome Segal,548
24005,Baltimore,Write-in,0
24009,Calvert,Donald J. Trump,25346
24009,Calvert,Joseph R. Biden,22587
24009,Calvert,Jo Jorgensen,733
24009,Calvert,Howie Hawkins,127
24009,Calvert,Jerome Segal,39
24009,Calvert,Write-in,0
24011,Caroline,Donald J. Trump,10283
24011,Caroline,Joseph R. Biden,5095
24011,Caroline,Jo Jorgensen,229
24011,Caroline,Howie Hawkins,90
24011,Caroline,Jerome Segal,32
24011,Caroline,Write-in,0
24013,Carroll,Donald J. Trump,60218
24013,Carroll,Joseph R. Biden,36456
24013,Carroll,Jo Jorgensen,2028
24013,Carroll,Howie Hawkins,537
24013,Carroll,Jerome Segal,169
24013,Carroll,Write-in,0
24015,Cecil,Donald J. Trump,29439
24015,Cecil,Joseph R. Biden,16809
24015,Cecil,Jo Jorgensen,706
24015,Cecil,Howie Hawkins,229
24015,Cecil,Jerome Segal,90
24015,Cecil,Write-in,0
24017,Charles,Donald J. Trump,25579
24017,Charles,Joseph R. Biden,62171
24017,Charles,Jo Jorgensen,769
24017,Charles,Howie Hawkins,408
24017,Charles,Jerome Segal,136
24017,Charles,Write-in,0
24019,Dorchester,Donald J. Trump,8764
24019,Dorchester,Joseph R. Biden,6857
24019,Dorchester,Jo Jorgensen,174
24019,Dorchester,Howie Hawkins,97
24019,Dorchester,Jerome Segal,42
24019,Dorchester,Write-in,0
24021,Frederick,Donald J. Trump,63682
24021,Frederick,Joseph R. Biden,77675
24021,Frederick,Jo Jorgensen,2282
24021,Frederick,Howie Hawkins,686
24021,Frederick,Jerome Segal,243
24021,Frederick,Write-in,0
24023,Garrett,Donald J. Trump,12002
24023,Garrett,Joseph R. Biden,3281
24023,Garrett,Jo Jorgensen,212
24023,Garrett,Howie Hawkins,64
24023,Garrett,Jerome Segal,20
24023,Garrett,Write-in,0
24025,Harford,Donald J. Trump,80930
24025,Harford,Joseph R. Biden,63095
24025,Harford,Jo Jorgensen,2473
24025,Harford,Howie Hawkins,577
24025,Harford,Jerome Segal,146
24025,Harford,Write-in,0
24027,Howard,Donald J. Trump,48390
24027,Howard,Joseph R. Biden,129433
