fips,county,candidate,votes
26001,Alcona,Brian Carroll,1
26001,Alcona,Don Blankenship,12
26001,Alcona,Donald J. Trump,4848
26001,Alcona,Howie Hawkins,11
26001,Alcona,Jade Simmons,0
26001,Alcona,Jo Jorgensen,50
26001,Alcona,Joseph R. Biden,2142
26001,Alcona,Kasey Wells,0
26001,Alcona,Rocky De La Fuente,0
26001,Alcona,Tara Renee Hunter,0
26001,Alcona,Tom Hoefling,0
26003,Alger,Brian Carroll,0
26003,Alger,Don Blankenship,9
26003,Alger,Donald J. Trump,3014
26003,Alger,Howie Hawkins,9
26003,Alger,Jade Simmons,0
26003,Alger,Jo Jorgensen,41
26003,Alger,Joseph R. Biden,2053
26003,Alger,Kasey Wells,0
26003,Alger,Rocky De La Fuente,2
26003,Alger,Tara Renee Hunter,0
26003,Alger,Tom Hoefling,0
26005,Allegan,Brian Carroll,11
26005,Allegan,Don Blankenship,118
26005,Allegan,Donald J. Trump,41393
26005,Allegan,Howie Hawkins,143
26005,Allegan,Jade Simmons,1
26005,Allegan,Jo Jorgensen,943
26005,Allegan,Joseph R. Biden,24455
26005,Allegan,Kasey Wells,0
26005,Allegan,Rocky De La Fuente,37
26005,Allegan,Tara Renee Hunter,0
26005,Allegan,Tom Hoefling,0
26007,Alpena,Brian Carroll,2
26007,Alpena,Don Blankenship,26
26007,Alpena,Donald J. Trump,10686
26007,Alpena,Howie Hawkins,28
26007,Alpena,Jade Simmons,1
26007,Alpena,Jo Jorgensen,220
26007,Alpena,Joseph R. Biden,6000
26007,Alpena,Kasey Wells,0
26007,Alpena,Rocky De La Fuente,6
26007,Alpena,Tara Renee Hunter,0
26007,Alpena,Tom Hoefling,0
26009,Antrim,Brian Carroll,0
26009,Antrim,Don Blankenship,16
26009,Antrim,Donald J. Trump,9748
26009,Antrim,Howie Hawkins,28
26009,Antrim,Jade Simmons,0
26009,Antrim,Jo Jorgensen,189
26009,Antrim,Joseph R. Biden,5960
26009,Antrim,Kasey Wells,0
26009,Antrim,Rocky De La Fuente,8
26009,Antrim,Tara Renee Hunter,0
26009,Antrim,Tom Hoefling,0
26011,Arenac,Brian Carroll,0
26011,Arenac,Don Blankenship,17
26011,Arenac,Donald J. Trump,5928
26011,Arenac,Howie Hawkins,12
26011,Arenac,Jade Simmons,0
26011,Arenac,Jo Jorgensen,97
26011,Arenac,Joseph R. Biden,2774
26011,Arenac,Kasey Wells,0
26011,Arenac,Rocky De La Fuente,3
26011,Arenac,Tara Renee Hunter,0
26011,Arenac,Tom Hoefling,0
26013,Baraga,Brian Carroll,0
26013,Baraga,Don Blankenship,5
26013,Baraga,Donald J. Trump,2512
26013,Baraga,Howie Hawkins,10
26013,Baraga,Jade Simmons,0
26013,Baraga,Jo Jorgensen,31
26013,Baraga,Joseph R. Biden,1478
26013,Baraga,Kasey Wells,0
26013,Baraga,Rocky De La Fuente,0
26013,Baraga,Tara Renee Hunter,0
26013,Baraga,Tom Hoefling,2
26015,Barry,Brian Carroll,0
26015,Barry,Don Blankenship,59
26015,Barry,Donald J. Trump,23471
26015,Barry,Howie Hawkins,83
26015,Barry,Jade Simmons,0
26015,Barry,Jo Jorgensen,479
26015,Barry,Joseph R. Biden,11797
26015,Barry,Kasey Wells,0
26015,Barry,Rocky De La Fuente,16
26015,Barry,Tara Renee Hunter,0
26015,Barry,Tom Hoefling,0
26017,Bay,Brian Carroll,0
26017,Bay,Don Blankenship,102
26017,Bay,Donald J. Trump,33125
26017,Bay,Howie Hawkins,155
26017,Bay,Jade Simmons,0
26017,Bay,Jo Jorgensen,688
26017,Bay,Joseph R. Biden,26151
26017,Bay,Kasey Wells,0
26017,Bay,Rocky De La Fuente,32
26017,Bay,Tara Renee Hunter,0
26017,Bay,Tom Hoefling,2
26019,Benzie,Brian Carroll,2
26019,Benzie,Don Blankenship,13
26019,Benzie,Donald J. Trump,6601
26019,Benzie,Howie Hawkins,29
26019,Benzie,Jade Simmons,0
26019,Benzie,Jo Jorgensen,128
26019,Benzie,Joseph R. Biden,5480
26019,Benzie,Kasey Wells,0
26019,Benzie,Rocky De La Fuente,9
26019,Benzie,Tara Renee Hunter,0
26019,Benzie,Tom Hoefling,0
26021,Berrien,Brian Carroll,11
26021,Berrien,Don Blankenship,140
26021,Berrien,Donald J. Trump,43519
26021,Berrien,Howie Hawkins,173
26021,Berrien,Jade Simmons,1
26021,Berrien,Jo Jorgensen,1062
26021,Berrien,Joseph R. Biden,37438
26021,Berrien,Kasey Wells,0
26021,Berrien,Rocky De La Fuente,47
26021,Berrien,Tara Renee Hunter,0
26021,Berrien,Tom Hoefling,0
