fips,county,candidate,votes
27001,Aitkin,Joseph R. Biden,3607
27001,Aitkin,Howie Hawkins,24
27001,Aitkin,USPRSIA,15
27001,Aitkin,Brock Pierce,24
27001,Aitkin,Kanye West,22
27001,Aitkin,Jo Jorgensen,55
27001,Aitkin,Donald J. Trump,6258
27001,Aitkin,USPRSSLP,2
27001,Aitkin,USPRSSWP,3
27001,Aitkin,Write-in,15
27003,Anoka,Joseph R. Biden,100893
27003,Anoka,Howie Hawkins,731
27003,Anoka,USPRSIA,467
27003,Anoka,Brock Pierce,408
27003,Anoka,Kanye West,513
27003,Anoka,Jo Jorgensen,2475
27003,Anoka,Donald J. Trump,104902
27003,Anoka,USPRSSLP,66
27003,Anoka,USPRSSWP,36
27003,Anoka,Write-in,641
27005,Becker,Joseph R. Biden,6589
27005,Becker,Howie Hawkins,35
27005,Becker,USPRSIA,37
27005,Becker,Brock Pierce,27
27005,Becker,Kanye West,52
27005,Becker,Jo Jorgensen,168
27005,Becker,Donald J. Trump,12438
27005,Becker,USPRSSLP,8
27005,Becker,USPRSSWP,4
27005,Becker,Write-in,43
27007,Beltrami,Joseph R. Biden,11426
27007,Beltrami,Howie Hawkins,75
27007,Beltrami,USPRSIA,32
27007,Beltrami,Brock Pierce,33
27007,Beltrami,Kanye West,95
27007,Beltrami,Jo Jorgensen,256
27007,Beltrami,Donald J. Trump,12188
27007,Beltrami,USPRSSLP,17
27007,Beltrami,USPRSSWP,9
27007,Beltrami,Write-in,58
27009,Benton,Joseph R. Biden,7280
27009,Benton,Howie Hawkins,81
27009,Benton,USPRSIA,29
27009,Benton,Brock Pierce,40
27009,Benton,Kanye West,45
27009,Benton,Jo Jorgensen,351
27009,Benton,Donald J. Trump,14382
27009,Benton,USPRSSLP,5
27009,Benton,USPRSSWP,5
27009,Benton,Write-in,42
27011,Big Stone,Joseph R. Biden,1053
27011,Big Stone,Howie Hawkins,14
27011,Big Stone,USPRSIA,4
27011,Big Stone,Brock Pierce,8
27011,Big Stone,Kanye West,14
27011,Big Stone,Jo Jorgensen,14
27011,Big Stone,Donald J. Trump,1863
27011,Big Stone,USPRSSLP,0
27011,Big Stone,USPRSSWP,0
27011,Big Stone,Write-in,4
27013,Blue Earth,Joseph R. Biden,18330
27013,Blue Earth,Howie Hawkins,139
27013,Blue Earth,USPRSIA,64
27013,Blue Earth,Brock Pierce,82
27013,Blue Earth,Kanye West,120
27013,Blue Earth,Jo Jorgensen,477
27013,Blue Earth,Donald J. Trump,16731
27013,Blue Earth,USPRSSLP,10
27013,Blue Earth,USPRSSWP,16
27013,Blue Earth,Write-in,82
27015,Brown,Joseph R. Biden,4753
27015,Brown,Howie Hawkins,38
27015,Brown,USPRSIA,33
27015,Brown,Brock Pierce,41
27015,Brown,Kanye West,33
27015,Brown,Jo Jorgensen,136
27015,Brown,Donald J. Trump,9552
27015,Brown,USPRSSLP,6
27015,Brown,USPRSSWP,3
