fips,county,candidate,votes
29001,Adair,Donald J. Trump,6413
29003,Andrew,Donald J. Trump,7255
29005,Atchison,Donald J. Trump,2199
29007,Audrain,Donald J. Trump,7732
29009,Barry,Donald J. Trump,12425
29011,Barton,Donald J. Trump,5168
29013,Bates,Donald J. Trump,6597
29015,Benton,Donald J. Trump,8109
29017,Bollinger,Donald J. Trump,5167
29019,Boone,Donald J. Trump,38646
29021,Buchanan,Donald J. Trump,22450
29023,Butler,Donald J. Trump,14602
29025,Caldwell,Donald J. Trump,3725
29027,Callaway,Donald J. Trump,14815
29029,Camden,Donald J. Trump,18850
29031,Cape Girardeau,Donald J. Trump,28907
29033,Carroll,Donald J. Trump,3706
29035,Carter,Donald J. Trump,2451
29037,Cass,Donald J. Trump,37197
29039,Cedar,Donald J. Trump,5788
29041,Chariton,Donald J. Trump,3111
29043,Christian,Donald J. Trump,34920
29045,Clark,Donald J. Trump,2672
29047,Clay,Donald J. Trump,64605
29049,Clinton,Donald J. Trump,7799
29051,Cole,Donald J. Trump,26086
29053,Cooper,Donald J. Trump,6272
29055,Crawford,Donald J. Trump,8725
29057,Dade,Donald J. Trump,3414
29059,Dallas,Donald J. Trump,6619
29061,Daviess,Donald J. Trump,3102
29063,De Kalb,Donald J. Trump,3828
29065,Dent,Donald J. Trump,5987
29067,Douglas,Donald J. Trump,5898
29069,Dunklin,Donald J. Trump,8135
29071,Franklin,Donald J. Trump,38058
29073,Gasconade,Donald J. Trump,6222
29075,Gentry,Donald J. Trump,2581
29077,Greene,Donald J. Trump,83630
29079,Grundy,Donald J. Trump,3585
29081,Harrison,Donald J. Trump,3198
29083,Henry,Donald J. Trump,8027
29085,Hickory,Donald J. Trump,3966
29087,Holt,Donald J. Trump,1976
29089,Howard,Donald J. Trump,3553
29091,Howell,Donald J. Trump,15181
29093,Iron,Donald J. Trump,3596
29095,Jackson,Donald J. Trump,100142
29097,Jasper,Donald J. Trump,37728
29099,Jefferson,Donald J. Trump,77046
29101,Johnson,Donald J. Trump,15489
29380,Kansas City,Donald J. Trump,26393
29103,Knox,Donald J. Trump,1486
29105,Laclede,Donald J. Trump,13762
29107,Lafayette,Donald J. Trump,12273
29109,Lawrence,Donald J. Trump,14426
29111,Lewis,Donald J. Trump,3553
29113,Lincoln,Donald J. Trump,21848
29115,Linn,Donald J. Trump,4363
29117,Livingston,Donald J. Trump,5267
29121,Macon,Donald J. Trump,6076
29123,Madison,Donald J. Trump,4584
29125,Maries,Donald J. Trump,3892
29127,Marion,Donald J. Trump,9915
29119,McDonald,Donald J. Trump,7465
29129,Mercer,Donald J. Trump,1541
29131,Miller,Donald J. Trump,10176
29133,Mississippi,Donald J. Trump,3537
29135,Moniteau,Donald J. Trump,5744
29137,Monroe,Donald J. Trump,3477
