fips,county,candidate,votes
28001,Adams,Joseph R. Biden,7917
28003,Alcorn,Joseph R. Biden,2782
28005,Amite,Joseph R. Biden,2620
28007,Attala,Joseph R. Biden,3542
28009,Benton,Joseph R. Biden,1679
28011,Bolivar,Joseph R. Biden,8904
28013,Calhoun,Joseph R. Biden,1902
28015,Carroll,Joseph R. Biden,1729
28017,Chickasaw,Joseph R. Biden,3810
28019,Choctaw,Joseph R. Biden,1185
28021,Claiborne,Joseph R. Biden,3772
28023,Clarke,Joseph R. Biden,2838
28025,Clay,Joseph R. Biden,5844
28027,Coahoma,Joseph R. Biden,6020
28029,Copiah,Joseph R. Biden,6470
28031,Covington,Joseph R. Biden,3416
28033,DeSoto,Joseph R. Biden,28265
28035,Forrest,Joseph R. Biden,13755
28037,Franklin,Joseph R. Biden,1480
28039,George,Joseph R. Biden,1218
28041,Greene,Joseph R. Biden,966
28043,Grenada,Joseph R. Biden,4734
28045,Hancock,Joseph R. Biden,4504
28047,Harrison,Joseph R. Biden,27728
28049,Hinds,Joseph R. Biden,73550
28051,Holmes,Joseph R. Biden,6588
28053,Humphreys,Joseph R. Biden,3016
28055,Issaquena,Joseph R. Biden,355
28057,Itawamba,Joseph R. Biden,1249
28059,Jackson,Joseph R. Biden,17375
28061,Jasper,Joseph R. Biden,4341
28065,Jefferson Davis,Joseph R. Biden,3599
28063,Jefferson,Joseph R. Biden,3327
28067,Jones,Joseph R. Biden,8517
28069,Kemper,Joseph R. Biden,2887
28071,Lafayette,Joseph R. Biden,10070
28073,Lamar,Joseph R. Biden,7340
28075,Lauderdale,Joseph R. Biden,12960
28077,Lawrence,Joseph R. Biden,2260
28079,Leake,Joseph R. Biden,3897
28081,Lee,Joseph R. Biden,12189
28083,Leflore,Joseph R. Biden,7648
28085,Lincoln,Joseph R. Biden,5040
28087,Lowndes,Joseph R. Biden,13087
28089,Madison,Joseph R. Biden,24440
28091,Marion,Joseph R. Biden,3787
28093,Marshall,Joseph R. Biden,8057
28095,Monroe,Joseph R. Biden,5874
28097,Montgomery,Joseph R. Biden,2121
28099,Neshoba,Joseph R. Biden,3260
28101,Newton,Joseph R. Biden,3075
28103,Noxubee,Joseph R. Biden,4040
28105,Oktibbeha,Joseph R. Biden,10299
28107,Panola,Joseph R. Biden,7403
28109,Pearl River,Joseph R. Biden,4148
28111,Perry,Joseph R. Biden,1362
28113,Pike,Joseph R. Biden,8646
28115,Pontotoc,Joseph R. Biden,2614
28117,Prentiss,Joseph R. Biden,2153
28119,Quitman,Joseph R. Biden,2150
28121,Rankin,Joseph R. Biden,18847
28123,Scott,Joseph R. Biden,4330
28125,Sharkey,Joseph R. Biden,1465
28127,Simpson,Joseph R. Biden,4037
28129,Smith,Joseph R. Biden,1791
28131,Stone,Joseph R. Biden,1802
28133,Sunflower,Joseph R. Biden,6781
28135,Tallahatchie,Joseph R. Biden,3105
28137,Tate,Joseph R. Biden,4183
28139,Tippah,Joseph R. Biden,1937
28141,Tishomingo,Joseph R. Biden,1059
28143,Tunica,Joseph R. Biden,2580
28145,Union,Joseph R. Biden,2160
28147,Walthall,Joseph R. Biden,2835
28149,Warren,Joseph R. Biden,10442
28151,Washington,Joseph R. Biden,12503
28153,Wayne,Joseph R. Biden,3624
28155,Webster,Joseph R. Biden,1043
28157,Wilkinson,Joseph R. Biden,2749
28159,Winston,Joseph R. Biden,4040
28161,Yalobusha,Joseph R. Biden,2785
28163,Yazoo,Joseph R. Biden,5496
28001,Adams,Donald J. Trump,5696
28003,Alcorn,Donald J. Trump,12818
28005,Amite,Donald J. Trump,4503
28007,Attala,Donald J. Trump,5178
28009,Benton,Donald J. Trump,2570
28011,Bolivar,Donald J. Trump,4671
28013,Calhoun,Donald J. Trump,4625
28015,Carroll,Donald J. Trump,3924
28017,Chickasaw,Donald J. Trump,4175
28019,Choctaw,Donald J. Trump,3001
28021,Claiborne,Donald J. Trump,603
28023,Clarke,Donald J. Trump,5417
28025,Clay,Donald J. Trump,4181
28027,Coahoma,Donald J. Trump,2375
28029,Copiah,Donald J. Trump,6250
28031,Covington,Donald J. Trump,5854
28033,DeSoto,Donald J. Trump,46462
28035,Forrest,Donald J. Trump,17290
28037,Franklin,Donald J. Trump,2923
28039,George,Donald J. Trump,9713
28041,Greene,Donald J. Trump,4794
28043,Grenada,Donald J. Trump,6081
28045,Hancock,Donald J. Trump,16132
28047,Harrison,Donald J. Trump,46822
28049,Hinds,Donald J. Trump,25141
28051,Holmes,Donald J. Trump,1369
28053,Humphreys,Donald J. Trump,1118
28055,Issaquena,Donald J. Trump,308
28057,Itawamba,Donald J. Trump,9438
28059,Jackson,Donald J. Trump,36295
28061,Jasper,Donald J. Trump,4302
28065,Jefferson Davis,Donald J. Trump,2534
28063,Jefferson,Donald J. Trump,531
28067,Jones,Donald J. Trump,21226
28069,Kemper,Donald J. Trump,1787
28071,Lafayette,Donald J. Trump,12949
28073,Lamar,Donald J. Trump,20704
28075,Lauderdale,Donald J. Trump,17967
28077,Lawrence,Donald J. Trump,4285
28079,Leake,Donald J. Trump,5228
28081,Lee,Donald J. Trump,24207
28083,Leflore,Donald J. Trump,3129
28085,Lincoln,Donald J. Trump,11596
28087,Lowndes,Donald J. Trump,13800
28089,Madison,Donald J. Trump,31091
28091,Marion,Donald J. Trump,8273
28093,Marshall,Donald J. Trump,7566
28095,Monroe,Donald J. Trump,11177
28097,Montgomery,Donald J. Trump,2917
28099,Neshoba,Donald J. Trump,8320
28101,Newton,Donald J. Trump,6997
28103,Noxubee,Donald J. Trump,1240
28105,Oktibbeha,Donald J. Trump,9004
28107,Panola,Donald J. Trump,8060
28109,Pearl River,Donald J. Trump,19595
28111,Perry,Donald J. Trump,4500
28113,Pike,Donald J. Trump,8479
28115,Pontotoc,Donald J. Trump,11550
28117,Prentiss,Donald J. Trump,8370
28119,Quitman,Donald J. Trump,1026
28121,Rankin,Donald J. Trump,50895
28123,Scott,Donald J. Trump,6285
28125,Sharkey,Donald J. Trump,688
28127,Simpson,Donald J. Trump,7635
28129,Smith,Donald J. Trump,6458
28131,Stone,Donald J. Trump,5964
28133,Sunflower,Donald J. Trump,2799
28135,Tallahatchie,Donald J. Trump,2488
28137,Tate,Donald J. Trump,8707
28139,Tippah,Donald J. Trump,8054
28141,Tishomingo,Donald J. Trump,7933
28143,Tunica,Donald J. Trump,926
28145,Union,Donald J. Trump,10373
28147,Walthall,Donald J. Trump,4220
28149,Warren,Donald J. Trump,10365
28151,Washington,Donald J. Trump,5300
28153,Wayne,Donald J. Trump,6307
28155,Webster,Donald J. Trump,4291
28157,Wilkinson,Donald J. Trump,1324
28159,Winston,Donald J. Trump,5112
28161,Yalobusha,Donald J. Trump,3671
28163,Yazoo,Donald J. Trump,4832
28001,Adams,Don Blankenship,7
28003,Alcorn,Don Blankenship,11
