fips,county,candidate,votes
30001,Beaverhead,Joseph R. Biden,1608
30001,Beaverhead,Jo Jorgensen,130
30001,Beaverhead,Donald J. Trump,3923
30003,Big Horn,Joseph R. Biden,2491
30003,Big Horn,Jo Jorgensen,86
30003,Big Horn,Donald J. Trump,2207
30005,Blaine,Joseph R. Biden,1589
30005,Blaine,Jo Jorgensen,59
30005,Blaine,Donald J. Trump,1469
30007,Broadwater,Joseph R. Biden,835
30007,Broadwater,Jo Jorgensen,89
30007,Broadwater,Donald J. Trump,3173
30009,Carbon,Joseph R. Biden,2421
30009,Carbon,Jo Jorgensen,163
30009,Carbon,Donald J. Trump,4468
30011,Carter,Joseph R. Biden,74
30011,Carter,Jo Jorgensen,15
30011,Carter,Donald J. Trump,775
30013,Cascade,Joseph R. Biden,15456
30013,Cascade,Jo Jorgensen,1114
30013,Cascade,Donald J. Trump,23315
30015,Chouteau,Joseph R. Biden,991
30015,Chouteau,Jo Jorgensen,83
30015,Chouteau,Donald J. Trump,1891
30017,Custer,Joseph R. Biden,1514
30017,Custer,Jo Jorgensen,141
30017,Custer,Donald J. Trump,4205
30019,Daniels,Joseph R. Biden,195
30019,Daniels,Jo Jorgensen,20
30019,Daniels,Donald J. Trump,799
30021,Dawson,Joseph R. Biden,962
30021,Dawson,Jo Jorgensen,105
30021,Dawson,Donald J. Trump,3758
30023,Deer Lodge,Joseph R. Biden,2562
30023,Deer Lodge,Jo Jorgensen,143
30023,Deer Lodge,Donald J. Trump,2186
30025,Fallon,Joseph R. Biden,172
30025,Fallon,Jo Jorgensen,28
30025,Fallon,Donald J. Trump,1375
30027,Fergus,Joseph R. Biden,1496
30027,Fergus,Jo Jorgensen,142
30027,Fergus,Donald J. Trump,4869
30029,Flathead,Joseph R. Biden,20274
30029,Flathead,Jo Jorgensen,1341
30029,Flathead,Donald J. Trump,38321
30031,Gallatin,Joseph R. Biden,37044
30031,Gallatin,Jo Jorgensen,2239
30031,Gallatin,Donald J. Trump,31696
30033,Garfield,Joseph R. Biden,41
30033,Garfield,Jo Jorgensen,8
30033,Garfield,Donald J. Trump,764
30035,Glacier,Joseph R. Biden,3610
30035,Glacier,Jo Jorgensen,123
30035,Glacier,Donald J. Trump,1884
30037,Golden Valley,Joseph R. Biden,78
30037,Golden Valley,Jo Jorgensen,11
30037,Golden Valley,Donald J. Trump,414
30039,Granite,Joseph R. Biden,638
