fips,county,candidate,votes
37001,Alamance,Don Blankenship,151
37001,Alamance,Donald J. Trump,46056
37001,Alamance,Howie Hawkins,223
37001,Alamance,Jo Jorgensen,686
37001,Alamance,Joseph R. Biden,38825
37001,Alamance,Write-in,150
37003,Alexander,Don Blankenship,24
37003,Alexander,Donald J. Trump,15888
37003,Alexander,Howie Hawkins,18
37003,Alexander,Jo Jorgensen,127
37003,Alexander,Joseph R. Biden,4145
37003,Alexander,Write-in,34
37005,Alleghany,Don Blankenship,5
37005,Alleghany,Donald J. Trump,4527
37005,Alleghany,Howie Hawkins,15
37005,Alleghany,Jo Jorgensen,35
37005,Alleghany,Joseph R. Biden,1486
37005,Alleghany,Write-in,8
37007,Anson,Don Blankenship,19
37007,Anson,Donald J. Trump,5321
37007,Anson,Howie Hawkins,14
37007,Anson,Jo Jorgensen,41
37007,Anson,Joseph R. Biden,5789
37007,Anson,Write-in,10
37009,Ashe,Don Blankenship,27
37009,Ashe,Donald J. Trump,11451
37009,Ashe,Howie Hawkins,23
37009,Ashe,Jo Jorgensen,126
37009,Ashe,Joseph R. Biden,4164
37009,Ashe,Write-in,23
37011,Avery,Don Blankenship,10
37011,Avery,Donald J. Trump,7172
37011,Avery,Howie Hawkins,13
37011,Avery,Jo Jorgensen,56
37011,Avery,Joseph R. Biden,2191
37011,Avery,Write-in,16
37013,Beaufort,Don Blankenship,37
37013,Beaufort,Donald J. Trump,16437
37013,Beaufort,Howie Hawkins,30
37013,Beaufort,Jo Jorgensen,137
37013,Beaufort,Joseph R. Biden,9633
37013,Beaufort,Write-in,41
37015,Bertie,Don Blankenship,8
37015,Bertie,Donald J. Trump,3817
37015,Bertie,Howie Hawkins,15
37015,Bertie,Jo Jorgensen,29
37015,Bertie,Joseph R. Biden,5939
37015,Bertie,Write-in,7
37017,Bladen,Don Blankenship,20
37017,Bladen,Donald J. Trump,9676
37017,Bladen,Howie Hawkins,18
37017,Bladen,Jo Jorgensen,68
37017,Bladen,Joseph R. Biden,7326
37017,Bladen,Write-in,17
37019,Brunswick,Don Blankenship,91
37019,Brunswick,Donald J. Trump,55850
37019,Brunswick,Howie Hawkins,119
37019,Brunswick,Jade Simmons,2
37019,Brunswick,Jo Jorgensen,642
37019,Brunswick,Joseph R. Biden,33310
37019,Brunswick,Write-in,161
37021,Buncombe,Don Blankenship,225
37021,Buncombe,Donald J. Trump,62412
37021,Buncombe,Howie Hawkins,542
37021,Buncombe,Jade Simmons,2
37021,Buncombe,Jo Jorgensen,1460
37021,Buncombe,Joseph R. Biden,96515
37021,Buncombe,Write-in,413
37023,Burke,Don Blankenship,43
