fips,county,candidate,votes
38001,Adams,Donald J. Trump,981
38001,Adams,Joseph R. Biden,258
38001,Adams,Jo Jorgensen,30
38001,Adams,Write-in,0
38003,Barnes,Donald J. Trump,3568
38003,Barnes,Joseph R. Biden,1820
38003,Barnes,Jo Jorgensen,161
38003,Barnes,Write-in,16
38005,Benson,Donald J. Trump,1094
38005,Benson,Joseph R. Biden,822
38005,Benson,Jo Jorgensen,39
38005,Benson,Write-in,6
38007,Billings,Donald J. Trump,541
38007,Billings,Joseph R. Biden,72
38007,Billings,Jo Jorgensen,21
38007,Billings,Write-in,1
38009,Bottineau,Donald J. Trump,2575
38009,Bottineau,Joseph R. Biden,821
38009,Bottineau,Jo Jorgensen,65
38009,Bottineau,Write-in,10
38011,Bowman,Donald J. Trump,1395
38011,Bowman,Joseph R. Biden,228
38011,Bowman,Jo Jorgensen,30
38011,Bowman,Write-in,4
38013,Burke,Donald J. Trump,994
38013,Burke,Joseph R. Biden,137
38013,Burke,Jo Jorgensen,20
38013,Burke,Write-in,4
38015,Burleigh,Donald J. Trump,34744
38015,Burleigh,Joseph R. Biden,14348
38015,Burleigh,Jo Jorgensen,1368
38015,Burleigh,Write-in,293
38017,Cass,Donald J. Trump,42619
38017,Cass,Joseph R. Biden,40311
38017,Cass,Jo Jorgensen,2495
38017,Cass,Write-in,628
38019,Cavalier,Donald J. Trump,1499
38019,Cavalier,Joseph R. Biden,474
38019,Cavalier,Jo Jorgensen,40
38019,Cavalier,Write-in,7
38021,Dickey,Donald J. Trump,1742
38021,Dickey,Joseph R. Biden,608
38021,Dickey,Jo Jorgensen,63
38021,Dickey,Write-in,11
38023,Divide,Donald J. Trump,904
38023,Divide,Joseph R. Biden,265
38023,Divide,Jo Jorgensen,30
38023,Divide,Write-in,3
38025,Dunn,Donald J. Trump,1951
38025,Dunn,Joseph R. Biden,342
38025,Dunn,Jo Jorgensen,39
38025,Dunn,Write-in,6
38027,Eddy,Donald J. Trump,854
38027,Eddy,Joseph R. Biden,383
38027,Eddy,Jo Jorgensen,22
38027,Eddy,Write-in,2
38029,Emmons,Donald J. Trump,1738
38029,Emmons,Joseph R. Biden,237
38029,Emmons,Jo Jorgensen,27
38029,Emmons,Write-in,7
38031,Foster,Donald J. Trump,1362
38031,Foster,Joseph R. Biden,373
38031,Foster,Jo Jorgensen,33
38031,Foster,Write-in,10
38033,Golden Valley,Donald J. Trump,871
38033,Golden Valley,Joseph R. Biden,137
38033,Golden Valley,Jo Jorgensen,16
38033,Golden Valley,Write-in,2
38035,Grand Forks,Donald J. Trump,16987
38035,Grand Forks,Joseph R. Biden,12880
38035,Grand Forks,Jo Jorgensen,874
38035,Grand Forks,Write-in,229
38037,Grant,Donald J. Trump,1145
38037,Grant,Joseph R. Biden,207
38037,Grant,Jo Jorgensen,28
38037,Grant,Write-in,1
38039,Griggs,Donald J. Trump,907
38039,Griggs,Joseph R. Biden,308
38039,Griggs,Jo Jorgensen,34
38039,Griggs,Write-in,1
38041,Hettinger,Donald J. Trump,1091
38041,Hettinger,Joseph R. Biden,196
38041,Hettinger,Jo Jorgensen,23
38041,Hettinger,Write-in,2
38043,Kidder,Donald J. Trump,1215
38043,Kidder,Joseph R. Biden,221
38043,Kidder,Jo Jorgensen,22
38043,Kidder,Write-in,2
38045,LaMoure,Donald J. Trump,1645
38045,LaMoure,Joseph R. Biden,527
38045,LaMoure,Jo Jorgensen,44
38045,LaMoure,Write-in,3
38047,Logan,Donald J. Trump,930
38047,Logan,Joseph R. Biden,128
38047,Logan,Jo Jorgensen,14
38047,Logan,Write-in,4
38049,McHenry,Donald J. Trump,2364
