fips,county,candidate,votes
31001,Adams,Donald J. Trump,10085
31001,Adams,Joseph R. Biden,4213
31001,Adams,Jo Jorgensen,304
31001,Adams,Write-in,51
31003,Antelope,Donald J. Trump,3093
31003,Antelope,Joseph R. Biden,452
31003,Antelope,Jo Jorgensen,38
31003,Antelope,Write-in,4
31005,Arthur,Donald J. Trump,260
31005,Arthur,Joseph R. Biden,21
31005,Arthur,Jo Jorgensen,3
31005,Arthur,Write-in,1
31007,Banner,Donald J. Trump,362
31007,Banner,Joseph R. Biden,43
31007,Banner,Jo Jorgensen,5
31007,Banner,Write-in,1
31009,Blaine,Donald J. Trump,280
31009,Blaine,Joseph R. Biden,35
31009,Blaine,Jo Jorgensen,2
31009,Blaine,Write-in,0
31011,Boone,Donald J. Trump,2653
31011,Boone,Joseph R. Biden,499
31011,Boone,Jo Jorgensen,65
31011,Boone,Write-in,9
31013,Box Butte,Donald J. Trump,4002
31013,Box Butte,Joseph R. Biden,1051
31013,Box Butte,Jo Jorgensen,128
31013,Box Butte,Write-in,19
31015,Boyd,Donald J. Trump,1010
31015,Boyd,Joseph R. Biden,135
31015,Boyd,Jo Jorgensen,8
31015,Boyd,Write-in,2
31017,Brown,Donald J. Trump,1470
31017,Brown,Joseph R. Biden,191
31017,Brown,Jo Jorgensen,18
31017,Brown,Write-in,5
31019,Buffalo,Donald J. Trump,16640
31019,Buffalo,Joseph R. Biden,6350
31019,Buffalo,Jo Jorgensen,599
31019,Buffalo,Write-in,122
31021,Burt,Donald J. Trump,2580
31021,Burt,Joseph R. Biden,1063
31021,Burt,Jo Jorgensen,88
31021,Burt,Write-in,8
31023,Butler,Donald J. Trump,3542
31023,Butler,Joseph R. Biden,873
31023,Butler,Jo Jorgensen,83
31023,Butler,Write-in,20
31025,Cass,Donald J. Trump,10121
31025,Cass,Joseph R. Biden,4737
31025,Cass,Jo Jorgensen,426
31025,Cass,Write-in,42
31027,Cedar,Donald J. Trump,4174
31027,Cedar,Joseph R. Biden,725
31027,Cedar,Jo Jorgensen,97
31027,Cedar,Write-in,19
31029,Chase,Donald J. Trump,1740
31029,Chase,Joseph R. Biden,226
31029,Chase,Jo Jorgensen,27
31029,Chase,Write-in,7
31031,Cherry,Donald J. Trump,2844
31031,Cherry,Joseph R. Biden,373
31031,Cherry,Jo Jorgensen,48
31031,Cherry,Write-in,4
31033,Cheyenne,Donald J. Trump,3813
31033,Cheyenne,Joseph R. Biden,855
31033,Cheyenne,Jo Jorgensen,97
31033,Cheyenne,Write-in,11
31035,Clay,Donald J. Trump,2848
31035,Clay,Joseph R. Biden,632
31035,Clay,Jo Jorgensen,78
31035,Clay,Write-in,12
31037,Colfax,Donald J. Trump,2636
31037,Colfax,Joseph R. Biden,1025
31037,Colfax,Jo Jorgensen,56
31037,Colfax,Write-in,9
31039,Cuming,Donald J. Trump,3507
31039,Cuming,Joseph R. Biden,870
31039,Cuming,Jo Jorgensen,74
31039,Cuming,Write-in,8
31041,Custer,Donald J. Trump,5090
31041,Custer,Joseph R. Biden,786
31041,Custer,Jo Jorgensen,117
31041,Custer,Write-in,17
31043,Dakota,Donald J. Trump,3926
31043,Dakota,Joseph R. Biden,2744
31043,Dakota,Jo Jorgensen,124
31043,Dakota,Write-in,23
31045,Dawes,Donald J. Trump,2931
31045,Dawes,Joseph R. Biden,1082
31045,Dawes,Jo Jorgensen,108
31045,Dawes,Write-in,30
31047,Dawson,Donald J. Trump,6524
31047,Dawson,Joseph R. Biden,2497
31047,Dawson,Jo Jorgensen,157
31047,Dawson,Write-in,13
31049,Deuel,Donald J. Trump,871
31049,Deuel,Joseph R. Biden,141
31049,Deuel,Jo Jorgensen,20
31049,Deuel,Write-in,2
31051,Dixon,Donald J. Trump,2335
31051,Dixon,Joseph R. Biden,651
31051,Dixon,Jo Jorgensen,97
