fips,county,candidate,votes
33001,Belknap,Donald J. Trump,20899
33001,Belknap,Joseph R. Biden,16894
33001,Belknap,Jo Jorgensen,598
33003,Carroll,Donald J. Trump,16150
33003,Carroll,Joseph R. Biden,16649
33003,Carroll,Jo Jorgensen,422
33005,Cheshire,Donald J. Trump,17898
33005,Cheshire,Joseph R. Biden,25522
33005,Cheshire,Jo Jorgensen,800
33007,Coos,Donald J. Trump,8617
33007,Coos,Joseph R. Biden,7640
33007,Coos,Jo Jorgensen,258
33009,Grafton,Donald J. Trump,19905
33009,Grafton,Joseph R. Biden,33180
33009,Grafton,Jo Jorgensen,881
33011,Hillsborough,Donald J. Trump,104625
33011,Hillsborough,Joseph R. Biden,122344
33011,Hillsborough,Jo Jorgensen,3972
33013,Merrimack,Donald J. Trump,39711
33013,Merrimack,Joseph R. Biden,48533
33013,Merrimack,Jo Jorgensen,1561
33015,Rockingham,Donald J. Trump,95858
33015,Rockingham,Joseph R. Biden,100064
33015,Rockingham,Jo Jorgensen,2876
33017,Strafford,Donald J. Trump,30489
33017,Strafford,Joseph R. Biden,41721
33017,Strafford,Jo Jorgensen,1386
33019,Sullivan,Donald J. Trump,11508
33019,Sullivan,Joseph R. Biden,12390
33019,Sullivan,Jo Jorgensen,482
