fips,county,candidate,votes
34001,ATLANTIC,Joseph R. Biden,73808
34003,BERGEN,Joseph R. Biden,285967
34005,BURLINGTON,Joseph R. Biden,154595
34007,CAMDEN,Joseph R. Biden,175065
34009,CAPE MAY,Joseph R. Biden,23941
34011,CUMBERLAND,Joseph R. Biden,32742
34013,ESSEX,Joseph R. Biden,266820
34015,GLOUCESTER,Joseph R. Biden,86702
34017,HUDSON,Joseph R. Biden,181452
34019,HUNTERDON,Joseph R. Biden,39457
34021,MERCER,Joseph R. Biden,122532
34023,MIDDLESEX,Joseph R. Biden,226250
34025,MONMOUTH,Joseph R. Biden,181291
34027,MORRIS,Joseph R. Biden,153881
34029,OCEAN,Joseph R. Biden,119456
34031,PASSAIC,Joseph R. Biden,129097
34033,SALEM,Joseph R. Biden,14479
34035,SOMERSET,Joseph R. Biden,111173
34037,SUSSEX,Joseph R. Biden,34481
34039,UNION,Joseph R. Biden,170310
34041,WARREN,Joseph R. Biden,24901
34001,ATLANTIC,Donald J. Trump,64438
34003,BERGEN,Donald J. Trump,204417
34005,BURLINGTON,Donald J. Trump,103345
34007,CAMDEN,Donald J. Trump,86207
34009,CAPE MAY,Donald J. Trump,33158
34011,CUMBERLAND,Donald J. Trump,28952
34013,ESSEX,Donald J. Trump,75475
34015,GLOUCESTER,Donald J. Trump,83340
34017,HUDSON,Donald J. Trump,65698
34019,HUNTERDON,Donald J. Trump,43153
34021,MERCER,Donald J. Trump,51641
34023,MIDDLESEX,Donald J. Trump,143467
34025,MONMOUTH,Donald J. Trump,191808
34027,MORRIS,Donald J. Trump,141134
34029,OCEAN,Donald J. Trump,217740
34031,PASSAIC,Donald J. Trump,92009
34033,SALEM,Donald J. Trump,18827
34035,SOMERSET,Donald J. Trump,71996
34037,SUSSEX,Donald J. Trump,51701
34039,UNION,Donald J. Trump,80038
34041,WARREN,Donald J. Trump,34769
34001,ATLANTIC,Jo Jorgensen,958
34003,BERGEN,Jo Jorgensen,2852
34005,BURLINGTON,Jo Jorgensen,2206
34007,CAMDEN,Jo Jorgensen,1884
34009,CAPE MAY,Jo Jorgensen,311
34011,CUMBERLAND,Jo Jorgensen,397
34013,ESSEX,Jo Jorgensen,1252
34015,GLOUCESTER,Jo Jorgensen,1616
34017,HUDSON,Jo Jorgensen,1252
