fips,county,candidate,votes
35049,SANTA FE,Howie Hawkins,403
35049,SANTA FE,Jo Jorgensen,758
35049,SANTA FE,Joseph R. Biden,62530
35049,SANTA FE,Sheila "Samm" Tittle,80
35049,SANTA FE,Donald J. Trump,18329
35049,SANTA FE,Gloria La Riva,127
35001,BERNALILLO,Howie Hawkins,1614
35001,BERNALILLO,Jo Jorgensen,4829
35001,BERNALILLO,Joseph R. Biden,193757
35001,BERNALILLO,Sheila "Samm" Tittle,629
35001,BERNALILLO,Donald J. Trump,116135
35001,BERNALILLO,Gloria La Riva,626
35015,EDDY,Howie Hawkins,44
35015,EDDY,Jo Jorgensen,239
35015,EDDY,Joseph R. Biden,5424
35015,EDDY,Sheila "Samm" Tittle,31
35015,EDDY,Donald J. Trump,17454
35015,EDDY,Gloria La Riva,30
35005,CHAVES,Howie Hawkins,70
35005,CHAVES,Jo Jorgensen,268
35005,CHAVES,Joseph R. Biden,6381
35005,CHAVES,Sheila "Samm" Tittle,40
35005,CHAVES,Donald J. Trump,15656
35005,CHAVES,Gloria La Riva,28
35009,CURRY,Howie Hawkins,53
35009,CURRY,Jo Jorgensen,245
35009,CURRY,Joseph R. Biden,4307
35009,CURRY,Sheila "Samm" Tittle,23
35009,CURRY,Donald J. Trump,10444
35009,CURRY,Gloria La Riva,29
35025,LEA,Howie Hawkins,50
35025,LEA,Jo Jorgensen,214
35025,LEA,Joseph R. Biden,4061
35025,LEA,Sheila "Samm" Tittle,38
35025,LEA,Donald J. Trump,16531
35025,LEA,Gloria La Riva,24
35013,DONA ANA,Howie Hawkins,415
35013,DONA ANA,Jo Jorgensen,1129
35013,DONA ANA,Joseph R. Biden,47957
35013,DONA ANA,Sheila "Samm" Tittle,178
35013,DONA ANA,Donald J. Trump,32802
35013,DONA ANA,Gloria La Riva,160
35017,GRANT,Howie Hawkins,98
35017,GRANT,Jo Jorgensen,159
35017,GRANT,Joseph R. Biden,7590
35017,GRANT,Sheila "Samm" Tittle,16
35017,GRANT,Donald J. Trump,6553
35017,GRANT,Gloria La Riva,19
35007,COLFAX,Howie Hawkins,25
35007,COLFAX,Jo Jorgensen,87
35007,COLFAX,Joseph R. Biden,2611
35007,COLFAX,Sheila "Samm" Tittle,9
35007,COLFAX,Donald J. Trump,3271
35007,COLFAX,Gloria La Riva,13
35037,QUAY,Howie Hawkins,17
35037,QUAY,Jo Jorgensen,41
35037,QUAY,Joseph R. Biden,1170
35037,QUAY,Sheila "Samm" Tittle,5
35037,QUAY,Donald J. Trump,2634
35037,QUAY,Gloria La Riva,6
35041,ROOSEVELT,Howie Hawkins,15
35041,ROOSEVELT,Jo Jorgensen,138
35041,ROOSEVELT,Joseph R. Biden,1802
35041,ROOSEVELT,Sheila "Samm" Tittle,12
35041,ROOSEVELT,Donald J. Trump,4634
35041,ROOSEVELT,Gloria La Riva,7
35047,SAN MIGUEL,Howie Hawkins,57
35047,SAN MIGUEL,Jo Jorgensen,115
35047,SAN MIGUEL,Joseph R. Biden,7888
35047,SAN MIGUEL,Sheila "Samm" Tittle,23
35047,SAN MIGUEL,Donald J. Trump,3421
35047,SAN MIGUEL,Gloria La Riva,27
35031,MCKINLEY,Howie Hawkins,202
35031,MCKINLEY,Jo Jorgensen,266
35031,MCKINLEY,Joseph R. Biden,18029
35031,MCKINLEY,Sheila "Samm" Tittle,103
35031,MCKINLEY,Donald J. Trump,7801
35031,MCKINLEY,Gloria La Riva,85
35061,VALENCIA,Howie Hawkins,135
35061,VALENCIA,Jo Jorgensen,406
35061,VALENCIA,Joseph R. Biden,14263
35061,VALENCIA,Sheila "Samm" Tittle,64
35061,VALENCIA,Donald J. Trump,17364
35061,VALENCIA,Gloria La Riva,45
35035,OTERO,Howie Hawkins,108
35035,OTERO,Jo Jorgensen,387
35035,OTERO,Joseph R. Biden,8485
35035,OTERO,Sheila "Samm" Tittle,40
35035,OTERO,Donald J. Trump,14521
35035,OTERO,Gloria La Riva,30
35045,SAN JUAN,Howie Hawkins,251
35045,SAN JUAN,Jo Jorgensen,827
35045,SAN JUAN,Joseph R. Biden,18083
35045,SAN JUAN,Sheila "Samm" Tittle,155
35045,SAN JUAN,Donald J. Trump,32874
35045,SAN JUAN,Gloria La Riva,104
35039,RIO ARRIBA,Howie Hawkins,59
35039,RIO ARRIBA,Jo Jorgensen,119
35039,RIO ARRIBA,Joseph R. Biden,10990
35039,RIO ARRIBA,Sheila "Samm" Tittle,20
35039,RIO ARRIBA,Donald J. Trump,5408
35039,RIO ARRIBA,Gloria La Riva,32
35059,UNION,Howie Hawkins,2
35059,UNION,Jo Jorgensen,11
35059,UNION,Joseph R. Biden,383
35059,UNION,Sheila "Samm" Tittle,3
35059,UNION,Donald J. Trump,1388
35059,UNION,Gloria La Riva,2
35029,LUNA,Howie Hawkins,38
35029,LUNA,Jo Jorgensen,73
35029,LUNA,Joseph R. Biden,3563
35029,LUNA,Sheila "Samm" Tittle,12
35029,LUNA,Donald J. Trump,4408
35029,LUNA,Gloria La Riva,9
35055,TAOS,Howie Hawkins,146
35055,TAOS,Jo Jorgensen,152
35055,TAOS,Joseph R. Biden,13121
35055,TAOS,Sheila "Samm" Tittle,20
35055,TAOS,Donald J. Trump,3715
35055,TAOS,Gloria La Riva,27
35051,SIERRA,Howie Hawkins,36
35051,SIERRA,Jo Jorgensen,66
35051,SIERRA,Joseph R. Biden,2265
35051,SIERRA,Sheila "Samm" Tittle,22
35051,SIERRA,Donald J. Trump,3542
35051,SIERRA,Gloria La Riva,14
35057,TORRANCE,Howie Hawkins,29
35057,TORRANCE,Jo Jorgensen,105
35057,TORRANCE,Joseph R. Biden,2344
35057,TORRANCE,Sheila "Samm" Tittle,20
35057,TORRANCE,Donald J. Trump,4772
35057,TORRANCE,Gloria La Riva,11
35023,HIDALGO,Howie Hawkins,6
35023,HIDALGO,Jo Jorgensen,13
35023,HIDALGO,Joseph R. Biden,823
35023,HIDALGO,Sheila "Samm" Tittle,5
35023,HIDALGO,Donald J. Trump,1120
35023,HIDALGO,Gloria La Riva,7
35019,GUADALUPE,Howie Hawkins,8
35019,GUADALUPE,Jo Jorgensen,21
35019,GUADALUPE,Joseph R. Biden,1234
35019,GUADALUPE,Sheila "Samm" Tittle,4
35019,GUADALUPE,Donald J. Trump,917
35019,GUADALUPE,Gloria La Riva,5
35053,SOCORRO,Howie Hawkins,39
35053,SOCORRO,Jo Jorgensen,113
35053,SOCORRO,Joseph R. Biden,3722
35053,SOCORRO,Sheila "Samm" Tittle,15
35053,SOCORRO,Donald J. Trump,3255
35053,SOCORRO,Gloria La Riva,16
35027,LINCOLN,Howie Hawkins,33
35027,LINCOLN,Jo Jorgensen,113
35027,LINCOLN,Joseph R. Biden,3194
35027,LINCOLN,Sheila "Samm" Tittle,15
35027,LINCOLN,Donald J. Trump,6942
35027,LINCOLN,Gloria La Riva,9
35011,DE BACA,Howie Hawkins,1
35011,DE BACA,Jo Jorgensen,11
35011,DE BACA,Joseph R. Biden,231
35011,DE BACA,Sheila "Samm" Tittle,2
35011,DE BACA,Donald J. Trump,656
35011,DE BACA,Gloria La Riva,0
35003,CATRON,Howie Hawkins,7
35003,CATRON,Jo Jorgensen,17
35003,CATRON,Joseph R. Biden,595
35003,CATRON,Sheila "Samm" Tittle,6
35003,CATRON,Donald J. Trump,1698
35003,CATRON,Gloria La Riva,3
35043,SANDOVAL,Howie Hawkins,350
35043,SANDOVAL,Jo Jorgensen,1187
35043,SANDOVAL,Joseph R. Biden,40588
35043,SANDOVAL,Sheila "Samm" Tittle,157
35043,SANDOVAL,Donald J. Trump,34174
35043,SANDOVAL,Gloria La Riva,106
35033,MORA,Howie Hawkins,13
35033,MORA,Jo Jorgensen,14
35033,MORA,Joseph R. Biden,1745
35033,MORA,Sheila "Samm" Tittle,5
35033,MORA,Donald J. Trump,903
35033,MORA,Gloria La Riva,6
35021,HARDING,Howie Hawkins,0
35021,HARDING,Jo Jorgensen,3
35021,HARDING,Joseph R. Biden,179
35021,HARDING,Sheila "Samm" Tittle,2
35021,HARDING,Donald J. Trump,319
35021,HARDING,Gloria La Riva,2
35028,LOS ALAMOS,Howie Hawkins,53
35028,LOS ALAMOS,Jo Jorgensen,360
35028,LOS ALAMOS,Joseph R. Biden,7554
35028,LOS ALAMOS,Sheila "Samm" Tittle,36
35028,LOS ALAMOS,Donald J. Trump,4278
35028,LOS ALAMOS,Gloria La Riva,12
35006,CIBOLA,Howie Hawkins,49
35006,CIBOLA,Jo Jorgensen,99
35006,CIBOLA,Joseph R. Biden,4745
35006,CIBOLA,Sheila "Samm" Tittle,16
35006,CIBOLA,Donald J. Trump,3975
35006,CIBOLA,Gloria La Riva,19
