fips,county,candidate,votes
32510,Carson City,Donald J. Trump,16113
32510,Carson City,Joseph R. Biden,12735
32510,Carson City,Jo Jorgensen,432
32510,Carson City,None of these candidates,355
32510,Carson City,Don Blankenship,104
32001,Churchill,Donald J. Trump,9372
32001,Churchill,Joseph R. Biden,3051
32001,Churchill,Jo Jorgensen,282
32001,Churchill,None of these candidates,150
32001,Churchill,Don Blankenship,35
32003,Clark,Donald J. Trump,430930
32003,Clark,Joseph R. Biden,521852
32003,Clark,Jo Jorgensen,8761
32003,Clark,None of these candidates,9023
32003,Clark,Don Blankenship,1944
32005,Douglas,Donald J. Trump,21630
32005,Douglas,Joseph R. Biden,11571
32005,Douglas,Jo Jorgensen,407
32005,Douglas,None of these candidates,449
32005,Douglas,Don Blankenship,68
32007,Elko,Donald J. Trump,16741
32007,Elko,Joseph R. Biden,4557
32007,Elko,Jo Jorgensen,375
32007,Elko,None of these candidates,227
32007,Elko,Don Blankenship,67
32009,Esmeralda,Donald J. Trump,400
32009,Esmeralda,Joseph R. Biden,74
32009,Esmeralda,Jo Jorgensen,6
32009,Esmeralda,None of these candidates,6
32009,Esmeralda,Don Blankenship,1
32011,Eureka,Donald J. Trump,895
32011,Eureka,Joseph R. Biden,105
32011,Eureka,Jo Jorgensen,6
32011,Eureka,None of these candidates,8
32011,Eureka,Don Blankenship,3
32013,Humboldt,Donald J. Trump,5877
32013,Humboldt,Joseph R. Biden,1689
32013,Humboldt,Jo Jorgensen,104
32013,Humboldt,None of these candidates,78
32013,Humboldt,Don Blankenship,23
32015,Lander,Donald J. Trump,2198
32015,Lander,Joseph R. Biden,496
32015,Lander,Jo Jorgensen,36
32015,Lander,None of these candidates,30
32015,Lander,Don Blankenship,5
32017,Lincoln,Donald J. Trump,2067
32017,Lincoln,Joseph R. Biden,330
32017,Lincoln,Jo Jorgensen,17
32017,Lincoln,None of these candidates,24
32017,Lincoln,Don Blankenship,8
32019,Lyon,Donald J. Trump,20914
32019,Lyon,Joseph R. Biden,8473
32019,Lyon,Jo Jorgensen,461
32019,Lyon,None of these candidates,287
32019,Lyon,Don Blankenship,103
32021,Mineral,Donald J. Trump,1423
32021,Mineral,Joseph R. Biden,829
32021,Mineral,Jo Jorgensen,35
32021,Mineral,None of these candidates,38
32021,Mineral,Don Blankenship,10
32023,Nye,Donald J. Trump,17528
32023,Nye,Joseph R. Biden,7288
32023,Nye,Jo Jorgensen,243
32023,Nye,None of these candidates,226
32023,Nye,Don Blankenship,93
32027,Pershing,Donald J. Trump,1731
32027,Pershing,Joseph R. Biden,547
32027,Pershing,Jo Jorgensen,15
32027,Pershing,None of these candidates,20
32027,Pershing,Don Blankenship,7
32029,Storey,Donald J. Trump,1908
32029,Storey,Joseph R. Biden,902
32029,Storey,Jo Jorgensen,34
32029,Storey,None of these candidates,30
32029,Storey,Don Blankenship,3
32031,Washoe,Donald J. Trump,116760
32031,Washoe,Joseph R. Biden,128128
32031,Washoe,Jo Jorgensen,3526
32031,Washoe,None of these candidates,3085
32031,Washoe,Don Blankenship,643
32033,White Pine,Donald J. Trump,3403
32033,White Pine,Joseph R. Biden,859
32033,White Pine,Jo Jorgensen,43
32033,White Pine,None of these candidates,43
32033,White Pine,Don Blankenship,21
