fips,county,candidate,votes
36001,Albany,Jo Jorgensen,1523
36001,Albany,Joe McHugh,0
36001,Albany,Jade Simmons,25
36001,Albany,Dario Hunter,0
36001,Albany,Howie Hawkins,779
36001,Albany,David A. Martin,0
36001,Albany,Phil Collins,0
36001,Albany,Donald J. Trump,51081
36001,Albany,Gloria La Riva,9
36001,Albany,Mark Charles,0
36001,Albany,Kasey Wells,0
36001,Albany,Blank,487
36001,Albany,Paul Hodges,1
36001,Albany,Barbara Bellar,0
36001,Albany,Joseph R. Biden,99474
36001,Albany,Kanye West,61
36001,Albany,Rocky De La Fuente,2
36001,Albany,John Manimas,0
36001,Albany,Richard Charles Montanye,0
36001,Albany,Don Blankenship,4
36001,Albany,Joseph Kishore,0
36001,Albany,Brock Pierce,595
36001,Albany,Shawn Howard,0
36001,Albany,Brian Carroll,32
36003,Allegany,Mark Charles,2
36003,Allegany,Phil Collins,0
36003,Allegany,Rocky De La Fuente,0
36003,Allegany,Richard Charles Montanye,0
36003,Allegany,Don Blankenship,1
36003,Allegany,Howie Hawkins,88
36003,Allegany,Donald J. Trump,14135
36003,Allegany,Joseph Kishore,0
36003,Allegany,Gloria La Riva,0
36003,Allegany,Paul Hodges,0
36003,Allegany,Jade Simmons,1
36003,Allegany,Jo Jorgensen,338
36003,Allegany,Joe McHugh,0
36003,Allegany,John Manimas,0
36003,Allegany,Kasey Wells,0
36003,Allegany,David A. Martin,0
36003,Allegany,Shawn Howard,0
36003,Allegany,Brian Carroll,10
36003,Allegany,Brock Pierce,92
36003,Allegany,Dario Hunter,0
36003,Allegany,Barbara Bellar,0
36003,Allegany,Blank,109
36003,Allegany,Kanye West,1
36003,Allegany,Joseph R. Biden,6048
36005,Bronx,Joseph R. Biden,355374
36005,Bronx,Barbara Bellar,0
36005,Bronx,Paul Hodges,0
36005,Bronx,Howie Hawkins,1420
36005,Bronx,Gloria La Riva,18
36005,Bronx,Phil Collins,0
36005,Bronx,Rocky De La Fuente,0
36005,Bronx,Richard Charles Montanye,0
36005,Bronx,David A. Martin,0
36005,Bronx,Kanye West,99
36005,Bronx,Blank,5706
36005,Bronx,Dario Hunter,0
36005,Bronx,Donald J. Trump,67740
36005,Bronx,Shawn Howard,0
36005,Bronx,Kasey Wells,0
36005,Bronx,Mark Charles,7
36005,Bronx,Brian Carroll,28
36005,Bronx,John Manimas,0
36005,Bronx,Joe McHugh,0
36005,Bronx,Joseph Kishore,0
36005,Bronx,Jade Simmons,14
36005,Bronx,Brock Pierce,406
36005,Bronx,Don Blankenship,2
36005,Bronx,Jo Jorgensen,775
36007,Broome,Phil Collins,0
36007,Broome,Don Blankenship,4
36007,Broome,Mark Charles,3
36007,Broome,Brock Pierce,371
36007,Broome,Donald J. Trump,43791
36007,Broome,Gloria La Riva,3
36007,Broome,David A. Martin,0
36007,Broome,Paul Hodges,0
36007,Broome,Barbara Bellar,0
36007,Broome,Blank,367
36007,Broome,Jo Jorgensen,1103
36007,Broome,Shawn Howard,0
36007,Broome,Kasey Wells,0
36007,Broome,Brian Carroll,35
36007,Broome,John Manimas,0
36007,Broome,Jade Simmons,2
36007,Broome,Joseph Kishore,1
36007,Broome,Dario Hunter,0
36007,Broome,Joe McHugh,0
36007,Broome,Richard Charles Montanye,0
36007,Broome,Kanye West,27
36007,Broome,Joseph R. Biden,47002
36007,Broome,Rocky De La Fuente,1
36007,Broome,Howie Hawkins,432
36009,Cattaraugus,Joseph R. Biden,11879
36009,Cattaraugus,Don Blankenship,1
36009,Cattaraugus,Mark Charles,0
36009,Cattaraugus,Brian Carroll,4
36009,Cattaraugus,John Manimas,0
36009,Cattaraugus,Paul Hodges,0
36009,Cattaraugus,Richard Charles Montanye,0
36009,Cattaraugus,Joseph Kishore,0
36009,Cattaraugus,Brock Pierce,154
