fips,county,candidate,votes
39001,Adams,Joseph R. Biden,2.156
39001,Adams,President R19 Boddie Stoneham,0.0
39001,Adams,Brian Carroll,0.0
39001,Adams,Donald J. Trump,9.87
39001,Adams,Jo Jorgensen,92.0
39001,Adams,Kasey Wells,0.0
39001,Adams,Dario Hunter,0.0
39001,Adams,Howie Hawkins,27.0
39001,Adams,Tom Hoefling,0.0
39001,Adams,Jade Simmons,0.0
39003,Allen,Dario Hunter,0.0
39003,Allen,President R19 Boddie Stoneham,0.0
39003,Allen,Tom Hoefling,0.0
39003,Allen,Howie Hawkins,138.0
39003,Allen,Joseph R. Biden,14.149
39003,Allen,Jade Simmons,0.0
39003,Allen,Brian Carroll,13.0
39003,Allen,Kasey Wells,0.0
39003,Allen,Jo Jorgensen,590.0
39003,Allen,Donald J. Trump,33.116
39005,Ashland,Howie Hawkins,105.0
39005,Ashland,President R19 Boddie Stoneham,0.0
39005,Ashland,Kasey Wells,0.0
39005,Ashland,Jade Simmons,0.0
39005,Ashland,Jo Jorgensen,345.0
39005,Ashland,Dario Hunter,0.0
39005,Ashland,Brian Carroll,7.0
39005,Ashland,Joseph R. Biden,6.541
39005,Ashland,Tom Hoefling,0.0
39005,Ashland,Donald J. Trump,19.407
39007,Ashtabula,Donald J. Trump,26.89
39007,Ashtabula,Joseph R. Biden,16.497
39007,Ashtabula,Brian Carroll,5.0
39007,Ashtabula,Dario Hunter,0.0
39007,Ashtabula,Jo Jorgensen,559.0
39007,Ashtabula,Kasey Wells,0.0
39007,Ashtabula,President R19 Boddie Stoneham,0.0
39007,Ashtabula,Howie Hawkins,196.0
39007,Ashtabula,Tom Hoefling,0.0
39007,Ashtabula,Jade Simmons,0.0
39009,Athens,Jo Jorgensen,299.0
39009,Athens,President R19 Boddie Stoneham,0.0
39009,Athens,Joseph R. Biden,14.772
39009,Athens,Donald J. Trump,10.862
39009,Athens,Jade Simmons,2.0
39009,Athens,Kasey Wells,0.0
39009,Athens,Brian Carroll,9.0
39009,Athens,Tom Hoefling,0.0
39009,Athens,Dario Hunter,0.0
39009,Athens,Howie Hawkins,115.0
39011,Auglaize,Brian Carroll,3.0
39011,Auglaize,Donald J. Trump,20.798
39011,Auglaize,Jo Jorgensen,260.0
39011,Auglaize,Jade Simmons,1.0
39011,Auglaize,President R19 Boddie Stoneham,0.0
39011,Auglaize,Joseph R. Biden,4.651
39011,Auglaize,Dario Hunter,0.0
39011,Auglaize,Kasey Wells,0.0
39011,Auglaize,Howie Hawkins,64.0
39011,Auglaize,Tom Hoefling,0.0
39013,Belmont,Dario Hunter,0.0
39013,Belmont,Brian Carroll,6.0
39013,Belmont,Jade Simmons,0.0
39013,Belmont,Joseph R. Biden,9.138
39013,Belmont,President R19 Boddie Stoneham,0.0
39013,Belmont,Kasey Wells,0.0
39013,Belmont,Donald J. Trump,23.56
39013,Belmont,Jo Jorgensen,285.0
39013,Belmont,Howie Hawkins,98.0
39013,Belmont,Tom Hoefling,1.0
39015,Brown,Kasey Wells,0.0
39015,Brown,Jo Jorgensen,182.0
39015,Brown,President R19 Boddie Stoneham,0.0
39015,Brown,Joseph R. Biden,4.38
39015,Brown,Jade Simmons,0.0
39015,Brown,Donald J. Trump,16.48
39015,Brown,Dario Hunter,0.0
39015,Brown,Howie Hawkins,54.0
39015,Brown,Brian Carroll,0.0
39015,Brown,Tom Hoefling,0.0
39017,Butler,Tom Hoefling,6.0
39017,Butler,Joseph R. Biden,69.613
39017,Butler,Dario Hunter,0.0
39017,Butler,Kasey Wells,0.0
39017,Butler,Brian Carroll,51.0
39017,Butler,Jo Jorgensen,2.177
39017,Butler,President R19 Boddie Stoneham,0.0
39017,Butler,Donald J. Trump,114.392
39017,Butler,Howie Hawkins,493.0
39017,Butler,Jade Simmons,5.0
39019,Carroll,Jade Simmons,0.0
39019,Carroll,President R19 Boddie Stoneham,0.0
39019,Carroll,Donald J. Trump,10.745
39019,Carroll,Joseph R. Biden,3.251
39019,Carroll,Jo Jorgensen,156.0
39019,Carroll,Tom Hoefling,3.0
39019,Carroll,Brian Carroll,1.0
39019,Carroll,Howie Hawkins,56.0
39019,Carroll,Dario Hunter,0.0
39019,Carroll,Kasey Wells,0.0
39021,Champaign,Kasey Wells,0.0
39021,Champaign,Joseph R. Biden,5.062
39021,Champaign,Tom Hoefling,0.0
39021,Champaign,Howie Hawkins,55.0
39021,Champaign,Dario Hunter,1.0
39021,Champaign,Brian Carroll,5.0
39021,Champaign,President R19 Boddie Stoneham,0.0
39021,Champaign,Donald J. Trump,14.589
39021,Champaign,Jade Simmons,0.0
39021,Champaign,Jo Jorgensen,260.0
39023,Clark,Kasey Wells,3.0
39023,Clark,Brian Carroll,13.0
39023,Clark,Howie Hawkins,245.0
39023,Clark,Tom Hoefling,1.0
39023,Clark,Dario Hunter,7.0
39023,Clark,Jade Simmons,5.0
39023,Clark,Jo Jorgensen,829.0
39023,Clark,President R19 Boddie Stoneham,1.0
39023,Clark,Joseph R. Biden,24.076
39023,Clark,Donald J. Trump,39.032
39025,Clermont,Kasey Wells,0.0
39025,Clermont,President R19 Boddie Stoneham,0.0
39025,Clermont,Howie Hawkins,271.0
39025,Clermont,Tom Hoefling,6.0
39025,Clermont,Donald J. Trump,74.57
39025,Clermont,Jade Simmons,5.0
39025,Clermont,Joseph R. Biden,34.092
39025,Clermont,Dario Hunter,0.0
39025,Clermont,Brian Carroll,23.0
39025,Clermont,Jo Jorgensen,1.513
39027,Clinton,Dario Hunter,0.0
39027,Clinton,Donald J. Trump,15.488
39027,Clinton,Howie Hawkins,67.0
39027,Clinton,President R19 Boddie Stoneham,0.0
39027,Clinton,Kasey Wells,0.0
39027,Clinton,Brian Carroll,4.0
39027,Clinton,Jade Simmons,0.0
39027,Clinton,Joseph R. Biden,4.697
39027,Clinton,Jo Jorgensen,270.0
39027,Clinton,Tom Hoefling,1.0
39029,Columbiana,Dario Hunter,0.0
39029,Columbiana,Jo Jorgensen,607.0
39029,Columbiana,Joseph R. Biden,13.359
39029,Columbiana,President R19 Boddie Stoneham,0.0
39029,Columbiana,Howie Hawkins,162.0
39029,Columbiana,Jade Simmons,0.0
39029,Columbiana,Tom Hoefling,0.0
39029,Columbiana,Donald J. Trump,35.726
39029,Columbiana,Kasey Wells,0.0
39029,Columbiana,Brian Carroll,6.0
39031,Coshocton,Howie Hawkins,62.0
39031,Coshocton,Tom Hoefling,0.0
39031,Coshocton,Jo Jorgensen,227.0
39031,Coshocton,Donald J. Trump,12.325
39031,Coshocton,Dario Hunter,0.0
39031,Coshocton,Brian Carroll,0.0
39031,Coshocton,President R19 Boddie Stoneham,0.0
39031,Coshocton,Kasey Wells,0.0
39031,Coshocton,Jade Simmons,0.0
39031,Coshocton,Joseph R. Biden,4.125
39033,Crawford,Kasey Wells,0.0
39033,Crawford,Brian Carroll,3.0
39033,Crawford,Tom Hoefling,0.0
39033,Crawford,President R19 Boddie Stoneham,0.0
39033,Crawford,Jade Simmons,0.0
39033,Crawford,Joseph R. Biden,4.916
39033,Crawford,Dario Hunter,0.0
39033,Crawford,Howie Hawkins,53.0
39033,Crawford,Donald J. Trump,15.436
39033,Crawford,Jo Jorgensen,278.0
39035,Cuyahoga,Kasey Wells,1.0
39035,Cuyahoga,Dario Hunter,3.0
39035,Cuyahoga,Howie Hawkins,2.031
39035,Cuyahoga,Jo Jorgensen,4.593
39035,Cuyahoga,Brian Carroll,145.0
39035,Cuyahoga,Tom Hoefling,4.0
39035,Cuyahoga,President R19 Boddie Stoneham,0.0
39035,Cuyahoga,Jade Simmons,18.0
39035,Cuyahoga,Joseph R. Biden,416.176
39035,Cuyahoga,Donald J. Trump,202.699
39037,Darke,Howie Hawkins,62.0
39037,Darke,Tom Hoefling,0.0
39037,Darke,Dario Hunter,0.0
39037,Darke,Jade Simmons,1.0
39037,Darke,Joseph R. Biden,4.731
39037,Darke,Jo Jorgensen,331.0
39037,Darke,Brian Carroll,5.0
39037,Darke,Kasey Wells,0.0
39037,Darke,Donald J. Trump,22.004
39037,Darke,President R19 Boddie Stoneham,0.0
39039,Defiance,Donald J. Trump,13.038
39039,Defiance,Brian Carroll,10.0
39039,Defiance,Jade Simmons,0.0
39039,Defiance,Howie Hawkins,78.0
39039,Defiance,Tom Hoefling,2.0
39039,Defiance,Dario Hunter,0.0
39039,Defiance,President R19 Boddie Stoneham,0.0
39039,Defiance,Joseph R. Biden,5.981
39039,Defiance,Kasey Wells,0.0
39039,Defiance,Jo Jorgensen,272.0
39041,Delaware,Jo Jorgensen,1.63
39041,Delaware,Dario Hunter,0.0
39041,Delaware,Tom Hoefling,5.0
39041,Delaware,Jade Simmons,9.0
39041,Delaware,President R19 Boddie Stoneham,0.0
39041,Delaware,Brian Carroll,42.0
39041,Delaware,Joseph R. Biden,57.735
