fips,county,candidate,votes
41001,Baker,Donald J. Trump,7352
41001,Baker,Joseph R. Biden,2346
41001,Baker,Jo Jorgensen,144
41001,Baker,Howie Hawkins,33
41001,Baker,Hunter Dario,16
41001,Baker,Misc,41
41003,Benton,Donald J. Trump,14878
41003,Benton,Joseph R. Biden,35827
41003,Benton,Jo Jorgensen,1142
41003,Benton,Howie Hawkins,335
41003,Benton,Hunter Dario,143
41003,Benton,Misc,474
41005,Clackamas,Donald J. Trump,110509
41005,Clackamas,Joseph R. Biden,139043
41005,Clackamas,Jo Jorgensen,4736
41005,Clackamas,Howie Hawkins,1011
41005,Clackamas,Hunter Dario,429
41005,Clackamas,Misc,1951
41007,Clatsop,Donald J. Trump,10218
41007,Clatsop,Joseph R. Biden,12916
41007,Clatsop,Jo Jorgensen,437
41007,Clatsop,Howie Hawkins,130
41007,Clatsop,Hunter Dario,63
41007,Clatsop,Misc,146
41009,Columbia,Donald J. Trump,17150
41009,Columbia,Joseph R. Biden,13835
41009,Columbia,Jo Jorgensen,787
41009,Columbia,Howie Hawkins,158
41009,Columbia,Hunter Dario,87
41009,Columbia,Misc,204
41011,Coos,Donald J. Trump,21829
41011,Coos,Joseph R. Biden,14243
41011,Coos,Jo Jorgensen,572
41011,Coos,Howie Hawkins,171
41011,Coos,Hunter Dario,81
41011,Coos,Misc,179
41013,Crook,Donald J. Trump,11287
41013,Crook,Joseph R. Biden,3801
41013,Crook,Jo Jorgensen,231
41013,Crook,Howie Hawkins,42
41013,Crook,Hunter Dario,16
41013,Crook,Misc,71
41015,Curry,Donald J. Trump,8484
41015,Curry,Joseph R. Biden,6058
41015,Curry,Jo Jorgensen,228
41015,Curry,Howie Hawkins,63
41015,Curry,Hunter Dario,21
41015,Curry,Misc,71
41017,Deschutes,Donald J. Trump,55646
41017,Deschutes,Joseph R. Biden,65962
41017,Deschutes,Jo Jorgensen,2097
41017,Deschutes,Howie Hawkins,422
41017,Deschutes,Hunter Dario,157
41017,Deschutes,Misc,950
41019,Douglas,Donald J. Trump,43298
41019,Douglas,Joseph R. Biden,19160
41019,Douglas,Jo Jorgensen,1182
41019,Douglas,Howie Hawkins,258
41019,Douglas,Hunter Dario,145
41019,Douglas,Misc,306
41021,Gilliam,Donald J. Trump,834
41021,Gilliam,Joseph R. Biden,324
41021,Gilliam,Jo Jorgensen,17
41021,Gilliam,Howie Hawkins,1
41021,Gilliam,Hunter Dario,0
41021,Gilliam,Misc,2
41023,Grant,Donald J. Trump,3545
41023,Grant,Joseph R. Biden,929
