fips,county,candidate,votes
44001,Bristol,Joseph R. Biden,18050
44001,Bristol,Donald J. Trump,9745
44001,Bristol,Jo Jorgensen,326
44001,Bristol,Write-in,176
44001,Bristol,Brian Carroll,39
44001,Bristol,Rocky De La Fuente,41
44001,Bristol,Gloria La Riva,38
44003,Kent,Joseph R. Biden,23268
44003,Kent,Donald J. Trump,22423
44003,Kent,Jo Jorgensen,520
44003,Kent,Write-in,248
44003,Kent,Brian Carroll,63
44003,Kent,Rocky De La Fuente,83
44003,Kent,Gloria La Riva,47
44005,Newport,Joseph R. Biden,21620
44005,Newport,Donald J. Trump,13060
44005,Newport,Jo Jorgensen,449
44005,Newport,Write-in,186
44005,Newport,Brian Carroll,49
44005,Newport,Gloria La Riva,47
44005,Newport,Rocky De La Fuente,55
44007,Providence,Joseph R. Biden,72838
44007,Providence,Donald J. Trump,50064
44007,Providence,Jo Jorgensen,1228
44007,Providence,Write-in,832
44007,Providence,Brian Carroll,282
44007,Providence,Rocky De La Fuente,310
44007,Providence,Gloria La Riva,425
44009,Washington,Joseph R. Biden,44549
44009,Washington,Donald J. Trump,29818
44009,Washington,Jo Jorgensen,861
44009,Washington,Write-in,473
44009,Washington,Brian Carroll,114
44009,Washington,Gloria La Riva,95
44009,Washington,Rocky De La Fuente,150
