town,candidate,votes
BARRINGTON,Joseph R. Biden,7713
BARRINGTON,Donald J. Trump,2889
BARRINGTON,Jo Jorgensen,113
BARRINGTON,Write-in,78
BARRINGTON,Brian Carroll,14
BARRINGTON,Rocky De La Fuente,13
BARRINGTON,Gloria La Riva,12
BRISTOL,Joseph R. Biden,6813
BRISTOL,Donald J. Trump,4595
BRISTOL,Jo Jorgensen,139
BRISTOL,Write-in,60
BRISTOL,Rocky De La Fuente,17
BRISTOL,Brian Carroll,14
BRISTOL,Gloria La Riva,19
BURRILLVILLE,Joseph R. Biden,3434
BURRILLVILLE,Donald J. Trump,4906
BURRILLVILLE,Jo Jorgensen,126
BURRILLVILLE,Write-in,37
BURRILLVILLE,Brian Carroll,7
BURRILLVILLE,Rocky De La Fuente,13
BURRILLVILLE,Gloria La Riva,15
CENTRAL FALLS,Joseph R. Biden,3073
CENTRAL FALLS,Donald J. Trump,1113
CENTRAL FALLS,Jo Jorgensen,25
CENTRAL FALLS,Write-in,16
CENTRAL FALLS,Rocky De La Fuente,10
CENTRAL FALLS,Brian Carroll,8
CENTRAL FALLS,Gloria La Riva,27
CHARLESTOWN,Joseph R. Biden,2909
CHARLESTOWN,Donald J. Trump,2198
CHARLESTOWN,Jo Jorgensen,64
CHARLESTOWN,Write-in,27
CHARLESTOWN,Rocky De La Fuente,9
CHARLESTOWN,Brian Carroll,4
CHARLESTOWN,Gloria La Riva,9
COVENTRY,Joseph R. Biden,9123
COVENTRY,Donald J. Trump,10461
COVENTRY,Jo Jorgensen,232
COVENTRY,Write-in,89
COVENTRY,Brian Carroll,37
COVENTRY,Rocky De La Fuente,40
COVENTRY,Gloria La Riva,22
CRANSTON,Joseph R. Biden,23039
CRANSTON,Donald J. Trump,17313
CRANSTON,Jo Jorgensen,311
CRANSTON,Write-in,202
CRANSTON,Rocky De La Fuente,73
CRANSTON,Brian Carroll,47
CRANSTON,Gloria La Riva,68
CUMBERLAND,Joseph R. Biden,10869
CUMBERLAND,Donald J. Trump,8418
CUMBERLAND,Jo Jorgensen,206
CUMBERLAND,Write-in,102
CUMBERLAND,Rocky De La Fuente,38
CUMBERLAND,Brian Carroll,27
CUMBERLAND,Gloria La Riva,18
EAST GREENWICH,Donald J. Trump,3227
EAST GREENWICH,Joseph R. Biden,5218
EAST GREENWICH,Jo Jorgensen,104
EAST GREENWICH,Write-in,73
EAST GREENWICH,Rocky De La Fuente,9
EAST GREENWICH,Brian Carroll,8
EAST GREENWICH,Gloria La Riva,8
EAST PROVIDENCE,Joseph R. Biden,14735
EAST PROVIDENCE,Donald J. Trump,7930
EAST PROVIDENCE,Jo Jorgensen,204
EAST PROVIDENCE,Write-in,132
EAST PROVIDENCE,Brian Carroll,45
EAST PROVIDENCE,Rocky De La Fuente,58
EAST PROVIDENCE,Gloria La Riva,49
EXETER,Joseph R. Biden,1974
EXETER,Donald J. Trump,2009
EXETER,Jo Jorgensen,55
EXETER,Write-in,23
EXETER,Brian Carroll,8
EXETER,Rocky De La Fuente,9
EXETER,Gloria La Riva,4
FOSTER,Joseph R. Biden,1224
FOSTER,Donald J. Trump,1582
FOSTER,Jo Jorgensen,34
FOSTER,Write-in,9
FOSTER,Brian Carroll,4
