fips,county,candidate,votes
45001,Abbeville,Howie Hawkins,23
45003,Aiken,Howie Hawkins,274
45005,Allendale,Howie Hawkins,19
45007,Anderson,Howie Hawkins,178
45009,Bamberg,Howie Hawkins,17
45011,Barnwell,Howie Hawkins,19
45013,Beaufort,Howie Hawkins,214
45015,Berkeley,Howie Hawkins,276
45017,Calhoun,Howie Hawkins,18
45019,Charleston,Howie Hawkins,743
45021,Cherokee,Howie Hawkins,48
45023,Chester,Howie Hawkins,37
45025,Chesterfield,Howie Hawkins,28
45027,Clarendon,Howie Hawkins,42
45029,Colleton,Howie Hawkins,56
45031,Darlington,Howie Hawkins,77
45033,Dillon,Howie Hawkins,36
45035,Dorchester,Howie Hawkins,239
45037,Edgefield,Howie Hawkins,39
45039,Fairfield,Howie Hawkins,41
45041,Florence,Howie Hawkins,194
45043,Georgetown,Howie Hawkins,93
45045,Greenville,Howie Hawkins,698
45047,Greenwood,Howie Hawkins,95
45049,Hampton,Howie Hawkins,22
45051,Horry,Howie Hawkins,397
45053,Jasper,Howie Hawkins,32
45055,Kershaw,Howie Hawkins,90
45057,Lancaster,Howie Hawkins,93
45059,Laurens,Howie Hawkins,67
45061,Lee,Howie Hawkins,18
45063,Lexington,Howie Hawkins,397
45067,Marion,Howie Hawkins,40
45069,Marlboro,Howie Hawkins,33
45065,McCormick,Howie Hawkins,20
45071,Newberry,Howie Hawkins,60
45073,Oconee,Howie Hawkins,88
45075,Orangeburg,Howie Hawkins,106
45077,Pickens,Howie Hawkins,162
45079,Richland,Howie Hawkins,732
45081,Saluda,Howie Hawkins,21
45083,Spartanburg,Howie Hawkins,377
45085,Sumter,Howie Hawkins,152
45087,Union,Howie Hawkins,36
45089,Williamsburg,Howie Hawkins,62
45091,York,Howie Hawkins,398
45001,Abbeville,Donald J. Trump,8215
45003,Aiken,Donald J. Trump,51589
45005,Allendale,Donald J. Trump,835
45007,Anderson,Donald J. Trump,67565
45009,Bamberg,Donald J. Trump,2417
45011,Barnwell,Donald J. Trump,5492
45013,Beaufort,Donald J. Trump,53194
45015,Berkeley,Donald J. Trump,57397
45017,Calhoun,Donald J. Trump,4305
45019,Charleston,Donald J. Trump,93297
45021,Cherokee,Donald J. Trump,18043
45023,Chester,Donald J. Trump,8660
45025,Chesterfield,Donald J. Trump,11297
45027,Clarendon,Donald J. Trump,8361
45029,Colleton,Donald J. Trump,10440
45031,Darlington,Donald J. Trump,16832
45033,Dillon,Donald J. Trump,6582
45035,Dorchester,Donald J. Trump,41913
45037,Edgefield,Donald J. Trump,8184
45039,Fairfield,Donald J. Trump,4625
45041,Florence,Donald J. Trump,32615
45043,Georgetown,Donald J. Trump,20487
45045,Greenville,Donald J. Trump,150021
45047,Greenwood,Donald J. Trump,19431
45049,Hampton,Donald J. Trump,3906
45051,Horry,Donald J. Trump,118821
45053,Jasper,Donald J. Trump,7078
45055,Kershaw,Donald J. Trump,20471
45057,Lancaster,Donald J. Trump,30312
45059,Laurens,Donald J. Trump,20004
45061,Lee,Donald J. Trump,3008
45063,Lexington,Donald J. Trump,92817
45067,Marion,Donald J. Trump,5711
45069,Marlboro,Donald J. Trump,5044
45065,McCormick,Donald J. Trump,2958
45071,Newberry,Donald J. Trump,11443
45073,Oconee,Donald J. Trump,29698
45075,Orangeburg,Donald J. Trump,13603
45077,Pickens,Donald J. Trump,42907
45079,Richland,Donald J. Trump,58313
45081,Saluda,Donald J. Trump,6210
45083,Spartanburg,Donald J. Trump,93560
45085,Sumter,Donald J. Trump,21000
45087,Union,Donald J. Trump,8183
45089,Williamsburg,Donald J. Trump,5532
45091,York,Donald J. Trump,82727
45001,Abbeville,Rocky De La Fuente,6
45003,Aiken,Rocky De La Fuente,65
45005,Allendale,Rocky De La Fuente,2
45007,Anderson,Rocky De La Fuente,58
45009,Bamberg,Rocky De La Fuente,7
45011,Barnwell,Rocky De La Fuente,12
45013,Beaufort,Rocky De La Fuente,67
45015,Berkeley,Rocky De La Fuente,77
45017,Calhoun,Rocky De La Fuente,5
45019,Charleston,Rocky De La Fuente,155
45021,Cherokee,Rocky De La Fuente,10
45023,Chester,Rocky De La Fuente,11
45025,Chesterfield,Rocky De La Fuente,11
45027,Clarendon,Rocky De La Fuente,13
45029,Colleton,Rocky De La Fuente,7
45031,Darlington,Rocky De La Fuente,28
45033,Dillon,Rocky De La Fuente,9
45035,Dorchester,Rocky De La Fuente,83
45037,Edgefield,Rocky De La Fuente,8
45039,Fairfield,Rocky De La Fuente,10
45041,Florence,Rocky De La Fuente,45
45043,Georgetown,Rocky De La Fuente,29
45045,Greenville,Rocky De La Fuente,227
45047,Greenwood,Rocky De La Fuente,17
45049,Hampton,Rocky De La Fuente,10
45051,Horry,Rocky De La Fuente,91
45053,Jasper,Rocky De La Fuente,7
45055,Kershaw,Rocky De La Fuente,25
45057,Lancaster,Rocky De La Fuente,34
45059,Laurens,Rocky De La Fuente,20
45061,Lee,Rocky De La Fuente,5
45063,Lexington,Rocky De La Fuente,118
45067,Marion,Rocky De La Fuente,18
45069,Marlboro,Rocky De La Fuente,10
45065,McCormick,Rocky De La Fuente,4
45071,Newberry,Rocky De La Fuente,18
45073,Oconee,Rocky De La Fuente,25
45075,Orangeburg,Rocky De La Fuente,29
45077,Pickens,Rocky De La Fuente,39
45079,Richland,Rocky De La Fuente,180
45081,Saluda,Rocky De La Fuente,5
45083,Spartanburg,Rocky De La Fuente,90
45085,Sumter,Rocky De La Fuente,34
45087,Union,Rocky De La Fuente,7
45089,Williamsburg,Rocky De La Fuente,21
45091,York,Rocky De La Fuente,110
45001,Abbeville,Jo Jorgensen,88
45003,Aiken,Jo Jorgensen,982
45005,Allendale,Jo Jorgensen,19
45007,Anderson,Jo Jorgensen,1123
45009,Bamberg,Jo Jorgensen,31
45011,Barnwell,Jo Jorgensen,78
45013,Beaufort,Jo Jorgensen,941
45015,Berkeley,Jo Jorgensen,1485
45017,Calhoun,Jo Jorgensen,58
45019,Charleston,Jo Jorgensen,3177
45021,Cherokee,Jo Jorgensen,186
45023,Chester,Jo Jorgensen,108
45025,Chesterfield,Jo Jorgensen,109
45027,Clarendon,Jo Jorgensen,67
45029,Colleton,Jo Jorgensen,178
45031,Darlington,Jo Jorgensen,260
45033,Dillon,Jo Jorgensen,38
45035,Dorchester,Jo Jorgensen,1219
45037,Edgefield,Jo Jorgensen,120
45039,Fairfield,Jo Jorgensen,78
45041,Florence,Jo Jorgensen,503
45043,Georgetown,Jo Jorgensen,237
45045,Greenville,Jo Jorgensen,4179
45047,Greenwood,Jo Jorgensen,318
45049,Hampton,Jo Jorgensen,44
45051,Horry,Jo Jorgensen,1255
45053,Jasper,Jo Jorgensen,92
45055,Kershaw,Jo Jorgensen,344
45057,Lancaster,Jo Jorgensen,492
45059,Laurens,Jo Jorgensen,238
