fips,county,candidate,votes
46003,Aurora,Marianne Williamson,16
46003,Aurora,Joseph R. Biden,21
46003,Aurora,Dean Phillips,16
46003,Aurora,Amando Perez-Serrato,3
46005,Beadle,Marianne Williamson,33
46005,Beadle,Joseph R. Biden,154
46005,Beadle,Dean Phillips,36
46005,Beadle,Amando Perez-Serrato,11
46007,Bennett,Marianne Williamson,11
46007,Bennett,Joseph R. Biden,35
46007,Bennett,Dean Phillips,35
46007,Bennett,Amando Perez-Serrato,4
46009,Bon Homme,Marianne Williamson,28
46009,Bon Homme,Joseph R. Biden,98
46009,Bon Homme,Dean Phillips,26
46009,Bon Homme,Amando Perez-Serrato,2
46011,Brookings,Marianne Williamson,54
46011,Brookings,Joseph R. Biden,446
46011,Brookings,Dean Phillips,38
46011,Brookings,Amando Perez-Serrato,13
46013,Brown,Marianne Williamson,105
46013,Brown,Joseph R. Biden,524
46013,Brown,Dean Phillips,111
46013,Brown,Amando Perez-Serrato,38
46015,Brule,Marianne Williamson,28
46015,Brule,Joseph R. Biden,95
46015,Brule,Dean Phillips,24
46015,Brule,Amando Perez-Serrato,8
46017,Buffalo,Marianne Williamson,6
46017,Buffalo,Joseph R. Biden,20
46017,Buffalo,Dean Phillips,4
46017,Buffalo,Amando Perez-Serrato,6
46019,Butte,Marianne Williamson,41
46019,Butte,Joseph R. Biden,106
46019,Butte,Dean Phillips,28
46019,Butte,Amando Perez-Serrato,18
46021,Campbell,Marianne Williamson,4
46021,Campbell,Joseph R. Biden,17
46021,Campbell,Dean Phillips,2
46021,Campbell,Amando Perez-Serrato,2
46023,Charles Mix,Marianne Williamson,29
46023,Charles Mix,Joseph R. Biden,103
46023,Charles Mix,Dean Phillips,30
46023,Charles Mix,Amando Perez-Serrato,10
46025,Clark,Marianne Williamson,15
46025,Clark,Joseph R. Biden,44
46025,Clark,Dean Phillips,15
46025,Clark,Amando Perez-Serrato,6
46027,Clay,Marianne Williamson,44
46027,Clay,Joseph R. Biden,790
46027,Clay,Dean Phillips,32
46027,Clay,Amando Perez-Serrato,13
46029,Codington,Marianne Williamson,72
46029,Codington,Joseph R. Biden,278
46029,Codington,Dean Phillips,73
46029,Codington,Amando Perez-Serrato,12
46031,Corson,Marianne Williamson,22
46031,Corson,Joseph R. Biden,54
46031,Corson,Dean Phillips,10
46031,Corson,Amando Perez-Serrato,9
46033,Custer,Marianne Williamson,25
46033,Custer,Joseph R. Biden,218
46033,Custer,Dean Phillips,20
46033,Custer,Amando Perez-Serrato,6
46035,Davison,Marianne Williamson,112
46035,Davison,Joseph R. Biden,796
46035,Davison,Dean Phillips,92
46035,Davison,Amando Perez-Serrato,39
46037,Day,Marianne Williamson,17
46037,Day,Joseph R. Biden,119
46037,Day,Dean Phillips,21
46037,Day,Amando Perez-Serrato,4
46039,Deuel,Marianne Williamson,8
46039,Deuel,Joseph R. Biden,41
46039,Deuel,Dean Phillips,11
46039,Deuel,Amando Perez-Serrato,5
46041,Dewey,Marianne Williamson,38
46041,Dewey,Joseph R. Biden,112
46041,Dewey,Dean Phillips,23
46041,Dewey,Amando Perez-Serrato,13
46043,Douglas,Marianne Williamson,3
46043,Douglas,Joseph R. Biden,25
46043,Douglas,Dean Phillips,3
46043,Douglas,Amando Perez-Serrato,0
46045,Edmunds,Marianne Williamson,18
46045,Edmunds,Joseph R. Biden,46
46045,Edmunds,Dean Phillips,23
46045,Edmunds,Amando Perez-Serrato,8
46047,Fall River,Marianne Williamson,14
46047,Fall River,Joseph R. Biden,140
46047,Fall River,Dean Phillips,29
46047,Fall River,Amando Perez-Serrato,9
46049,Faulk,Marianne Williamson,13
46049,Faulk,Joseph R. Biden,30
46049,Faulk,Dean Phillips,12
46049,Faulk,Amando Perez-Serrato,4
46051,Grant,Marianne Williamson,25
46051,Grant,Joseph R. Biden,152
46051,Grant,Dean Phillips,27
46051,Grant,Amando Perez-Serrato,9
46053,Gregory,Marianne Williamson,18
46053,Gregory,Joseph R. Biden,130
46053,Gregory,Dean Phillips,29
46053,Gregory,Amando Perez-Serrato,6
46055,Haakon,Marianne Williamson,5
46055,Haakon,Joseph R. Biden,15
46055,Haakon,Dean Phillips,3
46055,Haakon,Amando Perez-Serrato,2
46057,Hamlin,Marianne Williamson,12
46057,Hamlin,Joseph R. Biden,40
46057,Hamlin,Dean Phillips,6
46057,Hamlin,Amando Perez-Serrato,4
46059,Hand,Marianne Williamson,7
46059,Hand,Joseph R. Biden,33
46059,Hand,Dean Phillips,6
46059,Hand,Amando Perez-Serrato,3
46061,Hanson,Marianne Williamson,16
46061,Hanson,Joseph R. Biden,61
46061,Hanson,Dean Phillips,32
46061,Hanson,Amando Perez-Serrato,10
46063,Harding,Marianne Williamson,4
46063,Harding,Joseph R. Biden,12
46063,Harding,Dean Phillips,3
46063,Harding,Amando Perez-Serrato,4
46065,Hughes,Marianne Williamson,16
46065,Hughes,Joseph R. Biden,125
46065,Hughes,Dean Phillips,9
46065,Hughes,Amando Perez-Serrato,8
46067,Hutchinson,Marianne Williamson,13
46067,Hutchinson,Joseph R. Biden,59
46067,Hutchinson,Dean Phillips,15
46067,Hutchinson,Amando Perez-Serrato,3
46069,Hyde,Marianne Williamson,10
46069,Hyde,Joseph R. Biden,12
46069,Hyde,Dean Phillips,1
46069,Hyde,Amando Perez-Serrato,0
46071,Jackson,Marianne Williamson,5
46071,Jackson,Joseph R. Biden,38
46071,Jackson,Dean Phillips,5
46071,Jackson,Amando Perez-Serrato,2
46073,Jerauld,Marianne Williamson,8
46073,Jerauld,Joseph R. Biden,33
46073,Jerauld,Dean Phillips,3
46073,Jerauld,Amando Perez-Serrato,2
46075,Jones,Marianne Williamson,5
46075,Jones,Joseph R. Biden,11
46075,Jones,Dean Phillips,2
46075,Jones,Amando Perez-Serrato,5
46077,Kingsbury,Marianne Williamson,10
46077,Kingsbury,Joseph R. Biden,80
46077,Kingsbury,Dean Phillips,6
46077,Kingsbury,Amando Perez-Serrato,3
46079,Lake,Marianne Williamson,26
46079,Lake,Joseph R. Biden,152
46079,Lake,Dean Phillips,33
46079,Lake,Amando Perez-Serrato,6
46081,Lawrence,Marianne Williamson,69
46081,Lawrence,Joseph R. Biden,542
46081,Lawrence,Dean Phillips,39
46081,Lawrence,Amando Perez-Serrato,21
46083,Lincoln,Marianne Williamson,85
46083,Lincoln,Joseph R. Biden,605
46083,Lincoln,Dean Phillips,72
46083,Lincoln,Amando Perez-Serrato,21
46085,Lyman,Marianne Williamson,11
46085,Lyman,Joseph R. Biden,42
46085,Lyman,Dean Phillips,8
46085,Lyman,Amando Perez-Serrato,5
46091,Marshall,Marianne Williamson,14
46091,Marshall,Joseph R. Biden,97
46091,Marshall,Dean Phillips,19
46091,Marshall,Amando Perez-Serrato,6
46087,McCook,Marianne Williamson,9
46087,McCook,Joseph R. Biden,65
46087,McCook,Dean Phillips,16
46087,McCook,Amando Perez-Serrato,4
46089,McPherson,Marianne Williamson,5
46089,McPherson,Joseph R. Biden,25
46089,McPherson,Dean Phillips,5
46089,McPherson,Amando Perez-Serrato,3
46093,Meade,Marianne Williamson,72
46093,Meade,Joseph R. Biden,353
46093,Meade,Dean Phillips,51
46093,Meade,Amando Perez-Serrato,21
46095,Mellette,Marianne Williamson,7
46095,Mellette,Joseph R. Biden,41
46095,Mellette,Dean Phillips,8
46095,Mellette,Amando Perez-Serrato,2
46097,Miner,Marianne Williamson,9
46097,Miner,Joseph R. Biden,53
46097,Miner,Dean Phillips,16
46097,Miner,Amando Perez-Serrato,7
46099,Minnehaha,Marianne Williamson,270
46099,Minnehaha,Joseph R. Biden,2322
46099,Minnehaha,Dean Phillips,215
46099,Minnehaha,Amando Perez-Serrato,110
46101,Moody,Marianne Williamson,15
46101,Moody,Joseph R. Biden,76
46101,Moody,Dean Phillips,15
46101,Moody,Amando Perez-Serrato,3
46103,Pennington,Marianne Williamson,267
46103,Pennington,Joseph R. Biden,2266
46103,Pennington,Dean Phillips,165
46103,Pennington,Amando Perez-Serrato,101
46105,Perkins,Marianne Williamson,8
46105,Perkins,Joseph R. Biden,16
46105,Perkins,Dean Phillips,6
46105,Perkins,Amando Perez-Serrato,5
46107,Potter,Marianne Williamson,3
46107,Potter,Joseph R. Biden,21
46107,Potter,Dean Phillips,6
46107,Potter,Amando Perez-Serrato,2
46109,Roberts,Marianne Williamson,19
46109,Roberts,Joseph R. Biden,184
46109,Roberts,Dean Phillips,38
46109,Roberts,Amando Perez-Serrato,15
46111,Sanborn,Marianne Williamson,3
46111,Sanborn,Joseph R. Biden,24
