county,candidate,votes,fips
Anderson,Alyson Kennedy,33,47001
Anderson,President R19 Boddie Stoneham,0,47001
Anderson,Brian Carroll,11,47001
Anderson,Don Blankenship,56,47001
Anderson,Donald J. Trump,23184,47001
Anderson,Gloria La Riva,13,47001
Anderson,Howie Hawkins,52,47001
Anderson,Jade Simmons,1,47001
Anderson,Jo Jorgensen,397,47001
Anderson,Joseph R. Biden,11741,47001
Anderson,Kanye West,69,47001
Anderson,Kasey Wells,0,47001
Anderson,Rocky De La Fuente,12,47001
Anderson,Tom Hoefling,1,47001
Bedford,Alyson Kennedy,9,47003
Bedford,President R19 Boddie Stoneham,0,47003
Bedford,Brian Carroll,2,47003
Bedford,Don Blankenship,32,47003
Bedford,Donald J. Trump,14354,47003
Bedford,Gloria La Riva,6,47003
Bedford,Howie Hawkins,24,47003
Bedford,Jade Simmons,0,47003
Bedford,Jo Jorgensen,155,47003
Bedford,Joseph R. Biden,4453,47003
Bedford,Kanye West,45,47003
Bedford,Kasey Wells,0,47003
Bedford,Rocky De La Fuente,8,47003
Bedford,Tom Hoefling,0,47003
Benton,Alyson Kennedy,3,47005
Benton,President R19 Boddie Stoneham,0,47005
Benton,Brian Carroll,0,47005
Benton,Don Blankenship,8,47005
Benton,Donald J. Trump,5668,47005
Benton,Gloria La Riva,2,47005
Benton,Howie Hawkins,6,47005
Benton,Jade Simmons,0,47005
Benton,Jo Jorgensen,35,47005
Benton,Joseph R. Biden,1529,47005
Benton,Kanye West,8,47005
Benton,Kasey Wells,0,47005
Benton,Rocky De La Fuente,1,47005
Benton,Tom Hoefling,0,47005
Bledsoe,Alyson Kennedy,2,47007
Bledsoe,President R19 Boddie Stoneham,0,47007
Bledsoe,Brian Carroll,0,47007
Bledsoe,Don Blankenship,13,47007
Bledsoe,Donald J. Trump,4725,47007
Bledsoe,Gloria La Riva,1,47007
Bledsoe,Howie Hawkins,4,47007
Bledsoe,Jade Simmons,0,47007
Bledsoe,Jo Jorgensen,33,47007
Bledsoe,Joseph R. Biden,971,47007
Bledsoe,Kanye West,7,47007
Bledsoe,Kasey Wells,0,47007
Bledsoe,Rocky De La Fuente,2,47007
Bledsoe,Tom Hoefling,0,47007
Blount,Alyson Kennedy,27,47009
Blount,President R19 Boddie Stoneham,0,47009
Blount,Brian Carroll,24,47009
Blount,Don Blankenship,141,47009
Blount,Donald J. Trump,47369,47009
Blount,Gloria La Riva,12,47009
Blount,Howie Hawkins,99,47009
Blount,Jade Simmons,3,47009
Blount,Jo Jorgensen,834,47009
Blount,Joseph R. Biden,17932,47009
Blount,Kanye West,130,47009
Blount,Kasey Wells,0,47009
Blount,Rocky De La Fuente,37,47009
Blount,Tom Hoefling,1,47009
Bradley,Alyson Kennedy,15,47011
Bradley,President R19 Boddie Stoneham,0,47011
Bradley,Brian Carroll,14,47011
Bradley,Don Blankenship,85,47011
Bradley,Donald J. Trump,35204,47011
Bradley,Gloria La Riva,17,47011
Bradley,Howie Hawkins,53,47011
Bradley,Jade Simmons,0,47011
Bradley,Jo Jorgensen,500,47011
Bradley,Joseph R. Biden,9851,47011
Bradley,Kanye West,102,47011
Bradley,Kasey Wells,0,47011
Bradley,Rocky De La Fuente,24,47011
Bradley,Tom Hoefling,0,47011
Campbell,Alyson Kennedy,5,47013
Campbell,President R19 Boddie Stoneham,0,47013
Campbell,Brian Carroll,0,47013
Campbell,Don Blankenship,24,47013
Campbell,Donald J. Trump,12331,47013
Campbell,Gloria La Riva,2,47013
Campbell,Howie Hawkins,9,47013
Campbell,Jade Simmons,0,47013
Campbell,Jo Jorgensen,101,47013
Campbell,Joseph R. Biden,2441,47013
Campbell,Kanye West,18,47013
Campbell,Kasey Wells,0,47013
Campbell,Rocky De La Fuente,2,47013
Campbell,Tom Hoefling,0,47013
Cannon,Alyson Kennedy,7,47015
Cannon,President R19 Boddie Stoneham,0,47015
Cannon,Brian Carroll,2,47015
Cannon,Don Blankenship,12,47015
Cannon,Donald J. Trump,5190,47015
Cannon,Gloria La Riva,2,47015
Cannon,Howie Hawkins,6,47015
Cannon,Jade Simmons,0,47015
Cannon,Jo Jorgensen,63,47015
Cannon,Joseph R. Biden,1261,47015
Cannon,Kanye West,12,47015
Cannon,Kasey Wells,0,47015
Cannon,Rocky De La Fuente,2,47015
Cannon,Tom Hoefling,0,47015
Carroll,Alyson Kennedy,7,47017
Carroll,President R19 Boddie Stoneham,0,47017
Carroll,Brian Carroll,0,47017
Carroll,Don Blankenship,18,47017
Carroll,Donald J. Trump,9205,47017
Carroll,Gloria La Riva,2,47017
Carroll,Howie Hawkins,12,47017
Carroll,Jade Simmons,0,47017
Carroll,Jo Jorgensen,90,47017
Carroll,Joseph R. Biden,2559,47017
Carroll,Kanye West,9,47017
Carroll,Kasey Wells,0,47017
Carroll,Rocky De La Fuente,3,47017
Carroll,Tom Hoefling,0,47017
Carter,Alyson Kennedy,14,47019
Carter,President R19 Boddie Stoneham,0,47019
Carter,Brian Carroll,0,47019
Carter,Don Blankenship,27,47019
Carter,Donald J. Trump,19584,47019
Carter,Gloria La Riva,13,47019
Carter,Howie Hawkins,39,47019
Carter,Jade Simmons,1,47019
Carter,Jo Jorgensen,243,47019
Carter,Joseph R. Biden,4529,47019
Carter,Kanye West,33,47019
Carter,Kasey Wells,0,47019
Carter,Rocky De La Fuente,6,47019
Carter,Tom Hoefling,3,47019
Cheatham,Alyson Kennedy,5,47021
Cheatham,President R19 Boddie Stoneham,0,47021
Cheatham,Brian Carroll,0,47021
Cheatham,Don Blankenship,31,47021
Cheatham,Donald J. Trump,14438,47021
Cheatham,Gloria La Riva,1,47021
Cheatham,Howie Hawkins,27,47021
Cheatham,Jade Simmons,0,47021
Cheatham,Jo Jorgensen,205,47021
Cheatham,Joseph R. Biden,5514,47021
Cheatham,Kanye West,24,47021
Cheatham,Kasey Wells,0,47021
Cheatham,Rocky De La Fuente,15,47021
Cheatham,Tom Hoefling,0,47021
Chester,Alyson Kennedy,15,47023
Chester,President R19 Boddie Stoneham,0,47023
Chester,Brian Carroll,3,47023
Chester,Don Blankenship,23,47023
Chester,Donald J. Trump,5952,47023
Chester,Gloria La Riva,6,47023
Chester,Howie Hawkins,7,47023
Chester,Jade Simmons,0,47023
Chester,Jo Jorgensen,87,47023
Chester,Joseph R. Biden,1412,47023
Chester,Kanye West,71,47023
Chester,Kasey Wells,0,47023
Chester,Rocky De La Fuente,8,47023
Chester,Tom Hoefling,0,47023
Claiborne,Alyson Kennedy,8,47025
Claiborne,President R19 Boddie Stoneham,0,47025
Claiborne,Brian Carroll,2,47025
Claiborne,Don Blankenship,11,47025
Claiborne,Donald J. Trump,10604,47025
Claiborne,Gloria La Riva,0,47025
Claiborne,Howie Hawkins,6,47025
Claiborne,Jade Simmons,0,47025
Claiborne,Jo Jorgensen,83,47025
Claiborne,Joseph R. Biden,2202,47025
Claiborne,Kanye West,22,47025
Claiborne,Kasey Wells,0,47025
Claiborne,Rocky De La Fuente,7,47025
Claiborne,Tom Hoefling,0,47025
Clay,Alyson Kennedy,2,47027
Clay,President R19 Boddie Stoneham,0,47027
Clay,Brian Carroll,0,47027
Clay,Don Blankenship,5,47027
Clay,Donald J. Trump,2733,47027
Clay,Gloria La Riva,0,47027
Clay,Howie Hawkins,4,47027
Clay,Jade Simmons,0,47027
Clay,Jo Jorgensen,22,47027
Clay,Joseph R. Biden,735,47027
Clay,Kanye West,4,47027
Clay,Kasey Wells,0,47027
Clay,Rocky De La Fuente,1,47027
Clay,Tom Hoefling,0,47027
Cocke,Alyson Kennedy,7,47029
Cocke,President R19 Boddie Stoneham,0,47029
Cocke,Brian Carroll,0,47029
Cocke,Don Blankenship,12,47029
Cocke,Donald J. Trump,12162,47029
Cocke,Gloria La Riva,4,47029
Cocke,Howie Hawkins,23,47029
Cocke,Jade Simmons,0,47029
Cocke,Jo Jorgensen,93,47029
Cocke,Joseph R. Biden,2533,47029
Cocke,Kanye West,20,47029
Cocke,Kasey Wells,0,47029
Cocke,Rocky De La Fuente,5,47029
Cocke,Tom Hoefling,0,47029
Coffee,Alyson Kennedy,71,47031
Coffee,President R19 Boddie Stoneham,0,47031
Coffee,Brian Carroll,0,47031
Coffee,Don Blankenship,59,47031
Coffee,Donald J. Trump,17883,47031
Coffee,Gloria La Riva,30,47031
Coffee,Howie Hawkins,49,47031
Coffee,Jade Simmons,0,47031
Coffee,Jo Jorgensen,242,47031
Coffee,Joseph R. Biden,5705,47031
Coffee,Kanye West,219,47031
Coffee,Kasey Wells,0,47031
Coffee,Rocky De La Fuente,24,47031
Coffee,Tom Hoefling,0,47031
Crockett,Alyson Kennedy,4,47033
Crockett,President R19 Boddie Stoneham,0,47033
Crockett,Brian Carroll,0,47033
Crockett,Don Blankenship,3,47033
Crockett,Donald J. Trump,4673,47033
Crockett,Gloria La Riva,1,47033
Crockett,Howie Hawkins,6,47033
Crockett,Jade Simmons,0,47033
Crockett,Jo Jorgensen,30,47033
Crockett,Joseph R. Biden,1382,47033
Crockett,Kanye West,12,47033
Crockett,Kasey Wells,0,47033
Crockett,Rocky De La Fuente,3,47033
Crockett,Tom Hoefling,0,47033
Cumberland,Alyson Kennedy,13,47035
Cumberland,President R19 Boddie Stoneham,0,47035
Cumberland,Brian Carroll,0,47035
Cumberland,Don Blankenship,62,47035
Cumberland,Donald J. Trump,25168,47035
Cumberland,Gloria La Riva,1,47035
Cumberland,Howie Hawkins,31,47035
Cumberland,Jade Simmons,0,47035
Cumberland,Jo Jorgensen,232,47035
Cumberland,Joseph R. Biden,6728,47035
Cumberland,Kanye West,35,47035
Cumberland,Kasey Wells,0,47035
Cumberland,Rocky De La Fuente,9,47035
Cumberland,Tom Hoefling,0,47035
Davidson,Alyson Kennedy,632,47037
Davidson,President R19 Boddie Stoneham,1,47037
Davidson,Brian Carroll,137,47037
Davidson,Don Blankenship,600,47037
Davidson,Donald J. Trump,100218,47037
Davidson,Gloria La Riva,1072,47037
Davidson,Howie Hawkins,729,47037
Davidson,Jade Simmons,0,47037
Davidson,Jo Jorgensen,3543,47037
Davidson,Joseph R. Biden,199703,47037
Davidson,Kanye West,2601,47037
Davidson,Kasey Wells,0,47037
Davidson,Rocky De La Fuente,421,47037
Davidson,Tom Hoefling,1,47037
Decatur,Alyson Kennedy,12,47039
Decatur,President R19 Boddie Stoneham,0,47039
Decatur,Brian Carroll,0,47039
Decatur,Don Blankenship,15,47039
Decatur,Donald J. Trump,4229,47039
Decatur,Gloria La Riva,4,47039
Decatur,Howie Hawkins,10,47039
Decatur,Jade Simmons,0,47039
Decatur,Jo Jorgensen,21,47039
Decatur,Joseph R. Biden,904,47039
Decatur,Kanye West,42,47039
Decatur,Kasey Wells,0,47039
Decatur,Rocky De La Fuente,4,47039
Decatur,Tom Hoefling,0,47039
Dekalb,Alyson Kennedy,1,<function fips at 0x00000248CAAF3D80>
Dekalb,President R19 Boddie Stoneham,0,<function fips at 0x00000248CAAF3D80>
Dekalb,Brian Carroll,0,<function fips at 0x00000248CAAF3D80>
Dekalb,Don Blankenship,9,<function fips at 0x00000248CAAF3D80>
Dekalb,Donald J. Trump,6672,<function fips at 0x00000248CAAF3D80>
Dekalb,Gloria La Riva,2,<function fips at 0x00000248CAAF3D80>
Dekalb,Howie Hawkins,6,<function fips at 0x00000248CAAF3D80>
Dekalb,Jade Simmons,0,<function fips at 0x00000248CAAF3D80>
Dekalb,Jo Jorgensen,60,<function fips at 0x00000248CAAF3D80>
Dekalb,Joseph R. Biden,1750,<function fips at 0x00000248CAAF3D80>
Dekalb,Kanye West,9,<function fips at 0x00000248CAAF3D80>
Dekalb,Kasey Wells,0,<function fips at 0x00000248CAAF3D80>
Dekalb,Rocky De La Fuente,4,<function fips at 0x00000248CAAF3D80>
Dekalb,Tom Hoefling,0,<function fips at 0x00000248CAAF3D80>
Dickson,Alyson Kennedy,39,47043
Dickson,President R19 Boddie Stoneham,0,47043
Dickson,Brian Carroll,0,47043
Dickson,Don Blankenship,55,47043
Dickson,Donald J. Trump,17643,47043
Dickson,Gloria La Riva,29,47043
Dickson,Howie Hawkins,40,47043
Dickson,Jade Simmons,0,47043
Dickson,Jo Jorgensen,260,47043
Dickson,Joseph R. Biden,6106,47043
Dickson,Kanye West,134,47043
Dickson,Kasey Wells,0,47043
Dickson,Rocky De La Fuente,17,47043
Dickson,Tom Hoefling,0,47043
Dyer,Alyson Kennedy,9,47045
Dyer,President R19 Boddie Stoneham,0,47045
Dyer,Brian Carroll,1,47045
Dyer,Don Blankenship,16,47045
Dyer,Donald J. Trump,11768,47045
Dyer,Gloria La Riva,1,47045
Dyer,Howie Hawkins,7,47045
Dyer,Jade Simmons,1,47045
Dyer,Jo Jorgensen,96,47045
Dyer,Joseph R. Biden,3158,47045
Dyer,Kanye West,13,47045
Dyer,Kasey Wells,0,47045
Dyer,Rocky De La Fuente,9,47045
Dyer,Tom Hoefling,0,47045
Fayette,Alyson Kennedy,16,47047
Fayette,President R19 Boddie Stoneham,0,47047
Fayette,Brian Carroll,0,47047
Fayette,Don Blankenship,18,47047
Fayette,Donald J. Trump,15690,47047
Fayette,Gloria La Riva,7,47047
Fayette,Howie Hawkins,30,47047
Fayette,Jade Simmons,0,47047
Fayette,Jo Jorgensen,145,47047
Fayette,Joseph R. Biden,7027,47047
Fayette,Kanye West,42,47047
Fayette,Kasey Wells,0,47047
Fayette,Rocky De La Fuente,9,47047
Fayette,Tom Hoefling,0,47047
Fentress,Alyson Kennedy,2,47049
Fentress,President R19 Boddie Stoneham,0,47049
Fentress,Brian Carroll,0,47049
Fentress,Don Blankenship,18,47049
Fentress,Donald J. Trump,7441,47049
Fentress,Gloria La Riva,0,47049
Fentress,Howie Hawkins,6,47049
Fentress,Jade Simmons,0,47049
Fentress,Jo Jorgensen,36,47049
Fentress,Joseph R. Biden,1214,47049
Fentress,Kanye West,10,47049
Fentress,Kasey Wells,0,47049
Fentress,Rocky De La Fuente,2,47049
Fentress,Tom Hoefling,0,47049
Franklin,Alyson Kennedy,7,47051
Franklin,President R19 Boddie Stoneham,0,47051
Franklin,Brian Carroll,3,47051
Franklin,Don Blankenship,30,47051
Franklin,Donald J. Trump,13987,47051
Franklin,Gloria La Riva,8,47051
Franklin,Howie Hawkins,27,47051
Franklin,Jade Simmons,2,47051
Franklin,Jo Jorgensen,164,47051
Franklin,Joseph R. Biden,4864,47051
Franklin,Kanye West,33,47051
Franklin,Kasey Wells,0,47051
Franklin,Rocky De La Fuente,7,47051
Franklin,Tom Hoefling,0,47051
Gibson,Alyson Kennedy,15,47053
Gibson,President R19 Boddie Stoneham,0,47053
Gibson,Brian Carroll,6,47053
