fips,county,candidate,votes
48001,ANDERSON,Donald J. Trump,15110
48003,ANDREWS,Donald J. Trump,4943
48005,ANGELINA,Donald J. Trump,25076
48007,ARANSAS,Donald J. Trump,9239
48009,ARCHER,Donald J. Trump,4300
48011,ARMSTRONG,Donald J. Trump,1035
48013,ATASCOSA,Donald J. Trump,12039
48015,AUSTIN,Donald J. Trump,11447
48017,BAILEY,Donald J. Trump,1434
48019,BANDERA,Donald J. Trump,10057
48021,BASTROP,Donald J. Trump,20516
48023,BAYLOR,Donald J. Trump,1494
48025,BEE,Donald J. Trump,6006
48027,BELL,Donald J. Trump,67893
48029,BEXAR,Donald J. Trump,308618
48031,BLANCO,Donald J. Trump,5443
48033,BORDEN,Donald J. Trump,397
48035,BOSQUE,Donald J. Trump,7469
48037,BOWIE,Donald J. Trump,27116
48039,BRAZORIA,Donald J. Trump,90433
48041,BRAZOS,Donald J. Trump,47530
48043,BREWSTER,Donald J. Trump,2461
48045,BRISCOE,Donald J. Trump,639
48047,BROOKS,Donald J. Trump,998
48049,BROWN,Donald J. Trump,13698
48051,BURLESON,Donald J. Trump,6743
48053,BURNET,Donald J. Trump,18767
48055,CALDWELL,Donald J. Trump,8031
48057,CALHOUN,Donald J. Trump,5641
48059,CALLAHAN,Donald J. Trump,6012
48061,CAMERON,Donald J. Trump,49032
48063,CAMP,Donald J. Trump,3626
48065,CARSON,Donald J. Trump,2779
48067,CASS,Donald J. Trump,11033
48069,CASTRO,Donald J. Trump,1602
48071,CHAMBERS,Donald J. Trump,17353
48073,CHEROKEE,Donald J. Trump,15101
48075,CHILDRESS,Donald J. Trump,1943
48077,CLAY,Donald J. Trump,5069
48079,COCHRAN,Donald J. Trump,809
48081,COKE,Donald J. Trump,1586
48083,COLEMAN,Donald J. Trump,3641
48085,COLLIN,Donald J. Trump,252318
48087,COLLINGSWORTH,Donald J. Trump,1048
48089,COLORADO,Donald J. Trump,7472
48091,COMAL,Donald J. Trump,62740
48093,COMANCHE,Donald J. Trump,5177
48095,CONCHO,Donald J. Trump,1058
48097,COOKE,Donald J. Trump,15596
48099,CORYELL,Donald J. Trump,15438
48101,COTTLE,Donald J. Trump,540
48103,CRANE,Donald J. Trump,1247
48105,CROCKETT,Donald J. Trump,1220
48107,CROSBY,Donald J. Trump,1396
48109,CULBERSON,Donald J. Trump,415
48111,DALLAM,Donald J. Trump,1389
48113,DALLAS,Donald J. Trump,307076
48115,DAWSON,Donald J. Trump,2951
48117,DEAF SMITH,Donald J. Trump,3294
48119,DELTA,Donald J. Trump,2162
48121,DENTON,Donald J. Trump,222480
48123,DEWITT,Donald J. Trump,6567
48125,DICKENS,Donald J. Trump,853
48127,DIMMIT,Donald J. Trump,1384
48129,DONLEY,Donald J. Trump,1438
48131,DUVAL,Donald J. Trump,2443
48133,EASTLAND,Donald J. Trump,7237
48135,ECTOR,Donald J. Trump,32697
48137,EDWARDS,Donald J. Trump,893
48139,ELLIS,Donald J. Trump,56717
48141,EL PASO,Donald J. Trump,84331
48143,ERATH,Donald J. Trump,13684
48145,FALLS,Donald J. Trump,4177
48147,FANNIN,Donald J. Trump,12171
48149,FAYETTE,Donald J. Trump,10171
48151,FISHER,Donald J. Trump,1448
48153,FLOYD,Donald J. Trump,1584
48155,FOARD,Donald J. Trump,445
48157,FORT BEND,Donald J. Trump,157718
48159,FRANKLIN,Donald J. Trump,4161
48161,FREESTONE,Donald J. Trump,6991
48163,FRIO,Donald J. Trump,2823
48165,GAINES,Donald J. Trump,5355
48167,GALVESTON,Donald J. Trump,93911
48169,GARZA,Donald J. Trump,1413
48171,GILLESPIE,Donald J. Trump,12514
48173,GLASSCOCK,Donald J. Trump,611
48175,GOLIAD,Donald J. Trump,3085
48177,GONZALES,Donald J. Trump,5627
48179,GRAY,Donald J. Trump,6840
48181,GRAYSON,Donald J. Trump,44163
48183,GREGG,Donald J. Trump,32493
48185,GRIMES,Donald J. Trump,9432
48187,GUADALUPE,Donald J. Trump,47553
48189,HALE,Donald J. Trump,7177
48191,HALL,Donald J. Trump,995
