fips,county,candidate,votes
49001,Beaver,Brock Pierce,1
49003,Box Elder,Brock Pierce,36
49005,Cache,Brock Pierce,106
49007,Carbon,Brock Pierce,25
49009,Daggett,Brock Pierce,1
49011,Davis,Brock Pierce,380
49013,Duchesne,Brock Pierce,6
49015,Emery,Brock Pierce,6
49017,Garfield,Brock Pierce,3
49019,Grand,Brock Pierce,15
49021,Iron,Brock Pierce,40
49023,Juab,Brock Pierce,3
49025,Kane,Brock Pierce,7
49027,Millard,Brock Pierce,14
49029,Morgan,Brock Pierce,11
49031,Piute,Brock Pierce,0
49033,Rich,Brock Pierce,1
49035,Salt Lake,Brock Pierce,947
49037,San Juan,Brock Pierce,16
49039,Sanpete,Brock Pierce,22
49041,Sevier,Brock Pierce,13
49043,Summit,Brock Pierce,17
49045,Tooele,Brock Pierce,63
49047,Uintah,Brock Pierce,16
49049,Utah,Brock Pierce,521
49051,Wasatch,Brock Pierce,20
49053,Washington,Brock Pierce,81
49055,Wayne,Brock Pierce,2
49057,Weber,Brock Pierce,250
49001,Beaver,Kanye West,7
49003,Box Elder,Kanye West,112
49005,Cache,Kanye West,230
49007,Carbon,Kanye West,44
49009,Daggett,Kanye West,2
49011,Davis,Kanye West,1012
49013,Duchesne,Kanye West,18
49015,Emery,Kanye West,15
49017,Garfield,Kanye West,2
49019,Grand,Kanye West,19
49021,Iron,Kanye West,94
49023,Juab,Kanye West,13
49025,Kane,Kanye West,15
49027,Millard,Kanye West,16
49029,Morgan,Kanye West,35
49031,Piute,Kanye West,3
49033,Rich,Kanye West,4
49035,Salt Lake,Kanye West,2590
49037,San Juan,Kanye West,45
49039,Sanpete,Kanye West,39
49041,Sevier,Kanye West,28
49043,Summit,Kanye West,86
49045,Tooele,Kanye West,152
49047,Uintah,Kanye West,37
49049,Utah,Kanye West,1680
49051,Wasatch,Kanye West,86
49053,Washington,Kanye West,298
49055,Wayne,Kanye West,7
49057,Weber,Kanye West,524
49001,Beaver,Joseph R Biden,357
49003,Box Elder,Joseph R Biden,4473
49005,Cache,Joseph R Biden,16650
49007,Carbon,Joseph R Biden,2392
49009,Daggett,Joseph R Biden,111
49011,Davis,Joseph R Biden,57411
49013,Duchesne,Joseph R Biden,843
49015,Emery,Joseph R Biden,572
49017,Garfield,Joseph R Biden,514
49019,Grand,Joseph R Biden,2806
49021,Iron,Joseph R Biden,4892
49023,Juab,Joseph R Biden,645
49025,Kane,Joseph R Biden,1083
49027,Millard,Joseph R Biden,624
