fips,county,candidate,votes
51001,Accomack,Joseph R. Biden,7578
51001,Accomack,Donald J. Trump,9172
51001,Accomack,Jo Jorgensen,188
51001,Accomack,All Others,24
51003,Albemarle,Joseph R. Biden,42466
51003,Albemarle,Donald J. Trump,20804
51003,Albemarle,Jo Jorgensen,1014
51003,Albemarle,All Others,373
51510,Alexandria City,Joseph R. Biden,66240
51510,Alexandria City,Donald J. Trump,14544
51510,Alexandria City,Jo Jorgensen,1022
51510,Alexandria City,All Others,702
51005,Alleghany,Joseph R. Biden,2243
51005,Alleghany,Donald J. Trump,5859
51005,Alleghany,Jo Jorgensen,89
51005,Alleghany,All Others,12
51007,Amelia,Joseph R. Biden,2411
51007,Amelia,Donald J. Trump,5390
51007,Amelia,Jo Jorgensen,80
51007,Amelia,All Others,12
51009,Amherst,Joseph R. Biden,5672
51009,Amherst,Donald J. Trump,11041
51009,Amherst,Jo Jorgensen,251
51009,Amherst,All Others,41
51011,Appomattox,Joseph R. Biden,2418
51011,Appomattox,Donald J. Trump,6702
51011,Appomattox,Jo Jorgensen,119
51011,Appomattox,All Others,29
51013,Arlington,Joseph R. Biden,105344
51013,Arlington,Donald J. Trump,22318
51013,Arlington,Jo Jorgensen,1836
51013,Arlington,All Others,1201
51015,Augusta,Joseph R. Biden,10840
51015,Augusta,Donald J. Trump,30714
51015,Augusta,Jo Jorgensen,608
51015,Augusta,All Others,116
51017,Bath,Joseph R. Biden,646
51017,Bath,Donald J. Trump,1834
51017,Bath,Jo Jorgensen,16
51017,Bath,All Others,5
51019,Bedford,Joseph R. Biden,12176
51019,Bedford,Donald J. Trump,35600
51019,Bedford,Jo Jorgensen,708
51019,Bedford,All Others,185
51021,Bland,Joseph R. Biden,532
51021,Bland,Donald J. Trump,2903
51021,Bland,Jo Jorgensen,40
51021,Bland,All Others,4
51023,Botetourt,Joseph R. Biden,5700
51023,Botetourt,Donald J. Trump,15099
51023,Botetourt,Jo Jorgensen,264
51023,Botetourt,All Others,57
51520,Bristol City,Joseph R. Biden,2313
51520,Bristol City,Donald J. Trump,5347
51520,Bristol City,Jo Jorgensen,125
51520,Bristol City,All Others,21
51025,Brunswick,Joseph R. Biden,4552
51025,Brunswick,Donald J. Trump,3357
51025,Brunswick,Jo Jorgensen,34
51025,Brunswick,All Others,5
51027,Buchanan,Joseph R. Biden,1587
51027,Buchanan,Donald J. Trump,8311
51027,Buchanan,Jo Jorgensen,44
51027,Buchanan,All Others,11
51029,Buckingham,Joseph R. Biden,3471
51029,Buckingham,Donald J. Trump,4544
51029,Buckingham,Jo Jorgensen,93
51029,Buckingham,All Others,18
51530,Buena Vista City,Joseph R. Biden,825
51530,Buena Vista City,Donald J. Trump,1863
51530,Buena Vista City,Jo Jorgensen,72
51530,Buena Vista City,All Others,16
51031,Campbell,Joseph R. Biden,8070
51031,Campbell,Donald J. Trump,21245
51031,Campbell,Jo Jorgensen,490
51031,Campbell,All Others,87
51033,Caroline,Joseph R. Biden,7657
51033,Caroline,Donald J. Trump,8336
51033,Caroline,Jo Jorgensen,259
51033,Caroline,All Others,36
51035,Carroll,Joseph R. Biden,2842
51035,Carroll,Donald J. Trump,12659
51035,Carroll,Jo Jorgensen,118
51035,Carroll,All Others,32
51036,Charles City,Joseph R. Biden,2624
51036,Charles City,Donald J. Trump,1761
51036,Charles City,Jo Jorgensen,54
51036,Charles City,All Others,2
51037,Charlotte,Joseph R. Biden,2317
51037,Charlotte,Donald J. Trump,3815
51037,Charlotte,Jo Jorgensen,48
51037,Charlotte,All Others,11
51540,Charlottesville City,Joseph R. Biden,20696
51540,Charlottesville City,Donald J. Trump,3094
51540,Charlottesville City,Jo Jorgensen,311
51540,Charlottesville City,All Others,104
51550,Chesapeake City,Joseph R. Biden,66377
51550,Chesapeake City,Donald J. Trump,58180
51550,Chesapeake City,Jo Jorgensen,2098
51550,Chesapeake City,All Others,453
51041,Chesterfield,Joseph R. Biden,106935
51041,Chesterfield,Donald J. Trump,93326
51041,Chesterfield,Jo Jorgensen,2927
51041,Chesterfield,All Others,696
51043,Clarke,Joseph R. Biden,3920
51043,Clarke,Donald J. Trump,5192
51043,Clarke,Jo Jorgensen,178
51043,Clarke,All Others,47
51570,Colonial Heights City,Joseph R. Biden,2972
51570,Colonial Heights City,Donald J. Trump,6007
51570,Colonial Heights City,Jo Jorgensen,135
51570,Colonial Heights City,All Others,32
51580,Covington City,Joseph R. Biden,964
51580,Covington City,Donald J. Trump,1580
51580,Covington City,Jo Jorgensen,50
51580,Covington City,All Others,9
51045,Craig,Joseph R. Biden,587
51045,Craig,Donald J. Trump,2536
51045,Craig,Jo Jorgensen,40
51045,Craig,All Others,6
51047,Culpeper,Joseph R. Biden,10617
51047,Culpeper,Donald J. Trump,16012
51047,Culpeper,Jo Jorgensen,406
