fips,county,candidate,votes
50001,Addison,Alyson Kennedy,13
50001,Addison,Blake Huber,7
50001,Addison,Brian Carroll,14
50001,Addison,Brock Pierce,3
50001,Addison,Christopher Lafo,54
50001,Addison,Don Blankenship,15
50001,Addison,Donald J. Trump,6292
50001,Addison,Gary Swing,6
50001,Addison,Gloria La Riva,9
50001,Addison,H. Brooke Paige,75
50001,Addison,Howie Hawkins,69
50001,Addison,Jerome Segal,3
50001,Addison,Jo Jorgensen,243
50001,Addison,Joseph R. Biden,14967
50001,Addison,Kanye West,67
50001,Addison,Keith Mccormic,10
50001,Addison,Kyle Kenley Kopi,4
50001,Addison,Phil Collins,10
50001,Addison,Richard Duncan,19
50001,Addison,Rocky De La Fuente,2
50001,Addison,Zachary Scalf,2
50001,Addison,Write-in,138
50001,Addison,overvotes,23
50001,Addison,blank votes,167       
50003,Bennington,Alyson Kennedy,12
50003,Bennington,Blake Huber,4
50003,Bennington,Brian Carroll,10
50003,Bennington,Brock Pierce,6
50003,Bennington,Christopher Lafo,65
50003,Bennington,Don Blankenship,7
50003,Bennington,Donald J. Trump,7114
50003,Bennington,Gary Swing,7
50003,Bennington,Gloria La Riva,7
50003,Bennington,H. Brooke Paige,66
50003,Bennington,Howie Hawkins,72
50003,Bennington,Jerome Segal,3
50003,Bennington,Jo Jorgensen,200
50003,Bennington,Joseph R. Biden,12705
50003,Bennington,Kanye West,68
50003,Bennington,Keith Mccormic,11
50003,Bennington,Kyle Kenley Kopi,1
50003,Bennington,Phil Collins,10
50003,Bennington,Richard Duncan,11
50003,Bennington,Rocky De La Fuente,1
50003,Bennington,Zachary Scalf,4
50003,Bennington,Write-in,78
50003,Bennington,overvotes,25
50003,Bennington,blank votes,153       
50005,Caledonia,Alyson Kennedy,4
50005,Caledonia,Blake Huber,2
50005,Caledonia,Brian Carroll,11
50005,Caledonia,Brock Pierce,1
50005,Caledonia,Christopher Lafo,61
50005,Caledonia,Don Blankenship,16
50005,Caledonia,Donald J. Trump,6551
50005,Caledonia,Gary Swing,4
50005,Caledonia,Gloria La Riva,8
50005,Caledonia,H. Brooke Paige,80
50005,Caledonia,Howie Hawkins,66
50005,Caledonia,Jerome Segal,9
50005,Caledonia,Jo Jorgensen,167
50005,Caledonia,Joseph R. Biden,9011
50005,Caledonia,Kanye West,52
50005,Caledonia,Keith Mccormic,5
50005,Caledonia,Kyle Kenley Kopi,5
50005,Caledonia,Phil Collins,7
50005,Caledonia,Richard Duncan,19
50005,Caledonia,Rocky De La Fuente,4
50005,Caledonia,Zachary Scalf,3
50005,Caledonia,Write-in,83
50005,Caledonia,overvotes,20
50005,Caledonia,blank votes,145       
50007,Chittenden,Alyson Kennedy,47
50007,Chittenden,Blake Huber,9
50007,Chittenden,Brian Carroll,55
50007,Chittenden,Brock Pierce,37
50007,Chittenden,Christopher Lafo,148
50007,Chittenden,Don Blankenship,40
50007,Chittenden,Donald J. Trump,21017
50007,Chittenden,Gary Swing,35
50007,Chittenden,Gloria La Riva,52
50007,Chittenden,H. Brooke Paige,219
50007,Chittenden,Howie Hawkins,372
50007,Chittenden,Jerome Segal,9
50007,Chittenden,Jo Jorgensen,882
50007,Chittenden,Joseph R. Biden,74961
50007,Chittenden,Kanye West,362
50007,Chittenden,Keith Mccormic,24
50007,Chittenden,Kyle Kenley Kopi,11
50007,Chittenden,Phil Collins,29
50007,Chittenden,Richard Duncan,39
50007,Chittenden,Rocky De La Fuente,17
50007,Chittenden,Zachary Scalf,4
50007,Chittenden,Write-in,546
50007,Chittenden,overvotes,30
50007,Chittenden,blank votes,914       
50009,Essex,Alyson Kennedy,1
50009,Essex,Blake Huber,1
50009,Essex,Brian Carroll,0
50009,Essex,Brock Pierce,1
50009,Essex,Christopher Lafo,4
50009,Essex,Don Blankenship,3
50009,Essex,Donald J. Trump,1773
50009,Essex,Gary Swing,1
50009,Essex,Gloria La Riva,1
50009,Essex,H. Brooke Paige,14
50009,Essex,Howie Hawkins,7
50009,Essex,Jerome Segal,1
50009,Essex,Jo Jorgensen,40
50009,Essex,Joseph R. Biden,1405
50009,Essex,Kanye West,8
50009,Essex,Keith Mccormic,3
50009,Essex,Kyle Kenley Kopi,0
50009,Essex,Phil Collins,2
50009,Essex,Richard Duncan,4
50009,Essex,Rocky De La Fuente,1
50009,Essex,Zachary Scalf,0
50009,Essex,Write-in,18
50009,Essex,overvotes,2
50009,Essex,blank votes,27       
50011,Franklin,Alyson Kennedy,15
50011,Franklin,Blake Huber,5
50011,Franklin,Brian Carroll,24
50011,Franklin,Brock Pierce,5
50011,Franklin,Christopher Lafo,66
50011,Franklin,Don Blankenship,16
50011,Franklin,Donald J. Trump,11274
50011,Franklin,Gary Swing,9
50011,Franklin,Gloria La Riva,6
50011,Franklin,H. Brooke Paige,120
50011,Franklin,Howie Hawkins,59
50011,Franklin,Jerome Segal,4
50011,Franklin,Jo Jorgensen,335
50011,Franklin,Joseph R. Biden,13611
50011,Franklin,Kanye West,96
50011,Franklin,Keith Mccormic,5
50011,Franklin,Kyle Kenley Kopi,6
50011,Franklin,Phil Collins,11
50011,Franklin,Richard Duncan,20
50011,Franklin,Rocky De La Fuente,2
50011,Franklin,Zachary Scalf,1
50011,Franklin,Write-in,140
50011,Franklin,overvotes,19
50011,Franklin,blank votes,235       
50013,Grand Isle,Alyson Kennedy,1
50013,Grand Isle,Blake Huber,3
50013,Grand Isle,Brian Carroll,1
50013,Grand Isle,Brock Pierce,2
50013,Grand Isle,Christopher Lafo,11
50013,Grand Isle,Don Blankenship,4
50013,Grand Isle,Donald J. Trump,1810
50013,Grand Isle,Gary Swing,1
50013,Grand Isle,Gloria La Riva,0
50013,Grand Isle,H. Brooke Paige,12
50013,Grand Isle,Howie Hawkins,12
50013,Grand Isle,Jerome Segal,0
50013,Grand Isle,Jo Jorgensen,35
50013,Grand Isle,Joseph R. Biden,2905
50013,Grand Isle,Kanye West,13
50013,Grand Isle,Keith Mccormic,2
50013,Grand Isle,Kyle Kenley Kopi,1
50013,Grand Isle,Phil Collins,1
50013,Grand Isle,Richard Duncan,3
50013,Grand Isle,Rocky De La Fuente,0
50013,Grand Isle,Zachary Scalf,0
50013,Grand Isle,Write-in,34
50013,Grand Isle,overvotes,1
