fips,county,candidate,votes
56001,Albany,Donald J. Trump,8579
56001,Albany,Joseph R. Biden,9092
56001,Albany,Jo Jorgensen,595
56001,Albany,Brock Pierce,178
56001,Albany,Write-in,173
56003,Big Horn,Donald J. Trump,4806
56003,Big Horn,Joseph R. Biden,788
56003,Big Horn,Jo Jorgensen,74
56003,Big Horn,Brock Pierce,46
56003,Big Horn,Write-in,38
56005,Campbell,Donald J. Trump,16975
56005,Campbell,Joseph R. Biden,1935
56005,Campbell,Jo Jorgensen,434
56005,Campbell,Brock Pierce,120
56005,Campbell,Write-in,102
56007,Carbon,Donald J. Trump,5014
56007,Carbon,Joseph R. Biden,1427
56007,Carbon,Jo Jorgensen,142
56007,Carbon,Brock Pierce,49
56007,Carbon,Write-in,32
56009,Converse,Donald J. Trump,5917
56009,Converse,Joseph R. Biden,861
56009,Converse,Jo Jorgensen,121
56009,Converse,Brock Pierce,43
56009,Converse,Write-in,28
56011,Crook,Donald J. Trump,3651
56011,Crook,Joseph R. Biden,378
56011,Crook,Jo Jorgensen,57
56011,Crook,Brock Pierce,19
56011,Crook,Write-in,14
56013,Fremont,Donald J. Trump,12007
56013,Fremont,Joseph R. Biden,5519
56013,Fremont,Jo Jorgensen,321
56013,Fremont,Brock Pierce,157
56013,Fremont,Write-in,107
56015,Goshen,Donald J. Trump,4878
56015,Goshen,Joseph R. Biden,1203
56015,Goshen,Jo Jorgensen,86
56015,Goshen,Brock Pierce,43
56015,Goshen,Write-in,31
56017,Hot Springs,Donald J. Trump,1999
56017,Hot Springs,Joseph R. Biden,482
56017,Hot Springs,Jo Jorgensen,61
56017,Hot Springs,Brock Pierce,24
56017,Hot Springs,Write-in,11
56019,Johnson,Donald J. Trump,3881
56019,Johnson,Joseph R. Biden,897
56019,Johnson,Jo Jorgensen,86
56019,Johnson,Brock Pierce,27
56019,Johnson,Write-in,23
56021,Laramie,Donald J. Trump,27891
56021,Laramie,Joseph R. Biden,15217
56021,Laramie,Jo Jorgensen,1063
56021,Laramie,Brock Pierce,491
56021,Laramie,Write-in,320
56023,Lincoln,Donald J. Trump,8643
56023,Lincoln,Joseph R. Biden,1509
56023,Lincoln,Jo Jorgensen,167
56023,Lincoln,Brock Pierce,71
56023,Lincoln,Write-in,78
56025,Natrona,Donald J. Trump,25271
56025,Natrona,Joseph R. Biden,8530
56025,Natrona,Jo Jorgensen,895
56025,Natrona,Brock Pierce,294
56025,Natrona,Write-in,212
56027,Niobrara,Donald J. Trump,1118
56027,Niobrara,Joseph R. Biden,155
56027,Niobrara,Jo Jorgensen,21
56027,Niobrara,Brock Pierce,11
56027,Niobrara,Write-in,3
56029,Park,Donald J. Trump,12813
56029,Park,Joseph R. Biden,3410
56029,Park,Jo Jorgensen,282
56029,Park,Brock Pierce,97
56029,Park,Write-in,115
56031,Platte,Donald J. Trump,3898
56031,Platte,Joseph R. Biden,890
56031,Platte,Jo Jorgensen,65
56031,Platte,Brock Pierce,49
56031,Platte,Write-in,21
56033,Sheridan,Donald J. Trump,11843
56033,Sheridan,Joseph R. Biden,4043
56033,Sheridan,Jo Jorgensen,339
56033,Sheridan,Brock Pierce,114
56033,Sheridan,Write-in,23
56035,Sublette,Donald J. Trump,3957
56035,Sublette,Joseph R. Biden,882
56035,Sublette,Jo Jorgensen,71
56035,Sublette,Brock Pierce,37
56035,Sublette,Write-in,23
56037,Sweetwater,Donald J. Trump,12229
56037,Sweetwater,Joseph R. Biden,3823
56037,Sweetwater,Jo Jorgensen,350
56037,Sweetwater,Brock Pierce,118
56037,Sweetwater,Write-in,83
56039,Teton,Donald J. Trump,4341
56039,Teton,Joseph R. Biden,9848
56039,Teton,Jo Jorgensen,255
56039,Teton,Brock Pierce,89
56039,Teton,Write-in,144
56041,Uinta,Donald J. Trump,7496
56041,Uinta,Joseph R. Biden,1591
56041,Uinta,Jo Jorgensen,172
56041,Uinta,Brock Pierce,79
56041,Uinta,Write-in,64
56043,Washakie,Donald J. Trump,3245
56043,Washakie,Joseph R. Biden,651
56043,Washakie,Jo Jorgensen,65
56043,Washakie,Brock Pierce,32
56043,Washakie,Write-in,19
56045,Weston,Donald J. Trump,3107
56045,Weston,Joseph R. Biden,360
56045,Weston,Jo Jorgensen,46
56045,Weston,Brock Pierce,20
56045,Weston,Write-in,9
