"COCONINO COUNTY
GENERAL ELECTION
NOVEMBER 3, 2020
SUMMARY OF FINAL RESULTS";;TOTAL;FLAGSTAFF 1;FLAGSTAFF 2;FLAGSTAFF 3;FLAGSTAFF 4;FLAGSTAFF 5;FLAGSTAFF 6;FLAGSTAFF 7;FLAGSTAFF 8;FLAGSTAFF 9;FLAGSTAFF 10;FLAGSTAFF 11;FLAGSTAFF 12;FLAGSTAFF 13;FLAGSTAFF 14;FLAGSTAFF 15;FLAGSTAFF 16;FLAGSTAFF 17;FLAGSTAFF 18;FLAGSTAFF 19;FLAGSTAFF 20;FLAGSTAFF 21;FLAGSTAFF 22;FLAGSTAFF 23;FLAGSTAFF 24;FLAGSTAFF 25;FLAGSTAFF 26;BELLEMONT 40;BLUE RIDGE 41;BODAWAY 42;CAMERON 43;COPPERMINE 47;COALMINE 48;DONEY PARK 50;SCHULTZ 51;TIMBERLINE FERNWOOD 52;FOREST LAKES 53;FORT VALLEY EAST 55;FORT VALLEY WEST 56;FREDONIA 58;GRAND CANYON 59;HAVASUPAI 60;INSCRIPTION HOUSE 61;PUMPHOUSE WASH 62;MORMON LAKE 63;KAIBAB NORTH 64;KAIBETO 65;KAIBAB WEST 66;LECHEE 67;LEUPP 69;MOENKOPI 70;NAVAJO MOUNTAIN 71;PAGE CENTRAL 72;PAGE EAST 73;PAGE SOUTH 74;PAGE WEST 75;PARKS 79;PINEWOOD 80;SEDONA NORTH 82;SEDONA SOUTH 83;RANCHES 84;SUNSET CRATER 85;MOUNTAIN VIEW 86;TOLANI LAKE 88;TONALEA 90;WINONA 92;TUBA CITY NORTHEAST 93;TUBA CITY NORTHWEST 94;TUBA CITY SOUTH 95;TUSAYAN 97;WILLIAMS NORTHSIDE 98;WILLIAMS SOUTHSIDE 99
RACE;CANDIDATE;TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRESIDENTIAL ELECTOR;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
PRESIDENTIAL ELECTOR;BALLOTS CAST;73968;1567;1290;951;1527;2017;1808;1330;824;1675;203;861;1090;326;1234;2351;1761;619;681;1665;576;2062;2721;1519;2602;1814;999;638;615;763;816;426;214;1826;77;1678;153;321;691;612;672;63;475;2849;184;19;984;584;752;1067;296;99;830;850;635;966;1023;897;801;1433;494;1707;246;319;1432;1586;810;672;2721;607;2134;858
PRESIDENTIAL ELECTOR;BIDEN/HARRIS;44698;1178;1060;798;1149;1342;1091;860;611;1193;162;595;872;248;903;1622;1181;382;382;1000;427;1303;1658;994;1502;1119;549;282;143;566;653;319;186;752;39;688;40;197;363;116;495;57;307;1696;61;4;735;135;534;844;257;71;350;313;330;387;303;316;456;797;228;692;101;269;1140;694;654;564;2302;258;525;298
PRESIDENTIAL ELECTOR;TRUMP/PENCE;27052;357;202;125;347;623;655;418;196;405;35;240;174;63;282;647;533;216;279;612;118;699;973;455;1032;645;411;338;467;174;140;88;23;1019;36;946;111;117;307;482;149;5;154;1063;114;12;218;430;186;198;26;19;452;519;285;544;700;552;331;607;252;966;141;40;241;848;136;83;350;335;1568;538
PRESIDENTIAL ELECTOR;JORGENSEN/COHEN;1522;20;16;20;20;31;43;45;10;56;5;16;31;13;38;52;32;11;15;34;18;45;62;52;43;40;31;14;3;17;20;16;3;41;1;29;2;3;9;7;21;1;11;63;3;1;23;13;25;17;7;6;17;12;11;23;16;19;7;15;7;39;2;5;36;31;12;16;45;9;33;12
PRESIDENTIAL ELECTOR;Write-in;360;10;5;4;4;10;10;2;4;18;1;7;10;1;6;21;9;3;4;8;9;10;13;9;10;6;3;3;0;1;0;0;2;10;0;7;0;1;7;3;3;0;1;18;4;2;1;1;3;1;3;0;6;3;6;7;1;2;5;11;6;5;0;0;6;8;0;6;10;3;4;3
PRESIDENTIAL ELECTOR;OVER VOTES;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;2;0;0;1;0;0;0;0;2;0;0;1;0;0;0;2;0;2;2;1;3;0;1;0;1;0;2;0;0;0;0;1;2;3;1;1;2;5;0;0;0
PRESIDENTIAL ELECTOR;UNDER VOTES;296;2;7;4;7;11;9;5;3;3;0;3;3;1;5;9;6;6;1;11;4;4;15;9;15;4;5;1;2;3;2;1;0;4;0;8;0;3;5;2;4;0;1;9;2;0;5;5;2;5;2;0;5;2;3;4;3;6;2;3;1;5;1;3;6;4;7;1;9;2;4;7
U.S. SENATOR;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
