county,Joseph R. Biden,Donald J. Trump,Don Blankenship,Bill Hammons,Howie Hawkins,Blake Huber,Jo Jorgensen,Brian Carroll,Mark Charles,Phil Collins,Rocky De La Fuente,Dario Hunter,Princess Khadijah Maryam Jacob-Fambro,Alyson Kennedy,Joseph Kishore,Kyle Kenley Kopitke,Gloria La Riva,Joe McHugh,Brock Pierce,Jordan ''Cancer'' Scott,Kanye West
Adams,134202,95657,455,264,744,37,3731,160,197,46,72,38,40,24,13,102,90,60,51,23,729
Alamosa,3759,3813,22,6,23,1,90,7,11,2,5,1,0,5,2,3,3,4,3,0,48
Arapahoe,213607,127323,503,328,926,41,5423,297,189,63,67,45,65,41,25,94,118,58,45,17,908
Archuleta,3738,5189,20,9,19,1,120,7,6,1,0,0,3,0,0,2,2,2,5,0,20
Baca,317,1867,2,0,3,2,26,3,0,1,0,0,0,0,0,0,0,0,0,0,4
Bent,732,1503,5,0,6,1,15,0,0,0,3,0,0,0,1,0,0,0,1,0,7
Boulder,159089,42501,219,122,697,22,2539,143,75,19,23,26,24,24,12,22,103,20,33,7,391
Broomfield,29077,16295,74,46,104,2,772,50,23,6,8,5,2,7,1,10,14,13,13,4,106
Chaffee,7160,6222,20,10,46,2,189,14,11,3,2,1,4,1,0,3,2,3,1,1,22
Cheyenne,131,993,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Clear Creek,3604,2754,10,3,23,1,113,5,7,3,2,5,1,0,1,1,2,3,0,0,10
Conejos,1959,2286,15,1,9,0,34,2,5,1,4,0,2,0,1,0,2,2,0,0,10
Costilla,1311,741,8,2,4,0,15,0,2,0,1,1,0,0,2,1,1,0,0,0,5
Crowley,437,1271,3,3,0,0,22,0,2,1,0,0,2,0,0,0,0,1,0,0,8
Custer,1112,2474,5,4,5,0,29,2,1,1,0,0,0,0,0,0,0,1,0,0,0
Delta,5887,13081,34,11,45,9,218,6,12,5,3,4,2,1,1,7,2,4,5,1,32
Denver,313293,71618,314,222,1230,55,4870,242,181,63,60,49,87,61,39,70,287,34,60,16,976
Dolores,341,1089,5,1,1,0,5,0,2,0,0,0,0,0,0,0,0,2,0,0,3
Douglas,104653,121270,303,209,432,14,3715,199,76,21,32,10,20,10,5,38,30,38,39,9,476
Eagle,18588,9892,34,32,78,2,377,10,16,3,3,3,1,4,1,5,3,3,6,0,79
El Paso,161941,202828,702,360,1135,35,9264,467,299,77,94,47,73,43,19,87,90,89,69,33,1097
Elbert,4490,14027,30,15,31,4,306,6,11,3,1,6,2,1,0,4,4,4,4,1,33
Fremont,7369,17517,60,22,59,1,397,11,24,11,1,3,4,3,0,5,5,5,6,0,54
Garfield,15427,14717,60,26,99,5,424,11,21,5,1,4,2,3,2,8,3,4,7,0,75
Gilpin,2223,1833,10,2,17,0,70,0,9,1,1,1,2,0,0,1,1,1,1,1,12
Grand,4710,4883,18,4,31,1,174,4,5,1,3,3,4,0,0,3,0,2,0,1,23
Gunnison,7132,3735,13,7,39,0,210,7,8,0,0,3,2,3,1,0,1,1,5,0,23
Hinsdale,255,353,4,0,1,0,10,3,1,0,1,0,0,0,0,0,0,0,0,0,4
Huerfano,2076,2203,9,2,12,1,71,3,5,3,2,0,0,2,4,0,2,1,0,0,10
Jackson,175,681,2,1,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Jefferson,218396,148417,631,318,1089,39,6394,309,231,64,63,35,51,40,21,101,84,76,82,16,900
Kiowa,98,795,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kit Carson,662,3144,11,2,2,0,34,2,1,0,0,0,2,2,0,1,0,2,2,0,4
La Plata,20548,14233,37,23,128,4,530,11,29,5,8,2,4,3,2,9,5,5,2,0,79
Lake,2303,1497,4,4,23,0,101,1,0,2,3,3,0,1,0,1,1,0,0,0,17
Larimer,126120,91489,372,195,727,20,4089,258,136,36,55,33,29,24,12,48,60,45,33,8,549
Las Animas,3497,4284,19,5,17,0,86,5,7,5,1,1,2,1,0,6,1,3,0,0,21
Lincoln,470,2135,7,1,1,1,26,1,3,0,0,0,0,0,0,2,0,0,1,0,3
Logan,2218,8087,18,4,16,1,139,5,9,4,2,0,2,2,1,0,1,2,1,0,20
