fips,county,candidate,votes
,Andover,Joe R. Biden,1058
,Andover,Howie Hawkins,8
,Andover,Kanye West,0
,Andover,Brian T. Carroll,0
,Andover,Jade Simmons,0
,Andover,Donald J. Trump,998
,Andover,Rocky De la Fuenta,0
,Andover,Jeffrey John Klojzy Jr.,0
,Andover,Shawn W. Howard,0
,Andover,Mark Charles,0
,Andover,Kasey Wells,0
,Andover,Mary Ruth Caro Simmons,0
,Andover,Karynn Weinstein,0
,Andover,Jo Jorgensen,27
,Ansonia,Rocky De la Fuenta,0
,Ansonia,Shawn W. Howard,0
,Ansonia,Jo Jorgensen,63
,Ansonia,Jeffrey John Klojzy Jr.,0
,Ansonia,Mary Ruth Caro Simmons,0
,Ansonia,Donald J. Trump,3797
,Ansonia,Jade Simmons,0
,Ansonia,Karynn Weinstein,0
,Ansonia,Brian T. Carroll,0
,Ansonia,Kasey Wells,0
,Ansonia,Kanye West,1
,Ansonia,Mark Charles,0
,Ansonia,Howie Hawkins,37
,Ansonia,Joe R. Biden,4521
,Ashford,Jade Simmons,0
,Ashford,Kasey Wells,0
,Ashford,Karynn Weinstein,0
,Ashford,Donald J. Trump,1160
,Ashford,Mary Ruth Caro Simmons,0
,Ashford,Brian T. Carroll,0
,Ashford,Howie Hawkins,17
,Ashford,Jeffrey John Klojzy Jr.,0
,Ashford,Rocky De la Fuenta,0
,Ashford,Jo Jorgensen,35
,Ashford,Shawn W. Howard,0
,Ashford,Kanye West,1
,Ashford,Joe R. Biden,1330
,Ashford,Mark Charles,1
,Avon,Rocky De la Fuenta,0
,Avon,Jeffrey John Klojzy Jr.,0
,Avon,Mary Ruth Caro Simmons,0
,Avon,Shawn W. Howard,0
,Avon,Donald J. Trump,4469
,Avon,Kasey Wells,0
,Avon,Jo Jorgensen,169
,Avon,Mark Charles,0
,Avon,Howie Hawkins,49
,Avon,Brian T. Carroll,0
,Avon,Jade Simmons,0
,Avon,Kanye West,1
,Avon,Karynn Weinstein,0
,Avon,Joe R. Biden,7299
,Barkhamsted,Kasey Wells,0
,Barkhamsted,Jo Jorgensen,42
,Barkhamsted,Brian T. Carroll,2
,Barkhamsted,Rocky De la Fuenta,0
,Barkhamsted,Karynn Weinstein,0
,Barkhamsted,Mary Ruth Caro Simmons,0
,Barkhamsted,Jade Simmons,0
,Barkhamsted,Kanye West,0
,Barkhamsted,Mark Charles,0
,Barkhamsted,Donald J. Trump,1228
,Barkhamsted,Howie Hawkins,16
,Barkhamsted,Shawn W. Howard,0
,Barkhamsted,Joe R. Biden,1154
,Barkhamsted,Jeffrey John Klojzy Jr.,0
,Beacon Falls,Kasey Wells,0
,Beacon Falls,Shawn W. Howard,0
,Beacon Falls,Rocky De la Fuenta,0
,Beacon Falls,Jo Jorgensen,57
,Beacon Falls,Karynn Weinstein,0
,Beacon Falls,Mary Ruth Caro Simmons,0
,Beacon Falls,Jeffrey John Klojzy Jr.,0
,Beacon Falls,Joe R. Biden,1543
,Beacon Falls,Brian T. Carroll,0
,Beacon Falls,Howie Hawkins,12
,Beacon Falls,Mark Charles,0
,Beacon Falls,Jade Simmons,0
,Beacon Falls,Kanye West,0
,Beacon Falls,Donald J. Trump,2191
,Berlin,Donald J. Trump,6687
,Berlin,Rocky De la Fuenta,0
,Berlin,Joe R. Biden,6008
,Berlin,Jade Simmons,0
,Berlin,Brian T. Carroll,0
,Berlin,Kanye West,1
,Berlin,Howie Hawkins,41
,Berlin,Jo Jorgensen,136
,Berlin,Shawn W. Howard,0
,Berlin,Mark Charles,0
,Berlin,Jeffrey John Klojzy Jr.,0
,Berlin,Kasey Wells,0
,Berlin,Karynn Weinstein,0
,Berlin,Mary Ruth Caro Simmons,0
,Bethany,Brian T. Carroll,0
,Bethany,Karynn Weinstein,0
,Bethany,Jo Jorgensen,46
,Bethany,Donald J. Trump,1718
,Bethany,Mark Charles,0
,Bethany,Joe R. Biden,1912
,Bethany,Shawn W. Howard,0
,Bethany,Rocky De la Fuenta,0
,Bethany,Jade Simmons,0
,Bethany,Kanye West,0
,Bethany,Howie Hawkins,22
,Bethany,Mary Ruth Caro Simmons,0
,Bethany,Jeffrey John Klojzy Jr.,0
,Bethany,Kasey Wells,0
,Bethel,Brian T. Carroll,2
,Bethel,Shawn W. Howard,0
,Bethel,Jade Simmons,0
,Bethel,Jeffrey John Klojzy Jr.,0
,Bethel,Rocky De la Fuenta,0
,Bethel,Kanye West,1
,Bethel,Howie Hawkins,51
,Bethel,Kasey Wells,0
,Bethel,Joe R. Biden,6270
,Bethel,Mary Ruth Caro Simmons,0
,Bethel,Donald J. Trump,4734
,Bethel,Mark Charles,0
,Bethel,Jo Jorgensen,114
,Bethel,Karynn Weinstein,0
,Bethlehem,Rocky De la Fuenta,0
,Bethlehem,Mark Charles,0
,Bethlehem,Brian T. Carroll,0
,Bethlehem,Jade Simmons,0
,Bethlehem,Karynn Weinstein,0
,Bethlehem,Kanye West,1
,Bethlehem,Mary Ruth Caro Simmons,0
,Bethlehem,Jeffrey John Klojzy Jr.,0
,Bethlehem,Howie Hawkins,15
,Bethlehem,Joe R. Biden,937
,Bethlehem,Shawn W. Howard,0
,Bethlehem,Donald J. Trump,1393
,Bethlehem,Jo Jorgensen,21
,Bethlehem,Kasey Wells,0
,Bloomfield,Mary Ruth Caro Simmons,0
,Bloomfield,Kanye West,2
,Bloomfield,Mark Charles,0
,Bloomfield,Karynn Weinstein,0
,Bloomfield,Donald J. Trump,1698
,Bloomfield,Rocky De la Fuenta,0
,Bloomfield,Howie Hawkins,34
,Bloomfield,Jo Jorgensen,78
,Bloomfield,Kasey Wells,0
,Bloomfield,Jade Simmons,1
,Bloomfield,Brian T. Carroll,1
,Bloomfield,Jeffrey John Klojzy Jr.,0
,Bloomfield,Shawn W. Howard,0
,Bloomfield,Joe R. Biden,11007
,Bolton,Jade Simmons,2
,Bolton,Donald J. Trump,1482
