fips,county,candidate,votes
,Adair,Donald J. Trump,2917
,Adair,Joseph R. Biden,1198
,Adair,Rocky De La Fuente,6
,Adair,Don Blankenship,4
,Adair,Ricki Sue King,0
,Adair,Howie Hawkins,4
,Adair,Jo Jorgensen,35
,Adair,Brock Pierce,1
,Adair,Kanye West,7
,Adair,Write-in,5
,Adair,Undervotes,22
,Adair,Overvotes,6
,Adams,Donald J. Trump,1530
,Adams,Joseph R. Biden,590
,Adams,Rocky De La Fuente,2
,Adams,Don Blankenship,3
,Adams,Ricki Sue King,0
,Adams,Howie Hawkins,1
,Adams,Jo Jorgensen,27
,Adams,Brock Pierce,0
,Adams,Kanye West,2
,Adams,Write-in,5
,Adams,Undervotes,13
,Adams,Overvotes,1
,Allamakee,Donald J. Trump,4735
,Allamakee,Joseph R. Biden,2576
,Allamakee,Rocky De La Fuente,4
,Allamakee,Don Blankenship,12
,Allamakee,Ricki Sue King,1
,Allamakee,Howie Hawkins,4
,Allamakee,Jo Jorgensen,71
,Allamakee,Brock Pierce,5
,Allamakee,Kanye West,5
,Allamakee,Write-in,9
,Allamakee,Undervotes,40
,Allamakee,Overvotes,17
,Appanoose,Donald J. Trump,4512
,Appanoose,Joseph R. Biden,1891
,Appanoose,Rocky De La Fuente,2
,Appanoose,Don Blankenship,5
,Appanoose,Ricki Sue King,5
,Appanoose,Howie Hawkins,9
,Appanoose,Jo Jorgensen,72
,Appanoose,Brock Pierce,4
,Appanoose,Kanye West,6
,Appanoose,Write-in,10
,Appanoose,Undervotes,18
,Appanoose,Overvotes,19
,Audubon,Donald J. Trump,2295
,Audubon,Joseph R. Biden,1071
,Audubon,Rocky De La Fuente,1
,Audubon,Don Blankenship,5
,Audubon,Ricki Sue King,0
,Audubon,Howie Hawkins,7
,Audubon,Jo Jorgensen,32
,Audubon,Brock Pierce,3
,Audubon,Kanye West,2
,Audubon,Write-in,4
,Audubon,Undervotes,27
,Audubon,Overvotes,8
,Benton,Donald J. Trump,9188
,Benton,Joseph R. Biden,5160
,Benton,Rocky De La Fuente,13
,Benton,Don Blankenship,21
,Benton,Ricki Sue King,3
,Benton,Howie Hawkins,29
,Benton,Jo Jorgensen,186
,Benton,Brock Pierce,3
,Benton,Kanye West,19
,Benton,Write-in,20
,Benton,Undervotes,77
,Benton,Overvotes,17
,Black Hawk,Donald J. Trump,29640
,Black Hawk,Joseph R. Biden,35647
,Black Hawk,Rocky De La Fuente,54
,Black Hawk,Don Blankenship,67
,Black Hawk,Ricki Sue King,20
,Black Hawk,Howie Hawkins,103
,Black Hawk,Jo Jorgensen,722
,Black Hawk,Brock Pierce,21
,Black Hawk,Kanye West,146
,Black Hawk,Write-in,173
,Black Hawk,Undervotes,262
,Black Hawk,Overvotes,115
,Boone,Donald J. Trump,8695
,Boone,Joseph R. Biden,6303
,Boone,Rocky De La Fuente,15
,Boone,Don Blankenship,19
,Boone,Ricki Sue King,7
,Boone,Howie Hawkins,24
,Boone,Jo Jorgensen,198
,Boone,Brock Pierce,11
,Boone,Kanye West,34
,Boone,Write-in,34
,Boone,Undervotes,63
,Boone,Overvotes,20
,Bremer,Donald J. Trump,8294
,Bremer,Joseph R. Biden,5958
,Bremer,Rocky De La Fuente,8
,Bremer,Don Blankenship,19
,Bremer,Ricki Sue King,4
,Bremer,Howie Hawkins,24
,Bremer,Jo Jorgensen,185
,Bremer,Brock Pierce,4
,Bremer,Kanye West,20
,Bremer,Write-in,30
,Bremer,Undervotes,59
,Bremer,Overvotes,22
,Buchanan,Donald J. Trump,6420
,Buchanan,Joseph R. Biden,4169
,Buchanan,Rocky De La Fuente,14
,Buchanan,Don Blankenship,19
,Buchanan,Ricki Sue King,4
,Buchanan,Howie Hawkins,20
,Buchanan,Jo Jorgensen,96
,Buchanan,Brock Pierce,0
,Buchanan,Kanye West,22
,Buchanan,Write-in,10
,Buchanan,Undervotes,90
,Buchanan,Overvotes,15
,Buena Vista,Donald J. Trump,5056
,Buena Vista,Joseph R. Biden,2961
,Buena Vista,Rocky De La Fuente,15
,Buena Vista,Don Blankenship,15
,Buena Vista,Ricki Sue King,3
,Buena Vista,Howie Hawkins,10
,Buena Vista,Jo Jorgensen,66
,Buena Vista,Brock Pierce,3
,Buena Vista,Kanye West,20
,Buena Vista,Write-in,18
,Buena Vista,Undervotes,60
,Buena Vista,Overvotes,39
,Butler,Donald J. Trump,5542
,Butler,Joseph R. Biden,2424
,Butler,Rocky De La Fuente,4
,Butler,Don Blankenship,8
,Butler,Ricki Sue King,3
,Butler,Howie Hawkins,14
,Butler,Jo Jorgensen,68
,Butler,Brock Pierce,8
,Butler,Kanye West,13
