county,candidate,votes
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,582
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,20
Adams,Joe Schriner,0
Adams,Joseph R. Biden,136
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,605
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,26
Adams,Joe Schriner,0
Adams,Joseph R. Biden,132
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,561
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,6
Adams,Joe Schriner,0
Adams,Joseph R. Biden,128
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,212
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,4
Adams,Joe Schriner,0
Adams,Joseph R. Biden,24
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,689
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,36
Adams,Joe Schriner,0
Adams,Joseph R. Biden,346
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,656
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,32
Adams,Joe Schriner,0
Adams,Joseph R. Biden,371
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,368
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,18
Adams,Joe Schriner,0
Adams,Joseph R. Biden,205
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,459
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,4
Adams,Joe Schriner,0
Adams,Joseph R. Biden,186
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,726
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,35
Adams,Joe Schriner,0
Adams,Joseph R. Biden,356
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,619
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,13
Adams,Joe Schriner,0
Adams,Joseph R. Biden,227
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,337
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,3
Adams,Joe Schriner,0
Adams,Joseph R. Biden,37
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,409
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,13
Adams,Joe Schriner,0
Adams,Joseph R. Biden,137
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,305
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,3
Adams,Joe Schriner,0
Adams,Joseph R. Biden,56
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,143
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,1
Adams,Joe Schriner,0
Adams,Joseph R. Biden,21
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,414
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,7
Adams,Joe Schriner,0
Adams,Joseph R. Biden,74
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,68
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,2
Adams,Joe Schriner,0
Adams,Joseph R. Biden,19
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,304
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,6
Adams,Joe Schriner,0
Adams,Joseph R. Biden,81
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,281
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,6
Adams,Joe Schriner,0
Adams,Joseph R. Biden,57
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,491
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,12
