county,candidate,votes
Allen,Joseph R. Biden,32
Allen,Donald J. Trump,134
Allen,Jo Jorgensen,4
Allen,Joseph R. Biden,18
Allen,Donald J. Trump,101
Allen,Jo Jorgensen,2
Allen,Joseph R. Biden,11
Allen,Donald J. Trump,60
Allen,Jo Jorgensen,1
Allen,Joseph R. Biden,45
Allen,Donald J. Trump,237
Allen,Jo Jorgensen,2
Allen,Joseph R. Biden,12
Allen,Donald J. Trump,65
Allen,Jo Jorgensen,0
Allen,Joseph R. Biden,25
Allen,Donald J. Trump,137
Allen,Jo Jorgensen,4
Allen,Joseph R. Biden,0
Allen,Donald J. Trump,0
Allen,Jo Jorgensen,0
Allen,Joseph R. Biden,0
Allen,Donald J. Trump,0
Allen,Jo Jorgensen,0
Allen,Joseph R. Biden,141
Allen,Donald J. Trump,281
Allen,Jo Jorgensen,9
Allen,Joseph R. Biden,133
Allen,Donald J. Trump,279
Allen,Jo Jorgensen,11
Allen,Joseph R. Biden,173
Allen,Donald J. Trump,316
Allen,Jo Jorgensen,7
Allen,Joseph R. Biden,176
Allen,Donald J. Trump,447
Allen,Jo Jorgensen,8
Allen,Joseph R. Biden,0
Allen,Donald J. Trump,0
Allen,Jo Jorgensen,0
Allen,Joseph R. Biden,171
Allen,Donald J. Trump,325
Allen,Jo Jorgensen,14
Allen,Joseph R. Biden,165
Allen,Donald J. Trump,363
Allen,Jo Jorgensen,13
Allen,Joseph R. Biden,88
Allen,Donald J. Trump,284
Allen,Jo Jorgensen,6
Allen,Joseph R. Biden,16
Allen,Donald J. Trump,76
Allen,Jo Jorgensen,1
Allen,Joseph R. Biden,32
Allen,Donald J. Trump,108
Allen,Jo Jorgensen,3
Allen,Joseph R. Biden,0
Allen,Donald J. Trump,0
Allen,Jo Jorgensen,0
Allen,Joseph R. Biden,0
Allen,Donald J. Trump,0
Allen,Jo Jorgensen,0
Allen,Joseph R. Biden,35
Allen,Donald J. Trump,107
Allen,Jo Jorgensen,0
Allen,Joseph R. Biden,43
Allen,Donald J. Trump,110
Allen,Jo Jorgensen,1
Allen,Joseph R. Biden,19
Allen,Donald J. Trump,68
Allen,Jo Jorgensen,1
Allen,Joseph R. Biden,69
Allen,Donald J. Trump,241
Allen,Jo Jorgensen,7
Allen,Joseph R. Biden,0
Allen,Donald J. Trump,0
Allen,Jo Jorgensen,0
Allen,Joseph R. Biden,141
Allen,Donald J. Trump,388
Allen,Jo Jorgensen,9
Allen,Joseph R. Biden,25
Allen,Donald J. Trump,91
Allen,Jo Jorgensen,1
Allen,Joseph R. Biden,0
Allen,Donald J. Trump,0
Allen,Jo Jorgensen,0
Anderson,Joseph R. Biden,136
Anderson,Donald J. Trump,398
Anderson,Jo Jorgensen,10
Anderson,Joseph R. Biden,0
Anderson,Donald J. Trump,0
Anderson,Jo Jorgensen,0
Anderson,Joseph R. Biden,107
Anderson,Donald J. Trump,375
Anderson,Jo Jorgensen,23
Anderson,Joseph R. Biden,88
Anderson,Donald J. Trump,268
Anderson,Jo Jorgensen,6
Anderson,Joseph R. Biden,17
Anderson,Donald J. Trump,70
Anderson,Jo Jorgensen,6
Anderson,Joseph R. Biden,12
Anderson,Donald J. Trump,57
Anderson,Jo Jorgensen,0
Anderson,Joseph R. Biden,18
Anderson,Donald J. Trump,92
Anderson,Jo Jorgensen,1
Anderson,Joseph R. Biden,34
Anderson,Donald J. Trump,155
Anderson,Jo Jorgensen,3
Anderson,Joseph R. Biden,49
Anderson,Donald J. Trump,126
Anderson,Jo Jorgensen,6
Anderson,Joseph R. Biden,19
Anderson,Donald J. Trump,114
Anderson,Jo Jorgensen,5
Anderson,Joseph R. Biden,26
Anderson,Donald J. Trump,118
Anderson,Jo Jorgensen,0
Anderson,Joseph R. Biden,36
Anderson,Donald J. Trump,110
Anderson,Jo Jorgensen,2
Anderson,Joseph R. Biden,21
Anderson,Donald J. Trump,105
Anderson,Jo Jorgensen,2
Anderson,Joseph R. Biden,50
Anderson,Donald J. Trump,234
Anderson,Jo Jorgensen,3
Anderson,Joseph R. Biden,30
Anderson,Donald J. Trump,144
Anderson,Jo Jorgensen,0
Anderson,Joseph R. Biden,75
Anderson,Donald J. Trump,253
Anderson,Jo Jorgensen,6
Anderson,Joseph R. Biden,28
Anderson,Donald J. Trump,123
Anderson,Jo Jorgensen,4
Anderson,Joseph R. Biden,36
Anderson,Donald J. Trump,187
Anderson,Jo Jorgensen,4
Atchison,Joseph R. Biden,95
Atchison,Donald J. Trump,194
Atchison,Jo Jorgensen,3
Atchison,Joseph R. Biden,115
Atchison,Donald J. Trump,190
Atchison,Jo Jorgensen,5
Atchison,Joseph R. Biden,143
Atchison,Donald J. Trump,188
Atchison,Jo Jorgensen,14
Atchison,Joseph R. Biden,222
Atchison,Donald J. Trump,342
Atchison,Jo Jorgensen,15
Atchison,Joseph R. Biden,378
Atchison,Donald J. Trump,578
Atchison,Jo Jorgensen,31
Atchison,Joseph R. Biden,231
Atchison,Donald J. Trump,281
Atchison,Jo Jorgensen,3
Atchison,Joseph R. Biden,0
Atchison,Donald J. Trump,0
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,0
Atchison,Donald J. Trump,0
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,268
Atchison,Donald J. Trump,387
Atchison,Jo Jorgensen,30
Atchison,Joseph R. Biden,0
Atchison,Donald J. Trump,0
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,0
Atchison,Donald J. Trump,0
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,148
Atchison,Donald J. Trump,249
Atchison,Jo Jorgensen,12
Atchison,Joseph R. Biden,0
Atchison,Donald J. Trump,0
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,0
Atchison,Donald J. Trump,0
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,0
Atchison,Donald J. Trump,0
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,71
Atchison,Donald J. Trump,282
Atchison,Jo Jorgensen,4
Atchison,Joseph R. Biden,34
Atchison,Donald J. Trump,284
Atchison,Jo Jorgensen,10
Atchison,Joseph R. Biden,23
Atchison,Donald J. Trump,85
Atchison,Jo Jorgensen,4
Atchison,Joseph R. Biden,35
Atchison,Donald J. Trump,115
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,72
Atchison,Donald J. Trump,281
Atchison,Jo Jorgensen,7
Atchison,Joseph R. Biden,204
Atchison,Donald J. Trump,520
Atchison,Jo Jorgensen,18
Atchison,Joseph R. Biden,86
Atchison,Donald J. Trump,174
Atchison,Jo Jorgensen,4
Atchison,Joseph R. Biden,0
Atchison,Donald J. Trump,0
Atchison,Jo Jorgensen,0
Atchison,Joseph R. Biden,118
Atchison,Donald J. Trump,393
Atchison,Jo Jorgensen,9
Atchison,Joseph R. Biden,82
Atchison,Donald J. Trump,268
Atchison,Jo Jorgensen,5
Atchison,Joseph R. Biden,34
Atchison,Donald J. Trump,95
Atchison,Jo Jorgensen,1
Barber,Joseph R. Biden,0
Barber,Donald J. Trump,3
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,0
Barber,Donald J. Trump,7
Barber,Jo Jorgensen,1
Barber,Joseph R. Biden,0
Barber,Donald J. Trump,23
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,16
Barber,Donald J. Trump,70
Barber,Jo Jorgensen,1
Barber,Joseph R. Biden,16
Barber,Donald J. Trump,77
Barber,Jo Jorgensen,3
Barber,Joseph R. Biden,9
Barber,Donald J. Trump,56
Barber,Jo Jorgensen,2
Barber,Joseph R. Biden,40
Barber,Donald J. Trump,289
Barber,Jo Jorgensen,6
Barber,Joseph R. Biden,36
Barber,Donald J. Trump,164
Barber,Jo Jorgensen,3
Barber,Joseph R. Biden,7
Barber,Donald J. Trump,45
Barber,Jo Jorgensen,1
Barber,Joseph R. Biden,1
Barber,Donald J. Trump,13
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,53
Barber,Donald J. Trump,297
Barber,Jo Jorgensen,3
Barber,Joseph R. Biden,45
Barber,Donald J. Trump,238
Barber,Jo Jorgensen,5
Barber,Joseph R. Biden,23
Barber,Donald J. Trump,193
Barber,Jo Jorgensen,3
Barber,Joseph R. Biden,11
Barber,Donald J. Trump,137
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,2
Barber,Donald J. Trump,31
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,4
Barber,Donald J. Trump,49
Barber,Jo Jorgensen,3
Barber,Joseph R. Biden,5
Barber,Donald J. Trump,21
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,0
Barber,Donald J. Trump,20
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,0
Barber,Donald J. Trump,31
Barber,Jo Jorgensen,2
Barber,Joseph R. Biden,5
Barber,Donald J. Trump,8
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,4
Barber,Donald J. Trump,76
Barber,Jo Jorgensen,0
Barber,Joseph R. Biden,14
Barber,Donald J. Trump,166
Barber,Jo Jorgensen,4
Barton,Joseph R. Biden,3
Barton,Donald J. Trump,23
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,6
Barton,Donald J. Trump,41
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,27
Barton,Donald J. Trump,207
Barton,Jo Jorgensen,2
Barton,Joseph R. Biden,18
Barton,Donald J. Trump,92
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,10
Barton,Donald J. Trump,62
Barton,Jo Jorgensen,2
Barton,Joseph R. Biden,2
Barton,Donald J. Trump,24
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,24
Barton,Donald J. Trump,204
Barton,Jo Jorgensen,3
Barton,Joseph R. Biden,1
Barton,Donald J. Trump,52
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,14
Barton,Donald J. Trump,31
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,5
Barton,Donald J. Trump,24
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,127
Barton,Donald J. Trump,212
Barton,Jo Jorgensen,13
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,130
Barton,Donald J. Trump,383
Barton,Jo Jorgensen,9
Barton,Joseph R. Biden,104
Barton,Donald J. Trump,302
Barton,Jo Jorgensen,9
Barton,Joseph R. Biden,154
Barton,Donald J. Trump,483
Barton,Jo Jorgensen,12
Barton,Joseph R. Biden,166
Barton,Donald J. Trump,463
Barton,Jo Jorgensen,5
Barton,Joseph R. Biden,138
Barton,Donald J. Trump,628
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,123
Barton,Donald J. Trump,361
Barton,Jo Jorgensen,13
Barton,Joseph R. Biden,149
Barton,Donald J. Trump,369
Barton,Jo Jorgensen,10
Barton,Joseph R. Biden,138
Barton,Donald J. Trump,443
Barton,Jo Jorgensen,9
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,98
Barton,Donald J. Trump,208
Barton,Jo Jorgensen,6
Barton,Joseph R. Biden,96
Barton,Donald J. Trump,131
Barton,Jo Jorgensen,9
Barton,Joseph R. Biden,41
Barton,Donald J. Trump,60
Barton,Jo Jorgensen,2
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,90
Barton,Donald J. Trump,514
Barton,Jo Jorgensen,11
Barton,Joseph R. Biden,10
Barton,Donald J. Trump,94
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,63
Barton,Donald J. Trump,222
Barton,Jo Jorgensen,3
Barton,Joseph R. Biden,62
Barton,Donald J. Trump,266
Barton,Jo Jorgensen,6
Barton,Joseph R. Biden,56
Barton,Donald J. Trump,221
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,48
Barton,Donald J. Trump,211
Barton,Jo Jorgensen,3
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Barton,Joseph R. Biden,55
Barton,Donald J. Trump,335
Barton,Jo Jorgensen,9
Barton,Joseph R. Biden,197
Barton,Donald J. Trump,893
Barton,Jo Jorgensen,11
Barton,Joseph R. Biden,15
Barton,Donald J. Trump,108
Barton,Jo Jorgensen,3
Barton,Joseph R. Biden,12
Barton,Donald J. Trump,89
Barton,Jo Jorgensen,2
Barton,Joseph R. Biden,11
Barton,Donald J. Trump,68
Barton,Jo Jorgensen,3
Barton,Joseph R. Biden,33
Barton,Donald J. Trump,125
Barton,Jo Jorgensen,6
Barton,Joseph R. Biden,55
Barton,Donald J. Trump,245
Barton,Jo Jorgensen,6
Barton,Joseph R. Biden,21
Barton,Donald J. Trump,172
Barton,Jo Jorgensen,4
Barton,Joseph R. Biden,10
Barton,Donald J. Trump,47
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,14
Barton,Donald J. Trump,93
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,12
Barton,Donald J. Trump,72
Barton,Jo Jorgensen,2
Barton,Joseph R. Biden,2
Barton,Donald J. Trump,30
Barton,Jo Jorgensen,1
Barton,Joseph R. Biden,0
Barton,Donald J. Trump,0
Barton,Jo Jorgensen,0
Bourbon,Joseph R. Biden,34
Bourbon,Donald J. Trump,205
Bourbon,Jo Jorgensen,1
Bourbon,Joseph R. Biden,127
Bourbon,Donald J. Trump,292
Bourbon,Jo Jorgensen,11
Bourbon,Joseph R. Biden,0
Bourbon,Donald J. Trump,0
Bourbon,Jo Jorgensen,0
Bourbon,Joseph R. Biden,0
Bourbon,Donald J. Trump,0
Bourbon,Jo Jorgensen,0
Bourbon,Joseph R. Biden,0
Bourbon,Donald J. Trump,0
Bourbon,Jo Jorgensen,0
Bourbon,Joseph R. Biden,0
Bourbon,Donald J. Trump,0
Bourbon,Jo Jorgensen,0
Bourbon,Joseph R. Biden,0
Bourbon,Donald J. Trump,0
Bourbon,Jo Jorgensen,0
Bourbon,Joseph R. Biden,116
Bourbon,Donald J. Trump,284
Bourbon,Jo Jorgensen,9
Bourbon,Joseph R. Biden,58
Bourbon,Donald J. Trump,136
Bourbon,Jo Jorgensen,5
Bourbon,Joseph R. Biden,131
Bourbon,Donald J. Trump,286
Bourbon,Jo Jorgensen,8
Bourbon,Joseph R. Biden,0
Bourbon,Donald J. Trump,0
Bourbon,Jo Jorgensen,0
Bourbon,Joseph R. Biden,0
Bourbon,Donald J. Trump,0
Bourbon,Jo Jorgensen,0
Bourbon,Joseph R. Biden,0
Bourbon,Donald J. Trump,0
Bourbon,Jo Jorgensen,0
Bourbon,Joseph R. Biden,137
