fips,county,candidate,votes
23001,Androscoggin,Joseph R. Biden,837
23001,Androscoggin,Rocky De La Fuente,28989
23001,Androscoggin,Howie Hawkins,22232
23001,Androscoggin,Jo Jorgensen,607
23001,Androscoggin,Donald J. Trump,1
23001,Androscoggin,Others,194
23001,Androscoggin,BLANK,1201
23003,Aroostook,Joseph R. Biden,430
23003,Aroostook,Rocky De La Fuente,17777
23003,Aroostook,Howie Hawkins,15196
23003,Aroostook,Jo Jorgensen,358
23003,Aroostook,Donald J. Trump,1
23003,Aroostook,Others,97
23003,Aroostook,BLANK,656
23005,Cumberland,Joseph R. Biden,1901
23005,Cumberland,Rocky De La Fuente,101950
23005,Cumberland,Howie Hawkins,57821
23005,Cumberland,Jo Jorgensen,1723
23005,Cumberland,Donald J. Trump,11
23005,Cumberland,Others,380
23005,Cumberland,BLANK,1743
23007,Franklin,Joseph R. Biden,280
23007,Franklin,Rocky De La Fuente,9367
23007,Franklin,Howie Hawkins,6369
23007,Franklin,Jo Jorgensen,232
23007,Franklin,Donald J. Trump,0
23007,Franklin,Others,34
23007,Franklin,BLANK,533
23009,Hancock,Joseph R. Biden,423
23009,Hancock,Rocky De La Fuente,17569
23009,Hancock,Howie Hawkins,12324
23009,Hancock,Jo Jorgensen,393
23009,Hancock,Donald J. Trump,7
23009,Hancock,Others,80
23009,Hancock,BLANK,464
23011,Kennebec,Joseph R. Biden,908
23011,Kennebec,Rocky De La Fuente,35068
23011,Kennebec,Howie Hawkins,26519
23011,Kennebec,Jo Jorgensen,810
23011,Kennebec,Donald J. Trump,2
23011,Kennebec,Others,190
23011,Kennebec,BLANK,1099
23013,Knox,Joseph R. Biden,275
23013,Knox,Rocky De La Fuente,13223
23013,Knox,Howie Hawkins,8248
23013,Knox,Jo Jorgensen,257
23013,Knox,Donald J. Trump,6
23013,Knox,Others,57
23013,Knox,BLANK,454
23015,Lincoln,Joseph R. Biden,254
23015,Lincoln,Rocky De La Fuente,11315
23015,Lincoln,Howie Hawkins,8899
23015,Lincoln,Jo Jorgensen,232
23015,Lincoln,Donald J. Trump,9
23015,Lincoln,Others,48
23015,Lincoln,BLANK,244
23017,Oxford,Joseph R. Biden,505
23017,Oxford,Rocky De La Fuente,16330
23017,Oxford,Howie Hawkins,11996
23017,Oxford,Jo Jorgensen,449
23017,Oxford,Donald J. Trump,1
23017,Oxford,Others,132
23017,Oxford,BLANK,654
23019,Penobscot,Joseph R. Biden,968
23019,Penobscot,Rocky De La Fuente,38811
23019,Penobscot,Howie Hawkins,36547
23019,Penobscot,Jo Jorgensen,773
23019,Penobscot,Donald J. Trump,9
23019,Penobscot,Others,193
23019,Penobscot,BLANK,1474
23021,Piscataquis,Joseph R. Biden,135
23021,Piscataquis,Rocky De La Fuente,4149
23021,Piscataquis,Howie Hawkins,4530
23021,Piscataquis,Jo Jorgensen,111
23021,Piscataquis,Donald J. Trump,1
23021,Piscataquis,Others,29
23021,Piscataquis,BLANK,151
23023,Sagadahoc,Joseph R. Biden,247
23023,Sagadahoc,Rocky De La Fuente,11821
23023,Sagadahoc,Howie Hawkins,8429
23023,Sagadahoc,Jo Jorgensen,237
23023,Sagadahoc,Donald J. Trump,0
23023,Sagadahoc,Others,59
23023,Sagadahoc,BLANK,474
23025,Somerset,Joseph R. Biden,328
23025,Somerset,Rocky De La Fuente,12216
23025,Somerset,Howie Hawkins,11800
23025,Somerset,Jo Jorgensen,369
23025,Somerset,Donald J. Trump,3
23025,Somerset,Others,71
23025,Somerset,BLANK,444
23027,Waldo,Joseph R. Biden,297
23027,Waldo,Rocky De La Fuente,11296
23027,Waldo,Howie Hawkins,9058
23027,Waldo,Jo Jorgensen,334
23027,Waldo,Donald J. Trump,3
23027,Waldo,Others,71
23027,Waldo,BLANK,275
23029,Washington,Joseph R. Biden,246
23029,Washington,Rocky De La Fuente,7803
23029,Washington,Howie Hawkins,7550
23029,Washington,Jo Jorgensen,175
23029,Washington,Donald J. Trump,3
23029,Washington,Others,54
23029,Washington,BLANK,273
23031,York,Joseph R. Biden,1260
23031,York,Rocky De La Fuente,61551
23031,York,Howie Hawkins,43900
23031,York,Jo Jorgensen,1008
23031,York,Donald J. Trump,3
23031,York,Others,332
23031,York,BLANK,1426
,STATE UOCAVA,Joseph R. Biden,58
,STATE UOCAVA,Rocky De La Fuente,2071
,STATE UOCAVA,Howie Hawkins,858
,STATE UOCAVA,Jo Jorgensen,51
,STATE UOCAVA,Donald J. Trump,2
,STATE UOCAVA,Others,14
,STATE UOCAVA,BLANK,13
