year,type,code,district,status,candidate,county,city,ward,precinct,label,votes,none
2020,GEN,1,00000,0,Kasey Wells,1,2,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,4,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,6,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,8,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,10,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,12,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,14,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,16,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,18,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,20,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,22,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,52,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,1,9999,0,9999,,0,
2020,GEN,1,00000,0,Kasey Wells,2,2,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,2,4,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,2,6,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,2,8,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,2,10,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,2,12,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,2,14,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,2,16,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,2,52,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,2,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,2,0,2,,0,
2020,GEN,1,00000,0,Kasey Wells,3,4,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,6,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,8,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,10,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,10,0,2,,0,
2020,GEN,1,00000,0,Kasey Wells,3,10,0,3,,0,
2020,GEN,1,00000,0,Kasey Wells,3,12,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,14,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,16,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,16,0,2,,0,
2020,GEN,1,00000,0,Kasey Wells,3,18,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,20,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,22,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,22,0,2,,0,
2020,GEN,1,00000,0,Kasey Wells,3,22,0,3,,0,
2020,GEN,1,00000,0,Kasey Wells,3,24,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,26,0,1,,0,
2020,GEN,1,00000,0,Kasey Wells,3,26,0,2,,0,
