county,Donald J. Trump,Joseph R. Biden,Jo Jorgensen,Howie Hawkins,Don Blankenship,Write-in,Kasey Wells,Jade Simmons,Brian Carroll,Gloria La Riva
Adair,6413,3710,157,42,13,0,0,0,1,0
Andrew,7255,2351,120,19,7,0,0,0,0,0
Atchison,2199,564,47,3,1,0,0,0,0,0
Audrain,7732,2704,175,27,12,0,0,0,5,1
Barry,12425,2948,180,27,18,0,0,0,0,0
Barton,5168,844,47,13,5,0,0,0,0,0
Bates,6597,1672,120,14,13,0,0,0,0,0
Benton,8109,2180,152,22,12,0,0,0,0,1
Bollinger,5167,750,51,13,2,0,0,0,0,0
Boone,38646,50064,1968,312,140,0,0,0,37,1
Buchanan,22450,13445,529,127,47,0,0,0,0,0
Butler,14602,3301,188,41,8,0,0,0,1,0
Caldwell,3725,897,50,7,3,0,0,0,0,0
Callaway,14815,5870,371,64,20,0,0,0,4,0
Camden,18850,5652,255,32,23,0,0,0,0,0
Cape Girardeau,28907,10760,520,84,38,0,0,2,17,0
Carroll,3706,786,32,6,2,0,0,0,0,0
Carter,2451,418,18,6,4,0,0,0,0,0
Cass,37197,19052,908,162,79,0,0,1,9,0
Cedar,5788,1145,80,13,17,0,0,0,1,0
Chariton,3111,916,40,4,5,0,0,0,1,0
Christian,34920,11131,638,82,54,0,0,0,14,0
Clark,2672,678,32,12,0,0,0,0,0,0
Clay,64605,59400,2019,325,179,0,0,5,35,1
Clinton,7799,2896,150,30,13,0,0,0,0,0
Cole,26086,12694,603,84,47,0,0,2,11,2
Cooper,6272,2249,139,24,6,0,0,0,3,0
Crawford,8725,2113,102,17,16,0,0,0,0,0
Dade,3414,656,42,5,2,0,0,0,0,0
Dallas,6619,1380,72,21,12,0,0,0,0,0
Daviess,3102,746,49,4,8,0,0,0,2,0
De Kalb,3828,930,62,9,14,0,0,0,0,0
Dent,5987,1056,81,9,9,0,0,0,0,0
Douglas,5898,1016,68,4,14,0,0,0,0,0
Dunklin,8135,2200,61,11,12,0,0,0,0,0
Franklin,38058,14569,816,148,86,0,0,1,6,1
Gasconade,6222,1601,83,10,7,0,0,0,0,0
Gentry,2581,613,34,1,6,0,0,1,1,0
Greene,83630,55068,2454,432,164,0,1,3,31,17
Grundy,3585,799,42,8,3,0,0,0,0,0
Harrison,3198,597,22,7,1,0,0,0,1,0
Henry,8027,2619,114,17,11,0,0,0,0,0
Hickory,3966,1056,39,13,6,0,0,0,0,0
Holt,1976,338,23,5,1,0,0,0,0,0
Howard,3553,1413,106,14,5,0,0,0,1,0
Howell,15181,3218,197,31,21,0,0,0,2,0
Iron,3596,945,33,11,7,0,0,0,0,0
Jackson,100142,92182,3102,635,312,0,0,0,43,2
Jasper,37728,13549,862,155,52,0,0,0,6,0
Jefferson,77046,37523,1635,318,150,0,0,0,16,0
Johnson,15489,6974,554,66,39,0,0,0,1,0
Kansas City,26393,107660,1621,637,249,0,0,13,61,11
Knox,1486,340,26,0,2,0,0,0,0,0
Laclede,13762,2780,181,35,34,0,0,0,1,0
Lafayette,12273,4472,240,36,30,0,0,0,4,0
Lawrence,14426,3214,202,39,24,0,0,0,0,0
