,county,candidate,votes
673,Central,Jade Simmons,0.0
578,Central,Jo Jorgensen,414.0
740,Central,Donald J. Trump,9.737
585,Central,Jo Jorgensen,64.0
158,Central,President R19 Boddie Stoneham,0.0
323,Central,Howie Hawkins,163.0
736,Central,Donald J. Trump,9.949
481,Central,Dario Hunter,0.0
322,Central,Howie Hawkins,70.0
321,Central,Howie Hawkins,17.0
586,Central,Jo Jorgensen,257.0
587,Central,Jo Jorgensen,459.0
153,Central,President R19 Boddie Stoneham,0.0
416,Central,Tom Hoefling,3.0
591,Central,Jo Jorgensen,170.0
728,Central,Donald J. Trump,211.237
727,Central,Donald J. Trump,9.473
726,Central,Donald J. Trump,50.797
592,Central,Jo Jorgensen,295.0
724,Central,Donald J. Trump,66.356
314,Central,Howie Hawkins,112.0
720,Central,Donald J. Trump,15.436
312,Central,Howie Hawkins,46.0
593,Central,Jo Jorgensen,123.0
719,Central,Donald J. Trump,12.325
167,Central,President R19 Boddie Stoneham,0.0
152,Central,President R19 Boddie Stoneham,1.0
151,Central,President R19 Boddie Stoneham,0.0
327,Central,Howie Hawkins,47.0
120,Central,President R19 Boddie Stoneham,0.0
768,Central,Donald J. Trump,20.593
767,Central,Donald J. Trump,12.357
476,Central,Dario Hunter,0.0
124,Central,President R19 Boddie Stoneham,0.0
572,Central,Jo Jorgensen,1.279
763,Central,Donald J. Trump,27.867
762,Central,Donald J. Trump,14.077
129,Central,President R19 Boddie Stoneham,0.0
761,Central,Donald J. Trump,5.041
638,Central,Jade Simmons,3.0
415,Central,Tom Hoefling,0.0
334,Central,Howie Hawkins,116.0
754,Central,Donald J. Trump,19.023
136,Central,President R19 Boddie Stoneham,0.0
138,Central,President R19 Boddie Stoneham,0.0
576,Central,Jo Jorgensen,269.0
752,Central,Donald J. Trump,13.835
329,Central,Howie Hawkins,22.0
748,Central,Donald J. Trump,59.514
145,Central,President R19 Boddie Stoneham,0.0
146,Central,President R19 Boddie Stoneham,0.0
147,Central,President R19 Boddie Stoneham,0.0
328,Central,Howie Hawkins,65.0
745,Central,Donald J. Trump,22.34
308,Central,Howie Hawkins,312.0
417,Central,Tom Hoefling,0.0
484,Central,Dario Hunter,0.0
305,Central,Howie Hawkins,86.0
674,Central,Jade Simmons,1.0
422,Central,Tom Hoefling,0.0
666,Central,Jade Simmons,0.0
233,Central,Brian Carroll,0.0
234,Central,Brian Carroll,2.0
235,Central,Brian Carroll,4.0
664,Central,Jade Simmons,0.0
280,Central,Howie Hawkins,53.0
279,Central,Howie Hawkins,62.0
239,Central,Brian Carroll,2.0
240,Central,Brian Carroll,8.0
241,Central,Brian Carroll,0.0
660,Central,Jade Simmons,7.0
246,Central,Brian Carroll,3.0
657,Central,Jade Simmons,0.0
652,Central,Jade Simmons,0.0
631,Central,Jade Simmons,0.0
632,Central,Jade Simmons,0.0
255,Central,Brian Carroll,0.0
488,Central,Dario Hunter,0.0
648,Central,Jade Simmons,0.0
636,Central,Jade Simmons,9.0
490,Central,Dario Hunter,0.0
640,Central,Jade Simmons,48.0
639,Central,Jade Simmons,0.0
284,Central,Howie Hawkins,293.0
769,Central,Donald J. Trump,9.157
226,Central,Brian Carroll,0.0
675,Central,Jade Simmons,1.0
598,Central,Jo Jorgensen,345.0
191,Central,Brian Carroll,0.0
192,Central,Brian Carroll,3.0
695,Central,Jade Simmons,0.0
300,Central,Howie Hawkins,40.0
196,Central,Brian Carroll,42.0
198,Central,Brian Carroll,28.0
199,Central,Brian Carroll,0.0
200,Central,Brian Carroll,240.0
498,Central,Dario Hunter,0.0
296,Central,Howie Hawkins,44.0
431,Central,Tom Hoefling,0.0
686,Central,Jade Simmons,0.0
208,Central,Brian Carroll,0.0
607,Central,Jo Jorgensen,535.0
212,Central,Brian Carroll,5.0
497,Central,Dario Hunter,0.0
681,Central,Jade Simmons,0.0
680,Central,Jade Simmons,1.0
217,Central,Brian Carroll,9.0
288,Central,Howie Hawkins,2.169
679,Central,Jade Simmons,0.0
220,Central,Brian Carroll,33.0
287,Central,Howie Hawkins,32.0
286,Central,Howie Hawkins,223.0
224,Central,Brian Carroll,7.0
774,Central,Donald J. Trump,22.278
132,Central,President R19 Boddie Stoneham,0.0
851,Central,Kasey Wells,0.0
824,Central,Kasey Wells,0.0
16,Central,Joseph R. Biden,4.916
63,Central,Joseph R. Biden,4.098
64,Central,Joseph R. Biden,7.304
15,Central,Joseph R. Biden,4.125
65,Central,Joseph R. Biden,3.11
374,Central,Tom Hoefling,3.0
393,Central,Tom Hoefling,0.0
463,Central,Dario Hunter,0.0
372,Central,Tom Hoefling,5.0
70,Central,Joseph R. Biden,10.557
464,Central,Dario Hunter,3.0
816,Central,Kasey Wells,2.0
815,Central,Kasey Wells,0.0
814,Central,Kasey Wells,0.0
862,Central,Kasey Wells,0.0
41,Central,Joseph R. Biden,8.589
368,Central,Tom Hoefling,0.0
32,Central,Joseph R. Biden,3.062
367,Central,Tom Hoefling,0.0
828,Central,Kasey Wells,0.0
504,Central,Dario Hunter,0.0
409,Central,Tom Hoefling,0.0
410,Central,Tom Hoefling,2.0
48,Central,Joseph R. Biden,5.698
24,Central,Joseph R. Biden,409.144
23,Central,Joseph R. Biden,2.975
50,Central,Joseph R. Biden,8.269
22,Central,Joseph R. Biden,31.224
836,Central,Kasey Wells,0.0
59,Central,Joseph R. Biden,11.971
840,Central,Kasey Wells,0.0
833,Central,Kasey Wells,0.0
20,Central,Joseph R. Biden,57.735
376,Central,Tom Hoefling,15.0
375,Central,Tom Hoefling,0.0
460,Central,Dario Hunter,0.0
57,Central,Joseph R. Biden,1.725
58,Central,Joseph R. Biden,4.048
857,Central,Kasey Wells,0.0
343,Central,Howie Hawkins,100.0
462,Central,Dario Hunter,0.0
79,Central,Joseph R. Biden,11.141
812,Central,Kasey Wells,0.0
560,Central,Jo Jorgensen,192.0
499,Central,Dario Hunter,0.0
510,Central,Dario Hunter,0.0
871,Central,Kasey Wells,0.0
103,Central,President R19 Boddie Stoneham,0.0
104,Central,President R19 Boddie Stoneham,0.0
564,Central,Jo Jorgensen,162.0
