City/Town,Ward,Pct,"Joseph R. Biden","Donald J. Trump","Jo Jorgensen","Howie Hawkins","Kanye West","H. Brooke Paige","Christopher Lafontaine","Bernie Sanders","Richard Duncan","Brian Carroll","Don Blankenship","Alyson Kennedy","Gloria Lariva","Gary Swing","Phil Collins","Keith McCormic","Brock Pierce","Jerome Segal","Blake Huber","Kyle Kenley Kopitke","Roque De La Fuente","Zachary Scalf",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green,Independent,"Grumpy Old Patriots",Independent,,Independent,"American Solidarity",,"Socialist Workers","Liberty Union","Boiling Frog",Prohibition,"Bull Moose",Unaffiliated,"Bread And Roses","Approval Voting",Independent,Alliance,Independent
Addison,,,445,379,15,2,6,5,4,1,0,3,1,3,0,0,0,0,0,1,0,1,1,0,3,4,0,874
Albany,,,286,235,4,2,0,5,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,5,1,546
Alburgh,,,550,499,10,3,4,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,9,0,"1,088"
Andover,,,216,132,5,0,2,0,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,2,3,0,368
Arlington,,,929,511,21,3,3,6,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,1,"1,502"
Athens,,,120,84,1,3,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,214
Bakersfield,,,395,272,9,2,4,5,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,3,5,0,701
Baltimore,,,63,72,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,143
Barnard,,,465,177,5,6,0,3,2,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,4,5,0,674
Barnet,,,624,437,6,8,1,4,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,8,9,0,"1,104"
"Barre City",,,"2,380","1,298",38,18,19,13,11,2,2,2,3,3,1,2,1,2,3,0,0,1,0,1,7,47,6,"3,860"
"Barre Town",,,"2,512","2,093",57,15,25,17,18,3,0,1,2,0,0,1,2,2,2,0,1,1,2,1,11,71,2,"4,839"
Barton,,,687,570,10,3,4,2,5,0,2,2,1,1,1,1,2,1,1,0,0,0,0,0,3,10,1,"1,307"
Belvidere,,,79,93,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,178
Bennington,-,"Bennington 2-1","2,226","1,193",26,16,21,9,13,9,1,1,1,3,2,3,2,4,2,2,2,0,0,1,12,22,4,"3,575"
Bennington,-,"Bennington 2-2","2,143","1,280",37,19,10,14,11,1,2,5,2,5,1,1,3,0,0,0,1,0,0,0,12,23,7,"3,577"
Benson,,,258,305,5,1,1,6,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,9,0,592
Berkshire,,,284,402,9,0,5,2,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,8,2,721
Berlin,,,960,520,19,4,5,6,4,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,9,19,0,"1,553"
Bethel,,,728,381,15,4,2,6,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,15,0,"1,162"
Bloomfield,,,55,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,130
Bolton,,,537,218,6,1,1,3,1,4,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,8,0,786
Bradford,,,893,549,12,5,9,5,4,6,2,1,0,0,2,0,0,0,2,0,0,0,0,0,4,15,2,"1,511"
Braintree,,,434,260,3,0,1,5,0,3,3,0,0,1,1,0,2,0,0,0,0,0,1,0,3,1,0,718
Brandon,,,"1,213",896,19,3,11,10,9,1,2,2,3,4,0,2,1,3,0,1,0,0,0,0,4,24,1,"2,209"
Brattleboro,-,"Windham 2-1","1,833",500,17,5,3,6,8,2,0,1,1,4,0,0,1,1,1,1,0,0,0,0,7,23,1,"2,415"
Brattleboro,-,"Windham 2-2","1,766",289,17,16,3,1,6,3,1,0,0,5,6,1,1,2,1,0,0,0,0,0,7,12,5,"2,142"
Brattleboro,-,"Windham 2-3","1,824",264,11,16,4,1,4,7,2,1,2,3,5,0,0,1,0,0,0,0,0,0,2,11,4,"2,162"
Bridgewater,,,372,212,5,2,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,605
Bridport,,,392,321,8,2,1,5,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,6,1,745
Brighton,,,258,342,7,2,3,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,619
Bristol,,,"1,482",691,22,8,3,6,5,6,2,0,1,2,0,1,0,2,0,0,2,0,0,0,12,17,1,"2,263"
Brookfield,,,506,307,9,6,5,3,4,1,3,0,1,2,0,1,0,0,0,0,0,0,0,0,4,4,0,856
Brookline,,,217,96,3,0,5,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,3,335
Brownington,,,218,265,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,494
Brunswick,,,27,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65
